Day,Time,Follower Count
2017-02-26,17:55,20682
2017-02-26,18:00,20681
2017-02-26,18:15,20693
2017-02-26,18:30,20721
2017-02-26,18:45,20737
2017-02-26,19:00,20746
2017-02-26,19:15,20755
2017-02-26,19:30,20764
2017-02-26,19:45,20776
2017-02-26,20:00,20794
2017-02-26,20:15,20806
2017-02-26,20:30,20825
2017-02-26,20:45,20846
2017-02-26,21:00,20856
2017-02-26,21:15,20879
2017-02-26,21:30,20892
2017-02-26,21:45,20905
2017-02-26,22:00,20914
2017-02-26,22:15,20929
2017-02-26,22:30,20937
2017-02-26,22:45,20944
2017-02-26,23:00,20956
2017-02-26,23:15,20962
2017-02-26,23:30,20969
2017-02-26,23:45,20971
2017-02-27,00:00,20977
2017-02-27,00:15,20983
2017-02-27,00:30,20986
2017-02-27,00:45,20988
2017-02-27,01:00,20993
2017-02-27,01:15,20994
2017-02-27,01:30,20993
2017-02-27,01:45,20993
2017-02-27,02:00,20996
2017-02-27,02:15,20995
2017-02-27,02:30,20995
2017-02-27,02:45,20997
2017-02-27,03:00,20997
2017-02-27,03:15,20997
2017-02-27,03:30,20998
2017-02-27,03:45,20998
2017-02-27,04:00,20997
2017-02-27,04:15,20997
2017-02-27,04:30,21000
2017-02-27,04:45,21000
2017-02-27,05:00,21002
2017-02-27,05:15,21004
2017-02-27,05:30,21004
2017-02-27,05:45,21004
2017-02-27,06:00,21004
2017-02-27,06:15,21005
2017-02-27,06:30,21005
2017-02-27,06:45,21005
2017-02-27,07:00,21006
2017-02-27,07:15,21007
2017-02-27,07:30,21008
2017-02-27,07:45,21009
2017-02-27,08:00,21011
2017-02-27,08:15,21013
2017-02-27,08:30,21016
2017-02-27,08:45,21018
2017-02-27,09:00,21021
2017-02-27,09:15,21029
2017-02-27,09:30,21034
2017-02-27,09:45,21038
2017-02-27,10:00,21044
2017-02-27,10:15,21046
2017-02-27,10:30,21053
2017-02-27,10:45,21056
2017-02-27,11:00,21062
2017-02-27,11:15,21064
2017-02-27,11:30,21072
2017-02-27,11:45,21067
2017-02-27,12:00,21066
2017-02-27,12:15,21071
2017-02-27,12:30,21078
2017-02-27,12:45,21079
2017-02-27,13:00,21079
2017-02-27,13:15,21082
2017-02-27,13:30,21102
2017-02-27,13:45,21109
2017-02-27,14:00,21117
2017-02-27,14:15,21124
2017-02-27,14:30,21133
2017-02-27,14:45,21141
2017-02-27,15:00,21153
2017-02-27,15:15,21160
2017-02-27,15:30,21174
2017-02-27,15:45,21180
2017-02-27,16:00,21201
2017-02-27,16:15,21205
2017-02-27,16:30,21211
2017-02-27,16:45,21221
2017-02-27,17:00,21232
2017-02-27,17:15,21241
2017-02-27,17:30,21261
2017-02-27,17:45,21278
2017-02-27,18:00,21285
2017-02-27,18:15,21293
2017-02-27,18:30,21304
2017-02-27,18:45,21315
2017-02-27,19:00,21329
2017-02-27,19:15,21334
2017-02-27,19:30,21359
2017-02-27,19:45,21381
2017-02-27,20:00,21394
2017-02-27,20:15,21416
2017-02-27,20:30,21421
2017-02-27,20:45,21438
2017-02-27,21:00,21457
2017-02-27,21:15,21471
2017-02-27,21:30,21484
2017-02-27,21:45,21492
2017-02-27,22:00,21502
2017-02-27,22:15,21517
2017-02-27,22:30,21530
2017-02-27,22:45,21538
2017-02-27,23:00,21542
2017-02-27,23:15,21546
2017-02-27,23:30,21546
2017-02-27,23:45,21554
2017-02-28,00:00,21551
2017-02-28,00:15,21552
2017-02-28,00:30,21558
2017-02-28,00:45,21562
2017-02-28,01:00,21566
2017-02-28,01:15,21567
2017-02-28,01:30,21570
2017-02-28,01:45,21571
2017-02-28,02:00,21572
2017-02-28,02:15,21572
2017-02-28,02:30,21574
2017-02-28,02:45,21575
2017-02-28,03:00,21574
2017-02-28,03:15,21573
2017-02-28,03:30,21573
2017-02-28,03:45,21573
2017-02-28,04:00,21575
2017-02-28,04:15,21576
2017-02-28,04:30,21576
2017-02-28,04:45,21576
2017-02-28,05:00,21576
2017-02-28,05:15,21576
2017-02-28,05:30,21577
2017-02-28,05:45,21577
2017-02-28,06:00,21576
2017-02-28,06:15,21575
2017-02-28,06:30,21577
2017-02-28,06:45,21581
2017-02-28,07:00,21587
2017-02-28,07:15,21584
2017-02-28,07:30,21587
2017-02-28,07:45,21590
2017-02-28,08:00,21597
2017-02-28,08:15,21598
2017-02-28,08:30,21602
2017-02-28,08:45,21604
2017-02-28,09:00,21610
2017-02-28,09:15,21610
2017-02-28,09:30,21614
2017-02-28,09:45,21619
2017-02-28,10:00,21620
2017-02-28,10:15,21621
2017-02-28,10:30,21629
2017-02-28,10:45,21633
2017-02-28,11:00,21638
2017-02-28,11:15,21641
2017-02-28,11:30,21645
2017-02-28,11:45,21653
2017-02-28,12:00,21656
2017-02-28,12:15,21660
2017-02-28,12:30,21662
2017-02-28,12:45,21663
2017-02-28,13:00,21676
2017-02-28,13:15,21692
2017-02-28,13:30,21711
2017-02-28,13:45,21728
2017-02-28,14:00,21742
2017-02-28,14:15,21750
2017-02-28,14:30,21759
2017-02-28,14:45,21768
2017-02-28,15:00,21774
2017-02-28,15:15,21775
2017-02-28,15:30,21790
2017-02-28,15:45,21802
2017-02-28,16:00,21818
2017-02-28,16:15,21823
2017-02-28,16:30,21837
2017-02-28,16:45,21845
2017-02-28,17:00,21858
2017-02-28,17:15,21873
2017-02-28,17:30,21894
2017-02-28,17:45,21912
2017-02-28,18:00,21928
2017-02-28,18:15,21948
2017-02-28,18:30,21966
2017-02-28,18:45,21985
2017-02-28,19:00,21993
2017-02-28,19:15,22001
2017-02-28,19:30,22005
2017-02-28,19:45,22023
2017-02-28,20:00,22037
2017-02-28,20:15,22050
2017-02-28,20:30,22062
2017-02-28,20:45,22068
2017-02-28,21:00,22077
2017-02-28,21:15,22096
2017-02-28,21:30,22107
2017-02-28,21:45,22125
2017-02-28,22:00,22142
2017-02-28,22:15,22158
2017-02-28,22:30,22159
2017-02-28,22:45,22166
2017-02-28,23:00,22173
2017-02-28,23:15,22185
2017-02-28,23:30,22193
2017-02-28,23:45,22201
2017-03-01,00:00,22208
2017-03-01,00:15,22216
2017-03-01,00:30,22217
2017-03-01,00:45,22215
2017-03-01,01:00,22218
2017-03-01,01:15,22218
2017-03-01,01:30,22220
2017-03-01,01:45,22219
2017-03-01,02:00,22222
2017-03-01,02:15,22223
2017-03-01,02:30,22224
2017-03-01,02:45,22224
2017-03-01,03:00,22224
2017-03-01,03:15,22225
2017-03-01,03:30,22225
2017-03-01,03:45,22227
2017-03-01,04:00,22227
2017-03-01,04:15,22227
2017-03-01,04:30,22227
2017-03-01,04:45,22228
2017-03-01,05:00,22229
2017-03-01,05:15,22229
2017-03-01,05:30,22229
2017-03-01,05:45,22230
2017-03-01,06:00,22230
2017-03-01,06:15,22230
2017-03-01,06:30,22231
2017-03-01,06:45,22229
2017-03-01,07:00,22229
2017-03-01,07:15,22229
2017-03-01,07:30,22232
2017-03-01,07:45,22234
2017-03-01,08:00,22236
2017-03-01,08:15,22240
2017-03-01,08:30,22241
2017-03-01,08:45,22242
2017-03-01,09:00,22243
2017-03-01,09:15,22244
2017-03-01,09:30,22249
2017-03-01,09:45,22252
2017-03-01,10:00,22255
2017-03-01,10:15,22258
2017-03-01,10:30,22261
2017-03-01,10:45,22264
2017-03-01,11:00,22275
2017-03-01,11:15,22281
2017-03-01,11:30,22292
2017-03-01,11:45,22297
2017-03-01,12:00,22299
2017-03-01,12:15,22306
2017-03-01,12:30,22307
2017-03-01,12:45,22311
2017-03-01,13:00,22308
2017-03-01,13:15,22311
2017-03-01,13:30,22317
2017-03-01,13:45,22321
2017-03-01,14:00,22328
2017-03-01,14:15,22337
2017-03-01,14:30,22343
2017-03-01,14:45,22361
2017-03-01,15:00,22373
2017-03-01,15:15,22382
2017-03-01,15:30,22381
2017-03-01,15:45,22383
2017-03-01,16:00,22380
2017-03-01,16:15,22384
2017-03-01,16:30,22386
2017-03-01,16:45,22393
2017-03-01,17:00,22404
2017-03-01,17:15,22405
2017-03-01,17:30,22420
2017-03-01,17:45,22438
2017-03-01,18:00,22446
2017-03-01,18:15,22451
2017-03-01,18:30,22459
2017-03-01,18:45,22477
2017-03-01,19:00,22486
2017-03-01,19:15,22498
2017-03-01,19:30,22509
2017-03-01,19:45,22519
2017-03-01,20:00,22523
2017-03-01,20:15,22528
2017-03-01,20:30,22536
2017-03-01,20:45,22550
2017-03-01,21:00,22557
2017-03-01,21:15,22575
2017-03-01,21:30,22582
2017-03-01,21:45,22590
2017-03-01,22:00,22594
2017-03-01,22:15,22602
2017-03-01,22:30,22604
2017-03-01,22:45,22607
2017-03-01,23:00,22609
2017-03-01,23:15,22612
2017-03-01,23:30,22627
2017-03-01,23:45,22634
2017-03-02,00:00,22636
2017-03-02,00:15,22643
2017-03-02,00:30,22641
2017-03-02,00:45,22639
2017-03-02,01:00,22642
2017-03-02,01:15,22643
2017-03-02,01:30,22647
2017-03-02,01:45,22647
2017-03-02,02:00,22649
2017-03-02,02:15,22650
2017-03-02,02:30,22651
2017-03-02,02:45,22655
2017-03-02,03:00,22655
2017-03-02,03:15,22655
2017-03-02,03:30,22657
2017-03-02,03:45,22658
2017-03-02,04:00,22658
2017-03-02,04:15,22659
