Day,Time,Follower Count
2017-02-26,17:55,35683
2017-02-26,18:00,35691
2017-02-26,18:15,35720
2017-02-26,18:30,35750
2017-02-26,18:45,35784
2017-02-26,19:00,35812
2017-02-26,19:15,35836
2017-02-26,19:30,35864
2017-02-26,19:45,35894
2017-02-26,20:00,35930
2017-02-26,20:15,35987
2017-02-26,20:30,36067
2017-02-26,20:45,36143
2017-02-26,21:00,36200
2017-02-26,21:15,36250
2017-02-26,21:30,36296
2017-02-26,21:45,36341
2017-02-26,22:00,36375
2017-02-26,22:15,36414
2017-02-26,22:30,36447
2017-02-26,22:45,36471
2017-02-26,23:00,36501
2017-02-26,23:15,36526
2017-02-26,23:30,36551
2017-02-26,23:45,36561
2017-02-27,00:00,36580
2017-02-27,00:15,36588
2017-02-27,00:30,36600
2017-02-27,00:45,36604
2017-02-27,01:00,36609
2017-02-27,01:15,36612
2017-02-27,01:30,36613
2017-02-27,01:45,36616
2017-02-27,02:00,36621
2017-02-27,02:15,36625
2017-02-27,02:30,36587
2017-02-27,02:45,36590
2017-02-27,03:00,36592
2017-02-27,03:15,36595
2017-02-27,03:30,36594
2017-02-27,03:45,36595
2017-02-27,04:00,36597
2017-02-27,04:15,36596
2017-02-27,04:30,36596
2017-02-27,04:45,36596
2017-02-27,05:00,36596
2017-02-27,05:15,36596
2017-02-27,05:30,36596
2017-02-27,05:45,36596
2017-02-27,06:00,36595
2017-02-27,06:15,36595
2017-02-27,06:30,36597
2017-02-27,06:45,36596
2017-02-27,07:00,36600
2017-02-27,07:15,36607
2017-02-27,07:30,36610
2017-02-27,07:45,36616
2017-02-27,08:00,36620
2017-02-27,08:15,36625
2017-02-27,08:30,36630
2017-02-27,08:45,36632
2017-02-27,09:00,36645
2017-02-27,09:15,36649
2017-02-27,09:30,36660
2017-02-27,09:45,36673
2017-02-27,10:00,36684
2017-02-27,10:15,36697
2017-02-27,10:30,36710
2017-02-27,10:45,36719
2017-02-27,11:00,36726
2017-02-27,11:15,36728
2017-02-27,11:30,36732
2017-02-27,11:45,36740
2017-02-27,12:00,36747
2017-02-27,12:15,36757
2017-02-27,12:30,36771
2017-02-27,12:45,36775
2017-02-27,13:00,36786
2017-02-27,13:15,36817
2017-02-27,13:30,36866
2017-02-27,13:45,36913
2017-02-27,14:00,36965
2017-02-27,14:15,37011
2017-02-27,14:30,37051
2017-02-27,14:45,37103
2017-02-27,15:00,37135
2017-02-27,15:15,37158
2017-02-27,15:30,37188
2017-02-27,15:45,37206
2017-02-27,16:00,37242
2017-02-27,16:15,37263
2017-02-27,16:30,37280
2017-02-27,16:45,37294
2017-02-27,17:00,37321
2017-02-27,17:15,37343
2017-02-27,17:30,37369
2017-02-27,17:45,37392
2017-02-27,18:00,37418
2017-02-27,18:15,37432
2017-02-27,18:30,37452
2017-02-27,18:45,37474
2017-02-27,19:00,37499
2017-02-27,19:15,37525
2017-02-27,19:30,37551
2017-02-27,19:45,37571
2017-02-27,20:00,37597
2017-02-27,20:15,37623
2017-02-27,20:30,37648
2017-02-27,20:45,37673
2017-02-27,21:00,37713
2017-02-27,21:15,37735
2017-02-27,21:30,37742
2017-02-27,21:45,37757
2017-02-27,22:00,37778
2017-02-27,22:15,37793
2017-02-27,22:30,37818
2017-02-27,22:45,37829
2017-02-27,23:00,37841
2017-02-27,23:15,37853
2017-02-27,23:30,37865
2017-02-27,23:45,37873
2017-02-28,00:00,37881
2017-02-28,00:15,37881
2017-02-28,00:30,37887
2017-02-28,00:45,37891
2017-02-28,01:00,37894
2017-02-28,01:15,37891
2017-02-28,01:30,37894
2017-02-28,01:45,37900
2017-02-28,02:00,37902
2017-02-28,02:15,37903
2017-02-28,02:30,37905
2017-02-28,02:45,37907
2017-02-28,03:00,37906
2017-02-28,03:15,37906
2017-02-28,03:30,37907
2017-02-28,03:45,37907
2017-02-28,04:00,37909
2017-02-28,04:15,37907
2017-02-28,04:30,37906
2017-02-28,04:45,37906
2017-02-28,05:00,37906
2017-02-28,05:15,37906
2017-02-28,05:30,37906
2017-02-28,05:45,37906
2017-02-28,06:00,37906
2017-02-28,06:15,37908
2017-02-28,06:30,37910
2017-02-28,06:45,37910
2017-02-28,07:00,37914
2017-02-28,07:15,37915
2017-02-28,07:30,37919
2017-02-28,07:45,37925
2017-02-28,08:00,37932
2017-02-28,08:15,37938
2017-02-28,08:30,37944
2017-02-28,08:45,37952
2017-02-28,09:00,37963
2017-02-28,09:15,37964
2017-02-28,09:30,37963
2017-02-28,09:45,37972
2017-02-28,10:00,37979
2017-02-28,10:15,37981
2017-02-28,10:30,37996
2017-02-28,10:45,38005
2017-02-28,11:00,38010
2017-02-28,11:15,38015
2017-02-28,11:30,38018
2017-02-28,11:45,38027
2017-02-28,12:00,38037
2017-02-28,12:15,38040
2017-02-28,12:30,38029
2017-02-28,12:45,38039
2017-02-28,13:00,38049
2017-02-28,13:15,38064
2017-02-28,13:30,38079
2017-02-28,13:45,38096
2017-02-28,14:00,38116
2017-02-28,14:15,38125
2017-02-28,14:30,38136
2017-02-28,14:45,38143
2017-02-28,15:00,38156
2017-02-28,15:15,38160
2017-02-28,15:30,38171
2017-02-28,15:45,38185
2017-02-28,16:00,38215
2017-02-28,16:15,38231
2017-02-28,16:30,38248
2017-02-28,16:45,38262
2017-02-28,17:00,38284
2017-02-28,17:15,38317
2017-02-28,17:30,38455
2017-02-28,17:45,38475
2017-02-28,18:00,38492
2017-02-28,18:15,38510
2017-02-28,18:30,38533
2017-02-28,18:45,38552
2017-02-28,19:00,38568
