Day,Time,Follower Count
2017-02-26,17:55,46295
2017-02-26,18:00,46305
2017-02-26,18:15,46338
2017-02-26,18:30,46372
2017-02-26,18:45,46403
2017-02-26,19:00,46419
2017-02-26,19:15,46439
2017-02-26,19:30,46467
2017-02-26,19:45,46490
2017-02-26,20:00,46526
2017-02-26,20:15,46554
2017-02-26,20:30,46587
2017-02-26,20:45,46610
2017-02-26,21:00,46634
2017-02-26,21:15,46670
2017-02-26,21:30,46699
2017-02-26,21:45,46720
2017-02-26,22:00,46743
2017-02-26,22:15,46778
2017-02-26,22:30,46817
2017-02-26,22:45,46832
2017-02-26,23:00,46854
2017-02-26,23:15,46877
2017-02-26,23:30,46897
2017-02-26,23:45,46901
2017-02-27,00:00,46914
2017-02-27,00:15,46923
2017-02-27,00:30,46932
2017-02-27,00:45,46931
2017-02-27,01:00,46939
2017-02-27,01:15,46948
2017-02-27,01:30,46951
2017-02-27,01:45,46954
2017-02-27,02:00,46957
2017-02-27,02:15,46959
2017-02-27,02:30,46960
2017-02-27,02:45,46962
2017-02-27,03:00,46962
2017-02-27,03:15,46964
2017-02-27,03:30,46966
2017-02-27,03:45,46967
2017-02-27,04:00,46968
2017-02-27,04:15,46968
2017-02-27,04:30,46969
2017-02-27,04:45,46970
2017-02-27,05:00,46972
2017-02-27,05:15,46974
2017-02-27,05:30,46975
2017-02-27,05:45,46975
2017-02-27,06:00,46975
2017-02-27,06:15,46976
2017-02-27,06:30,46978
2017-02-27,06:45,46981
2017-02-27,07:00,46986
2017-02-27,07:15,46992
2017-02-27,07:30,46995
2017-02-27,07:45,47002
2017-02-27,08:00,47004
2017-02-27,08:15,47010
2017-02-27,08:30,47019
2017-02-27,08:45,47025
2017-02-27,09:00,47035
2017-02-27,09:15,47046
2017-02-27,09:30,47048
2017-02-27,09:45,47057
2017-02-27,10:00,47067
2017-02-27,10:15,47077
2017-02-27,10:30,47090
2017-02-27,10:45,47095
2017-02-27,11:00,47105
2017-02-27,11:15,47104
2017-02-27,11:30,47109
2017-02-27,11:45,47115
2017-02-27,12:00,47123
2017-02-27,12:15,47132
2017-02-27,12:30,47146
2017-02-27,12:45,47154
2017-02-27,13:00,47165
2017-02-27,13:15,47180
2017-02-27,13:30,47200
2017-02-27,13:45,47231
2017-02-27,14:00,47246
2017-02-27,14:15,47257
2017-02-27,14:30,47275
2017-02-27,14:45,47293
2017-02-27,15:00,47316
2017-02-27,15:15,47338
2017-02-27,15:30,47355
2017-02-27,15:45,47365
2017-02-27,16:00,47396
2017-02-27,16:15,47410
2017-02-27,16:30,47428
2017-02-27,16:45,47443
2017-02-27,17:00,47459
2017-02-27,17:15,47472
2017-02-27,17:30,47500
2017-02-27,17:45,47532
2017-02-27,18:00,47548
2017-02-27,18:15,47557
2017-02-27,18:30,47577
2017-02-27,18:45,47595
2017-02-27,19:00,47616
2017-02-27,19:15,47630
2017-02-27,19:30,47663
2017-02-27,19:45,47683
2017-02-27,20:00,47706
2017-02-27,20:15,47725
2017-02-27,20:30,47734
2017-02-27,20:45,47762
2017-02-27,21:00,47787
2017-02-27,21:15,47809
2017-02-27,21:30,47825
2017-02-27,21:45,47849
2017-02-27,22:00,47872
2017-02-27,22:15,47892
2017-02-27,22:30,47910
2017-02-27,22:45,47926
2017-02-27,23:00,47941
2017-02-27,23:15,47959
2017-02-27,23:30,47973
2017-02-27,23:45,47975
2017-02-28,00:00,47980
2017-02-28,00:15,47985
2017-02-28,00:30,47994
2017-02-28,00:45,47998
2017-02-28,01:00,47999
2017-02-28,01:15,48004
2017-02-28,01:30,48002
2017-02-28,01:45,48007
2017-02-28,02:00,48014
2017-02-28,02:15,48014
2017-02-28,02:30,48019
2017-02-28,02:45,48022
2017-02-28,03:00,48022
2017-02-28,03:15,48024
2017-02-28,03:30,48024
2017-02-28,03:45,48025
2017-02-28,04:00,48027
2017-02-28,04:15,48028
2017-02-28,04:30,48028
2017-02-28,04:45,48028
2017-02-28,05:00,48028
2017-02-28,05:15,48028
2017-02-28,05:30,48028
2017-02-28,05:45,48029
2017-02-28,06:00,48029
2017-02-28,06:15,48031
2017-02-28,06:30,48035
2017-02-28,06:45,48036
2017-02-28,07:00,48037
2017-02-28,07:15,48046
2017-02-28,07:30,48052
2017-02-28,07:45,48059
2017-02-28,08:00,48063
2017-02-28,08:15,48067
2017-02-28,08:30,48073
2017-02-28,08:45,48079
2017-02-28,09:00,48088
2017-02-28,09:15,48091
2017-02-28,09:30,48099
2017-02-28,09:45,48104
2017-02-28,10:00,48113
2017-02-28,10:15,48125
2017-02-28,10:30,48135
2017-02-28,10:45,48138
2017-02-28,11:00,48150
2017-02-28,11:15,48158
2017-02-28,11:30,48169
2017-02-28,11:45,48181
2017-02-28,12:00,48179
2017-02-28,12:15,48188
2017-02-28,12:30,48195
2017-02-28,12:45,48200
2017-02-28,13:00,48217
2017-02-28,13:15,48246
2017-02-28,13:30,48265
2017-02-28,13:45,48287
2017-02-28,14:00,48324
2017-02-28,14:15,48343
2017-02-28,14:30,48359
2017-02-28,14:45,48369
2017-02-28,15:00,48389
2017-02-28,15:15,48402
2017-02-28,15:30,48413
2017-02-28,15:45,48425
2017-02-28,16:00,48443
2017-02-28,16:15,48465
2017-02-28,16:30,48481
2017-02-28,16:45,48501
2017-02-28,17:00,48525
2017-02-28,17:15,48559
2017-02-28,17:30,48600
2017-02-28,17:45,48633
2017-02-28,18:00,48667
2017-02-28,18:15,48698
2017-02-28,18:30,48723
2017-02-28,18:45,48756
2017-02-28,19:00,48780
2017-02-28,19:15,48808
2017-02-28,19:30,48832
2017-02-28,19:45,48862
2017-02-28,20:00,48898
2017-02-28,20:15,48935
2017-02-28,20:30,48962
2017-02-28,20:45,48986
2017-02-28,21:00,49020
2017-02-28,21:15,49050
2017-02-28,21:30,49067
2017-02-28,21:45,49102
2017-02-28,22:00,49124
2017-02-28,22:15,49155
2017-02-28,22:30,49175
2017-02-28,22:45,49192
2017-02-28,23:00,49209
2017-02-28,23:15,49222
2017-02-28,23:30,49226
2017-02-28,23:45,49234
2017-03-01,00:00,49243
2017-03-01,00:15,49259
2017-03-01,00:30,49265
2017-03-01,00:45,49270
2017-03-01,01:00,49276
2017-03-01,01:15,49279
2017-03-01,01:30,49280
2017-03-01,01:45,49284
2017-03-01,02:00,49286
2017-03-01,02:15,49286
2017-03-01,02:30,49289
2017-03-01,02:45,49291
2017-03-01,03:00,49291
2017-03-01,03:15,49293
2017-03-01,03:30,49294
2017-03-01,03:45,49294
2017-03-01,04:00,49294
2017-03-01,04:15,49294
2017-03-01,04:30,49295
2017-03-01,04:45,49295
2017-03-01,05:00,49296
2017-03-01,05:15,49296
2017-03-01,05:30,49296
2017-03-01,05:45,49297
2017-03-01,06:00,49299
2017-03-01,06:15,49300
2017-03-01,06:30,49302
2017-03-01,06:45,49305
2017-03-01,07:00,49312
2017-03-01,07:15,49317
2017-03-01,07:30,49323
2017-03-01,07:45,49332
2017-03-01,08:00,49340
2017-03-01,08:15,49342
2017-03-01,08:30,49346
2017-03-01,08:45,49350
2017-03-01,09:00,49356
2017-03-01,09:15,49360
2017-03-01,09:30,49369
2017-03-01,09:45,49370
2017-03-01,10:00,49387
2017-03-01,10:15,49388
2017-03-01,10:30,49399
2017-03-01,10:45,49408
2017-03-01,11:00,49415
2017-03-01,11:15,49421
2017-03-01,11:30,49431
2017-03-01,11:45,49439
2017-03-01,12:00,49444
2017-03-01,12:15,49451
2017-03-01,12:30,49453
2017-03-01,12:45,49464
2017-03-01,13:00,49467
2017-03-01,13:15,49476
2017-03-01,13:30,49488
2017-03-01,13:45,49498
2017-03-01,14:00,49516
2017-03-01,14:15,49532
2017-03-01,14:30,49543
2017-03-01,14:45,49569
2017-03-01,15:00,49598
2017-03-01,15:15,49620
2017-03-01,15:30,49646
2017-03-01,15:45,49675
2017-03-01,16:00,49699
2017-03-01,16:15,49740
2017-03-01,16:30,49773
2017-03-01,16:45,49800
2017-03-01,17:00,49831
2017-03-01,17:15,49856
2017-03-01,17:30,49889
2017-03-01,17:45,49925
2017-03-01,18:00,49949
2017-03-01,18:15,49968
