Day,Time,Follower Count
2017-02-26,17:55,10667
2017-02-26,18:00,10672
2017-02-26,18:15,10678
2017-02-26,18:30,10687
2017-02-26,18:45,10696
2017-02-26,19:00,10700
2017-02-26,19:15,10702
2017-02-26,19:30,10709
2017-02-26,19:45,10715
2017-02-26,20:00,10722
2017-02-26,20:15,10731
2017-02-26,20:30,10740
2017-02-26,20:45,10753
2017-02-26,21:00,10760
2017-02-26,21:15,10777
2017-02-26,21:30,10782
2017-02-26,21:45,10785
2017-02-26,22:00,10789
2017-02-26,22:15,10801
2017-02-26,22:30,10803
2017-02-26,22:45,10809
2017-02-26,23:00,10812
2017-02-26,23:15,10814
2017-02-26,23:30,10822
2017-02-26,23:45,10825
2017-02-27,00:00,10825
2017-02-27,00:15,10829
2017-02-27,00:30,10828
2017-02-27,00:45,10829
2017-02-27,01:00,10830
2017-02-27,01:15,10831
2017-02-27,01:30,10830
2017-02-27,01:45,10830
2017-02-27,02:00,10831
2017-02-27,02:15,10832
2017-02-27,02:30,10832
2017-02-27,02:45,10833
2017-02-27,03:00,10831
2017-02-27,03:15,10831
2017-02-27,03:30,10831
2017-02-27,03:45,10831
2017-02-27,04:00,10833
2017-02-27,04:15,10833
2017-02-27,04:30,10833
2017-02-27,04:45,10833
2017-02-27,05:00,10833
2017-02-27,05:15,10834
2017-02-27,05:30,10834
2017-02-27,05:45,10834
2017-02-27,06:00,10834
2017-02-27,06:15,10834
2017-02-27,06:30,10834
2017-02-27,06:45,10835
2017-02-27,07:00,10836
2017-02-27,07:15,10838
2017-02-27,07:30,10839
2017-02-27,07:45,10840
2017-02-27,08:00,10841
2017-02-27,08:15,10844
2017-02-27,08:30,10845
2017-02-27,08:45,10848
2017-02-27,09:00,10852
2017-02-27,09:15,10855
2017-02-27,09:30,10860
2017-02-27,09:45,10862
2017-02-27,10:00,10865
2017-02-27,10:15,10867
2017-02-27,10:30,10871
2017-02-27,10:45,10871
2017-02-27,11:00,10872
2017-02-27,11:15,10873
2017-02-27,11:30,10874
2017-02-27,11:45,10874
2017-02-27,12:00,10874
2017-02-27,12:15,10873
2017-02-27,12:30,10874
2017-02-27,12:45,10874
2017-02-27,13:00,10875
2017-02-27,13:15,10879
2017-02-27,13:30,10887
2017-02-27,13:45,10896
2017-02-27,14:00,10902
2017-02-27,14:15,10904
2017-02-27,14:30,10908
2017-02-27,14:45,10910
2017-02-27,15:00,10919
2017-02-27,15:15,10920
2017-02-27,15:30,10921
2017-02-27,15:45,10922
2017-02-27,16:00,10931
2017-02-27,16:15,10936
2017-02-27,16:30,10943
2017-02-27,16:45,10944
2017-02-27,17:00,10948
2017-02-27,17:15,10956
2017-02-27,17:30,10978
2017-02-27,17:45,10991
2017-02-27,18:00,11008
2017-02-27,18:15,11010
2017-02-27,18:30,11013
2017-02-27,18:45,11019
2017-02-27,19:00,11026
2017-02-27,19:15,11033
2017-02-27,19:30,11048
2017-02-27,19:45,11058
2017-02-27,20:00,11064
2017-02-27,20:15,11072
2017-02-27,20:30,11075
2017-02-27,20:45,11079
2017-02-27,21:00,11089
2017-02-27,21:15,11091
2017-02-27,21:30,11100
2017-02-27,21:45,11105
2017-02-27,22:00,11109
2017-02-27,22:15,11114
2017-02-27,22:30,11118
2017-02-27,22:45,11122
2017-02-27,23:00,11127
2017-02-27,23:15,11128
2017-02-27,23:30,11133
2017-02-27,23:45,11133
2017-02-28,00:00,11132
2017-02-28,00:15,11133
2017-02-28,00:30,11135
2017-02-28,00:45,11137
2017-02-28,01:00,11139
2017-02-28,01:15,11138
2017-02-28,01:30,11138
2017-02-28,01:45,11138
2017-02-28,02:00,11139
2017-02-28,02:15,11139
2017-02-28,02:30,11140
2017-02-28,02:45,11141
2017-02-28,03:00,11141
2017-02-28,03:15,11141
2017-02-28,03:30,11141
2017-02-28,03:45,11141
2017-02-28,04:00,11141
2017-02-28,04:15,11140
2017-02-28,04:30,11140
2017-02-28,04:45,11140
2017-02-28,05:00,11140
2017-02-28,05:15,11140
2017-02-28,05:30,11140
2017-02-28,05:45,11140
2017-02-28,06:00,11140
