Day,Time,Follower Count
2017-02-26,17:55,7306
2017-02-26,18:00,7308
2017-02-26,18:15,7316
2017-02-26,18:30,7329
2017-02-26,18:45,7337
2017-02-26,19:00,7341
2017-02-26,19:15,7345
2017-02-26,19:30,7354
2017-02-26,19:45,7360
2017-02-26,20:00,7373
2017-02-26,20:15,7380
2017-02-26,20:30,7389
2017-02-26,20:45,7401
2017-02-26,21:00,7411
2017-02-26,21:15,7424
2017-02-26,21:30,7427
2017-02-26,21:45,7435
2017-02-26,22:00,7442
2017-02-26,22:15,7446
2017-02-26,22:30,7452
2017-02-26,22:45,7460
2017-02-26,23:00,7468
2017-02-26,23:15,7474
2017-02-26,23:30,7476
2017-02-26,23:45,7483
2017-02-27,00:00,7486
2017-02-27,00:15,7490
2017-02-27,00:30,7492
2017-02-27,00:45,7491
2017-02-27,01:00,7491
2017-02-27,01:15,7494
2017-02-27,01:30,7493
2017-02-27,01:45,7494
2017-02-27,02:00,7496
2017-02-27,02:15,7497
2017-02-27,02:30,7497
2017-02-27,02:45,7498
2017-02-27,03:00,7500
2017-02-27,03:15,7497
2017-02-27,03:30,7497
2017-02-27,03:45,7497
2017-02-27,04:00,7498
2017-02-27,04:15,7499
2017-02-27,04:30,7499
2017-02-27,04:45,7499
2017-02-27,05:00,7499
2017-02-27,05:15,7499
2017-02-27,05:30,7499
2017-02-27,05:45,7499
2017-02-27,06:00,7499
2017-02-27,06:15,7499
2017-02-27,06:30,7499
2017-02-27,06:45,7501
2017-02-27,07:00,7503
2017-02-27,07:15,7504
2017-02-27,07:30,7504
2017-02-27,07:45,7505
2017-02-27,08:00,7505
2017-02-27,08:15,7508
2017-02-27,08:30,7511
2017-02-27,08:45,7514
2017-02-27,09:00,7517
2017-02-27,09:15,7518
2017-02-27,09:30,7519
2017-02-27,09:45,7521
2017-02-27,10:00,7526
2017-02-27,10:15,7527
2017-02-27,10:30,7534
2017-02-27,10:45,7535
2017-02-27,11:00,7535
2017-02-27,11:15,7535
2017-02-27,11:30,7536
2017-02-27,11:45,7535
2017-02-27,12:00,7537
2017-02-27,12:15,7538
2017-02-27,12:30,7544
2017-02-27,12:45,7542
2017-02-27,13:00,7541
2017-02-27,13:15,7547
2017-02-27,13:30,7551
2017-02-27,13:45,7560
2017-02-27,14:00,7568
2017-02-27,14:15,7571
2017-02-27,14:30,7576
2017-02-27,14:45,7584
2017-02-27,15:00,7592
2017-02-27,15:15,7596
2017-02-27,15:30,7600
2017-02-27,15:45,7602
2017-02-27,16:00,7606
2017-02-27,16:15,7609
2017-02-27,16:30,7616
2017-02-27,16:45,7618
2017-02-27,17:00,7623
2017-02-27,17:15,7627
2017-02-27,17:30,7636
2017-02-27,17:45,7640
2017-02-27,18:00,7641
2017-02-27,18:15,7645
2017-02-27,18:30,7646
2017-02-27,18:45,7649
2017-02-27,19:00,7650
2017-02-27,19:15,7649
2017-02-27,19:30,7658
2017-02-27,19:45,7663
2017-02-27,20:00,7673
2017-02-27,20:15,7678
2017-02-27,20:30,7684
2017-02-27,20:45,7687
2017-02-27,21:00,7692
2017-02-27,21:15,7696
2017-02-27,21:30,7701
2017-02-27,21:45,7705
2017-02-27,22:00,7707
2017-02-27,22:15,7711
2017-02-27,22:30,7714
2017-02-27,22:45,7721
2017-02-27,23:00,7725
2017-02-27,23:15,7726
2017-02-27,23:30,7727
2017-02-27,23:45,7724
2017-02-28,00:00,7724
2017-02-28,00:15,7724
2017-02-28,00:30,7726
2017-02-28,00:45,7727
2017-02-28,01:00,7728
2017-02-28,01:15,7729
2017-02-28,01:30,7729
2017-02-28,01:45,7730
2017-02-28,02:00,7730
2017-02-28,02:15,7730
