Day,Time,Follower Count
2017-02-26,17:55,13275
2017-02-26,18:00,13279
2017-02-26,18:15,13285
2017-02-26,18:30,13298
2017-02-26,18:45,13312
2017-02-26,19:00,13316
2017-02-26,19:15,13322
2017-02-26,19:30,13328
2017-02-26,19:45,13332
2017-02-26,20:00,13342
2017-02-26,20:15,13352
2017-02-26,20:30,13361
2017-02-26,20:45,13375
2017-02-26,21:00,13385
2017-02-26,21:15,13397
2017-02-26,21:30,13403
2017-02-26,21:45,13414
2017-02-26,22:00,13419
2017-02-26,22:15,13429
2017-02-26,22:30,13435
2017-02-26,22:45,13443
2017-02-26,23:00,13448
2017-02-26,23:15,13451
2017-02-26,23:30,13459
2017-02-26,23:45,13460
2017-02-27,00:00,13462
2017-02-27,00:15,13471
2017-02-27,00:30,13472
2017-02-27,00:45,13474
2017-02-27,01:00,13478
2017-02-27,01:15,13479
2017-02-27,01:30,13479
2017-02-27,01:45,13478
2017-02-27,02:00,13479
2017-02-27,02:15,13480
2017-02-27,02:30,13480
2017-02-27,02:45,13482
2017-02-27,03:00,13483
2017-02-27,03:15,13483
2017-02-27,03:30,13483
2017-02-27,03:45,13483
2017-02-27,04:00,13485
2017-02-27,04:15,13485
2017-02-27,04:30,13486
2017-02-27,04:45,13486
2017-02-27,05:00,13486
2017-02-27,05:15,13486
2017-02-27,05:30,13486
2017-02-27,05:45,13486
2017-02-27,06:00,13486
2017-02-27,06:15,13486
2017-02-27,06:30,13486
2017-02-27,06:45,13488
2017-02-27,07:00,13491
2017-02-27,07:15,13493
2017-02-27,07:30,13495
2017-02-27,07:45,13497
2017-02-27,08:00,13497
2017-02-27,08:15,13498
2017-02-27,08:30,13500
2017-02-27,08:45,13504
2017-02-27,09:00,13507
2017-02-27,09:15,13509
2017-02-27,09:30,13511
2017-02-27,09:45,13510
2017-02-27,10:00,13515
2017-02-27,10:15,13518
2017-02-27,10:30,13522
2017-02-27,10:45,13523
2017-02-27,11:00,13528
2017-02-27,11:15,13528
2017-02-27,11:30,13534
2017-02-27,11:45,13537
2017-02-27,12:00,13539
2017-02-27,12:15,13540
2017-02-27,12:30,13543
2017-02-27,12:45,13545
2017-02-27,13:00,13547
2017-02-27,13:15,13546
2017-02-27,13:30,13550
2017-02-27,13:45,13556
2017-02-27,14:00,13564
2017-02-27,14:15,13568
2017-02-27,14:30,13577
2017-02-27,14:45,13585
2017-02-27,15:00,13591
2017-02-27,15:15,13591
2017-02-27,15:30,13600
2017-02-27,15:45,13600
2017-02-27,16:00,13608
2017-02-27,16:15,13613
2017-02-27,16:30,13622
2017-02-27,16:45,13627
2017-02-27,17:00,13631
2017-02-27,17:15,13635
2017-02-27,17:30,13644
2017-02-27,17:45,13647
2017-02-27,18:00,13655
2017-02-27,18:15,13659
2017-02-27,18:30,13665
2017-02-27,18:45,13668
2017-02-27,19:00,13681
2017-02-27,19:15,13682
2017-02-27,19:30,13694
2017-02-27,19:45,13705
2017-02-27,20:00,13712
2017-02-27,20:15,13717
2017-02-27,20:30,13722
2017-02-27,20:45,13731
2017-02-27,21:00,13740
2017-02-27,21:15,13751
2017-02-27,21:30,13757
2017-02-27,21:45,13761
2017-02-27,22:00,13762
2017-02-27,22:15,13773
2017-02-27,22:30,13777
2017-02-27,22:45,13780
