Day,Time,Follower Count
2017-02-26,17:55,12376
2017-02-26,18:00,12378
2017-02-26,18:15,12385
2017-02-26,18:30,12398
2017-02-26,18:45,12414
2017-02-26,19:00,12424
2017-02-26,19:15,12434
2017-02-26,19:30,12444
2017-02-26,19:45,12454
2017-02-26,20:00,12469
2017-02-26,20:15,12479
2017-02-26,20:30,12491
2017-02-26,20:45,12501
2017-02-26,21:00,12516
2017-02-26,21:15,12535
2017-02-26,21:30,12537
2017-02-26,21:45,12546
2017-02-26,22:00,12553
2017-02-26,22:15,12559
2017-02-26,22:30,12571
2017-02-26,22:45,12576
2017-02-26,23:00,12583
2017-02-26,23:15,12588
2017-02-26,23:30,12594
2017-02-26,23:45,12597
2017-02-27,00:00,12599
2017-02-27,00:15,12602
2017-02-27,00:30,12605
2017-02-27,00:45,12604
2017-02-27,01:00,12606
2017-02-27,01:15,12606
2017-02-27,01:30,12608
2017-02-27,01:45,12608
2017-02-27,02:00,12609
2017-02-27,02:15,12610
2017-02-27,02:30,12610
2017-02-27,02:45,12611
2017-02-27,03:00,12611
2017-02-27,03:15,12610
2017-02-27,03:30,12610
2017-02-27,03:45,12611
2017-02-27,04:00,12613
2017-02-27,04:15,12613
2017-02-27,04:30,12613
2017-02-27,04:45,12613
2017-02-27,05:00,12613
2017-02-27,05:15,12613
2017-02-27,05:30,12613
2017-02-27,05:45,12613
2017-02-27,06:00,12613
2017-02-27,06:15,12613
2017-02-27,06:30,12613
2017-02-27,06:45,12614
2017-02-27,07:00,12616
2017-02-27,07:15,12617
2017-02-27,07:30,12618
2017-02-27,07:45,12618
2017-02-27,08:00,12619
2017-02-27,08:15,12622
2017-02-27,08:30,12626
2017-02-27,08:45,12631
2017-02-27,09:00,12633
2017-02-27,09:15,12636
2017-02-27,09:30,12641
2017-02-27,09:45,12640
2017-02-27,10:00,12643
2017-02-27,10:15,12645
2017-02-27,10:30,12649
2017-02-27,10:45,12653
2017-02-27,11:00,12656
2017-02-27,11:15,12657
2017-02-27,11:30,12659
2017-02-27,11:45,12660
2017-02-27,12:00,12662
2017-02-27,12:15,12663
2017-02-27,12:30,12671
2017-02-27,12:45,12669
2017-02-27,13:00,12672
2017-02-27,13:15,12678
2017-02-27,13:30,12687
2017-02-27,13:45,12691
2017-02-27,14:00,12702
2017-02-27,14:15,12709
2017-02-27,14:30,12719
2017-02-27,14:45,12730
2017-02-27,15:00,12739
2017-02-27,15:15,12740
2017-02-27,15:30,12748
2017-02-27,15:45,12753
2017-02-27,16:00,12758
2017-02-27,16:15,12763
2017-02-27,16:30,12767
2017-02-27,16:45,12776
2017-02-27,17:00,12788
2017-02-27,17:15,12790
2017-02-27,17:30,12802
2017-02-27,17:45,12810
2017-02-27,18:00,12813
2017-02-27,18:15,12815
2017-02-27,18:30,12822
2017-02-27,18:45,12825
2017-02-27,19:00,12831
2017-02-27,19:15,12834
2017-02-27,19:30,12846
2017-02-27,19:45,12856
2017-02-27,20:00,12862
2017-02-27,20:15,12864
2017-02-27,20:30,12870
2017-02-27,20:45,12877
2017-02-27,21:00,12882
2017-02-27,21:15,12892
2017-02-27,21:30,12893
2017-02-27,21:45,12898
2017-02-27,22:00,12899
2017-02-27,22:15,12911
2017-02-27,22:30,12919
2017-02-27,22:45,12926
2017-02-27,23:00,12928
2017-02-27,23:15,12933
2017-02-27,23:30,12935
2017-02-27,23:45,12935
2017-02-28,00:00,12937
2017-02-28,00:15,12937
2017-02-28,00:30,12940
2017-02-28,00:45,12940
2017-02-28,01:00,12940
2017-02-28,01:15,12940
2017-02-28,01:30,12941
2017-02-28,01:45,12941
2017-02-28,02:00,12942
2017-02-28,02:15,12942
2017-02-28,02:30,12942
2017-02-28,02:45,12943
2017-02-28,03:00,12943
2017-02-28,03:15,12944
2017-02-28,03:30,12944
2017-02-28,03:45,12944
2017-02-28,04:00,12944
2017-02-28,04:15,12944
2017-02-28,04:30,12944
2017-02-28,04:45,12944
2017-02-28,05:00,12944
2017-02-28,05:15,12945
2017-02-28,05:30,12945
2017-02-28,05:45,12945
2017-02-28,06:00,12945
2017-02-28,06:15,12946
2017-02-28,06:30,12948
2017-02-28,06:45,12947
2017-02-28,07:00,12948
2017-02-28,07:15,12948
2017-02-28,07:30,12947
2017-02-28,07:45,12949
2017-02-28,08:00,12951
2017-02-28,08:15,12954
2017-02-28,08:30,12958
2017-02-28,08:45,12958
2017-02-28,09:00,12960
2017-02-28,09:15,12963
2017-02-28,09:30,12965
2017-02-28,09:45,12967
2017-02-28,10:00,12971
2017-02-28,10:15,12974
2017-02-28,10:30,12976
2017-02-28,10:45,12978
2017-02-28,11:00,12980
2017-02-28,11:15,12984
2017-02-28,11:30,12985
2017-02-28,11:45,12988
2017-02-28,12:00,12991
2017-02-28,12:15,12996
2017-02-28,12:30,13000
2017-02-28,12:45,13001
2017-02-28,13:00,13006
2017-02-28,13:15,13018
2017-02-28,13:30,13024
2017-02-28,13:45,13032
2017-02-28,14:00,13038
2017-02-28,14:15,13038
2017-02-28,14:30,13040
2017-02-28,14:45,13044
2017-02-28,15:00,13048
2017-02-28,15:15,13047
2017-02-28,15:30,13051
2017-02-28,15:45,13059
2017-02-28,16:00,13076
2017-02-28,16:15,13089
2017-02-28,16:30,13103
2017-02-28,16:45,13114
2017-02-28,17:00,13133
2017-02-28,17:15,13151
2017-02-28,17:30,13163
2017-02-28,17:45,13171
2017-02-28,18:00,13180
2017-02-28,18:15,13191
2017-02-28,18:30,13198
2017-02-28,18:45,13211
2017-02-28,19:00,13215
2017-02-28,19:15,13219
2017-02-28,19:30,13229
2017-02-28,19:45,13236
2017-02-28,20:00,13251
2017-02-28,20:15,13264
2017-02-28,20:30,13276
2017-02-28,20:45,13282
2017-02-28,21:00,13285
2017-02-28,21:15,13295
2017-02-28,21:30,13303
2017-02-28,21:45,13309
2017-02-28,22:00,13325
2017-02-28,22:15,13330
2017-02-28,22:30,13336
2017-02-28,22:45,13340
2017-02-28,23:00,13345
2017-02-28,23:15,13352
2017-02-28,23:30,13357
2017-02-28,23:45,13361
2017-03-01,00:00,13363
2017-03-01,00:15,13364
2017-03-01,00:30,13365
2017-03-01,00:45,13365
2017-03-01,01:00,13367
2017-03-01,01:15,13368
2017-03-01,01:30,13370
2017-03-01,01:45,13370
2017-03-01,02:00,13370
2017-03-01,02:15,13370
2017-03-01,02:30,13372
2017-03-01,02:45,13372
2017-03-01,03:00,13372
2017-03-01,03:15,13372
2017-03-01,03:30,13372
2017-03-01,03:45,13372
2017-03-01,04:00,13374
2017-03-01,04:15,13374
2017-03-01,04:30,13374
2017-03-01,04:45,13374
2017-03-01,05:00,13374
2017-03-01,05:15,13374
2017-03-01,05:30,13372
2017-03-01,05:45,13373
2017-03-01,06:00,13376
2017-03-01,06:15,13377
2017-03-01,06:30,13378
2017-03-01,06:45,13378
2017-03-01,07:00,13378
2017-03-01,07:15,13380
2017-03-01,07:30,13378
2017-03-01,07:45,13381
2017-03-01,08:00,13382
2017-03-01,08:15,13383
2017-03-01,08:30,13384
2017-03-01,08:45,13385
2017-03-01,09:00,13389
2017-03-01,09:15,13392
2017-03-01,09:30,13392
2017-03-01,09:45,13394
2017-03-01,10:00,13395
2017-03-01,10:15,13395
2017-03-01,10:30,13398
2017-03-01,10:45,13399
2017-03-01,11:00,13402
2017-03-01,11:15,13406
2017-03-01,11:30,13409
2017-03-01,11:45,13413
2017-03-01,12:00,13412
2017-03-01,12:15,13416
2017-03-01,12:30,13417
2017-03-01,12:45,13417
2017-03-01,13:00,13417
2017-03-01,13:15,13417
2017-03-01,13:30,13420
2017-03-01,13:45,13426
2017-03-01,14:00,13433
2017-03-01,14:15,13439
2017-03-01,14:30,13443
2017-03-01,14:45,13446
2017-03-01,15:00,13450
2017-03-01,15:15,13451
2017-03-01,15:30,13457
2017-03-01,15:45,13460
2017-03-01,16:00,13463
2017-03-01,16:15,13467
2017-03-01,16:30,13471
2017-03-01,16:45,13475
2017-03-01,17:00,13478
2017-03-01,17:15,13483
2017-03-01,17:30,13490
2017-03-01,17:45,13493
2017-03-01,18:00,13499
2017-03-01,18:15,13503
2017-03-01,18:30,13508
2017-03-01,18:45,13514
2017-03-01,19:00,13519
2017-03-01,19:15,13529
2017-03-01,19:30,13529
2017-03-01,19:45,13526
2017-03-01,20:00,13529
2017-03-01,20:15,13532
2017-03-01,20:30,13537
2017-03-01,20:45,13541
2017-03-01,21:00,13545
2017-03-01,21:15,13555
2017-03-01,21:30,13561
2017-03-01,21:45,13563
2017-03-01,22:00,13566
2017-03-01,22:15,13566
2017-03-01,22:30,13569
2017-03-01,22:45,13570
2017-03-01,23:00,13571
2017-03-01,23:15,13572
2017-03-01,23:30,13574
2017-03-01,23:45,13576
2017-03-02,00:00,13576
2017-03-02,00:15,13577
2017-03-02,00:30,13576
2017-03-02,00:45,13577
2017-03-02,01:00,13578
2017-03-02,01:15,13579
2017-03-02,01:30,13579
2017-03-02,01:45,13578
2017-03-02,02:00,13580
2017-03-02,02:15,13581
2017-03-02,02:30,13582
2017-03-02,02:45,13582
2017-03-02,03:00,13583
2017-03-02,03:15,13583
2017-03-02,03:30,13583
2017-03-02,03:45,13583
2017-03-02,04:00,13583
2017-03-02,04:15,13583
2017-03-02,04:30,13583
2017-03-02,04:45,13584
2017-03-02,05:00,13584
2017-03-02,05:15,13584
2017-03-02,05:30,13584
2017-03-02,05:45,13583
2017-03-02,06:00,13583
2017-03-02,06:15,13583
2017-03-02,06:30,13584
2017-03-02,06:45,13586
2017-03-02,07:00,13585
2017-03-02,07:15,13585
2017-03-02,07:30,13586
2017-03-02,07:45,13587
2017-03-02,08:00,13587
2017-03-02,08:15,13589
2017-03-02,08:30,13594
2017-03-02,08:45,13594
2017-03-02,09:00,13597
2017-03-02,09:15,13600
2017-03-02,09:30,13600
2017-03-02,09:45,13602
2017-03-02,10:00,13602
