Day,Time,Follower Count
2017-02-26,17:55,22829
2017-02-26,18:00,22833
2017-02-26,18:15,22850
2017-02-26,18:30,22874
2017-02-26,18:45,22900
2017-02-26,19:00,22915
2017-02-26,19:15,22927
2017-02-26,19:30,22942
2017-02-26,19:45,22955
2017-02-26,20:00,22974
2017-02-26,20:15,22993
2017-02-26,20:30,23020
2017-02-26,20:45,23055
2017-02-26,21:00,23073
2017-02-26,21:15,23099
2017-02-26,21:30,23113
2017-02-26,21:45,23124
2017-02-26,22:00,23144
2017-02-26,22:15,23162
2017-02-26,22:30,23177
2017-02-26,22:45,23183
2017-02-26,23:00,23200
2017-02-26,23:15,23215
2017-02-26,23:30,23235
2017-02-26,23:45,23238
2017-02-27,00:00,23248
2017-02-27,00:15,23257
2017-02-27,00:30,23261
2017-02-27,00:45,23263
2017-02-27,01:00,23268
2017-02-27,01:15,23271
2017-02-27,01:30,23274
2017-02-27,01:45,23275
2017-02-27,02:00,23275
2017-02-27,02:15,23275
2017-02-27,02:30,23278
2017-02-27,02:45,23280
2017-02-27,03:00,23277
2017-02-27,03:15,23277
2017-02-27,03:30,23279
2017-02-27,03:45,23280
2017-02-27,04:00,23280
2017-02-27,04:15,23280
2017-02-27,04:30,23280
2017-02-27,04:45,23280
2017-02-27,05:00,23280
2017-02-27,05:15,23281
2017-02-27,05:30,23282
2017-02-27,05:45,23282
2017-02-27,06:00,23282
2017-02-27,06:15,23283
2017-02-27,06:30,23283
2017-02-27,06:45,23284
2017-02-27,07:00,23288
2017-02-27,07:15,23293
2017-02-27,07:30,23296
2017-02-27,07:45,23302
2017-02-27,08:00,23305
2017-02-27,08:15,23308
2017-02-27,08:30,23308
2017-02-27,08:45,23313
2017-02-27,09:00,23320
2017-02-27,09:15,23334
2017-02-27,09:30,23337
2017-02-27,09:45,23345
2017-02-27,10:00,23351
2017-02-27,10:15,23358
2017-02-27,10:30,23366
2017-02-27,10:45,23371
2017-02-27,11:00,23374
2017-02-27,11:15,23377
2017-02-27,11:30,23382
2017-02-27,11:45,23389
2017-02-27,12:00,23392
2017-02-27,12:15,23394
2017-02-27,12:30,23404
2017-02-27,12:45,23415
2017-02-27,13:00,23419
2017-02-27,13:15,23433
2017-02-27,13:30,23453
2017-02-27,13:45,23475
2017-02-27,14:00,23499
2017-02-27,14:15,23515
2017-02-27,14:30,23526
2017-02-27,14:45,23526
2017-02-27,15:00,23538
2017-02-27,15:15,23551
2017-02-27,15:30,23563
2017-02-27,15:45,23575
2017-02-27,16:00,23593
2017-02-27,16:15,23598
2017-02-27,16:30,23613
2017-02-27,16:45,23622
2017-02-27,17:00,23634
2017-02-27,17:15,23644
2017-02-27,17:30,23665
2017-02-27,17:45,23674
2017-02-27,18:00,23681
2017-02-27,18:15,23689
2017-02-27,18:30,23700
2017-02-27,18:45,23716
2017-02-27,19:00,23722
2017-02-27,19:15,23732
2017-02-27,19:30,23744
2017-02-27,19:45,23753
2017-02-27,20:00,23766
2017-02-27,20:15,23774
2017-02-27,20:30,23790
2017-02-27,20:45,23809
2017-02-27,21:00,23824
2017-02-27,21:15,23846
2017-02-27,21:30,23853
2017-02-27,21:45,23864
2017-02-27,22:00,23875
2017-02-27,22:15,23888
2017-02-27,22:30,23900
2017-02-27,22:45,23912
2017-02-27,23:00,23919
2017-02-27,23:15,23923
2017-02-27,23:30,23930
2017-02-27,23:45,23931
2017-02-28,00:00,23929
2017-02-28,00:15,23932
2017-02-28,00:30,23935
2017-02-28,00:45,23935
2017-02-28,01:00,23937
2017-02-28,01:15,23939
2017-02-28,01:30,23938
2017-02-28,01:45,23940
2017-02-28,02:00,23940
2017-02-28,02:15,23940
2017-02-28,02:30,23941
2017-02-28,02:45,23942
2017-02-28,03:00,23942
2017-02-28,03:15,23942
2017-02-28,03:30,23941
2017-02-28,03:45,23942
2017-02-28,04:00,23943
2017-02-28,04:15,23946
2017-02-28,04:30,23946
2017-02-28,04:45,23945
2017-02-28,05:00,23945
2017-02-28,05:15,23945
2017-02-28,05:30,23945
2017-02-28,05:45,23947
2017-02-28,06:00,23947
2017-02-28,06:15,23949
2017-02-28,06:30,23950
2017-02-28,06:45,23950
2017-02-28,07:00,23949
2017-02-28,07:15,23952
2017-02-28,07:30,23953
2017-02-28,07:45,23957
2017-02-28,08:00,23964
2017-02-28,08:15,23967
2017-02-28,08:30,23975
2017-02-28,08:45,23977
2017-02-28,09:00,23984
2017-02-28,09:15,23992
2017-02-28,09:30,23997
2017-02-28,09:45,24000
2017-02-28,10:00,24002
2017-02-28,10:15,24006
2017-02-28,10:30,24011
2017-02-28,10:45,24015
2017-02-28,11:00,24022
2017-02-28,11:15,24024
2017-02-28,11:30,24024
2017-02-28,11:45,24028
2017-02-28,12:00,24031
2017-02-28,12:15,24037
2017-02-28,12:30,24040
2017-02-28,12:45,24040
2017-02-28,13:00,24053
2017-02-28,13:15,24069
2017-02-28,13:30,24080
2017-02-28,13:45,24098
2017-02-28,14:00,24116
2017-02-28,14:15,24124
2017-02-28,14:30,24133
2017-02-28,14:45,24140
2017-02-28,15:00,24151
2017-02-28,15:15,24154
2017-02-28,15:30,24162
2017-02-28,15:45,24168
2017-02-28,16:00,24174
2017-02-28,16:15,24181
2017-02-28,16:30,24189
2017-02-28,16:45,24193
2017-02-28,17:00,24212
2017-02-28,17:15,24228
2017-02-28,17:30,24261
2017-02-28,17:45,24270
2017-02-28,18:00,24294
2017-02-28,18:15,24306
2017-02-28,18:30,24319
2017-02-28,18:45,24338
2017-02-28,19:00,24352
2017-02-28,19:15,24362
2017-02-28,19:30,24370
2017-02-28,19:45,24390
2017-02-28,20:00,24410
2017-02-28,20:15,24426
2017-02-28,20:30,24438
2017-02-28,20:45,24447
2017-02-28,21:00,24466
2017-02-28,21:15,24491
2017-02-28,21:30,24496
2017-02-28,21:45,24506
2017-02-28,22:00,24534
2017-02-28,22:15,24553
2017-02-28,22:30,24563
2017-02-28,22:45,24575
2017-02-28,23:00,24580
2017-02-28,23:15,24588
2017-02-28,23:30,24597
2017-02-28,23:45,24603
2017-03-01,00:00,24608
2017-03-01,00:15,24615
2017-03-01,00:30,24616
2017-03-01,00:45,24616
2017-03-01,01:00,24616
2017-03-01,01:15,24620
2017-03-01,01:30,24622
2017-03-01,01:45,24621
2017-03-01,02:00,24622
2017-03-01,02:15,24623
2017-03-01,02:30,24623
2017-03-01,02:45,24623
2017-03-01,03:00,24623
2017-03-01,03:15,24623
2017-03-01,03:30,24623
2017-03-01,03:45,24624
2017-03-01,04:00,24625
2017-03-01,04:15,24625
2017-03-01,04:30,24625
2017-03-01,04:45,24625
2017-03-01,05:00,24625
2017-03-01,05:15,24625
2017-03-01,05:30,24625
2017-03-01,05:45,24626
2017-03-01,06:00,24627
2017-03-01,06:15,24629
2017-03-01,06:30,24630
2017-03-01,06:45,24630
2017-03-01,07:00,24633
2017-03-01,07:15,24635
2017-03-01,07:30,24638
2017-03-01,07:45,24644
2017-03-01,08:00,24644
2017-03-01,08:15,24648
2017-03-01,08:30,24650
2017-03-01,08:45,24651
2017-03-01,09:00,24658
2017-03-01,09:15,24659
2017-03-01,09:30,24662
2017-03-01,09:45,24664
2017-03-01,10:00,24670
2017-03-01,10:15,24674
2017-03-01,10:30,24674
2017-03-01,10:45,24680
2017-03-01,11:00,24685
2017-03-01,11:15,24689
2017-03-01,11:30,24695
2017-03-01,11:45,24704
2017-03-01,12:00,24703
2017-03-01,12:15,24708
2017-03-01,12:30,24711
2017-03-01,12:45,24714
2017-03-01,13:00,24716
2017-03-01,13:15,24719
2017-03-01,13:30,24727
2017-03-01,13:45,24734
2017-03-01,14:00,24744
2017-03-01,14:15,24759
2017-03-01,14:30,24761
2017-03-01,14:45,24774
2017-03-01,15:00,24786
2017-03-01,15:15,24793
2017-03-01,15:30,24799
2017-03-01,15:45,24806
2017-03-01,16:00,24819
2017-03-01,16:15,24833
2017-03-01,16:30,24846
2017-03-01,16:45,24856
2017-03-01,17:00,24871
2017-03-01,17:15,24881
2017-03-01,17:30,24896
2017-03-01,17:45,24915
2017-03-01,18:00,24923
2017-03-01,18:15,24935
2017-03-01,18:30,24949
2017-03-01,18:45,24960
2017-03-01,19:00,24970
2017-03-01,19:15,24977
2017-03-01,19:30,24985
