Day,Time,Follower Count
2017-02-26,17:55,33483
2017-02-26,18:00,33491
2017-02-26,18:15,33509
2017-02-26,18:30,33545
2017-02-26,18:45,33569
2017-02-26,19:00,33592
2017-02-26,19:15,33612
2017-02-26,19:30,33634
2017-02-26,19:45,33646
2017-02-26,20:00,33674
2017-02-26,20:15,33695
2017-02-26,20:30,33735
2017-02-26,20:45,33778
2017-02-26,21:00,33795
2017-02-26,21:15,33818
2017-02-26,21:30,33833
2017-02-26,21:45,33846
2017-02-26,22:00,33867
2017-02-26,22:15,33885
2017-02-26,22:30,33911
2017-02-26,22:45,33929
2017-02-26,23:00,33943
2017-02-26,23:15,33964
2017-02-26,23:30,33983
2017-02-26,23:45,33993
2017-02-27,00:00,34007
2017-02-27,00:15,34016
2017-02-27,00:30,34025
2017-02-27,00:45,34029
2017-02-27,01:00,34034
2017-02-27,01:15,34037
2017-02-27,01:30,34038
2017-02-27,01:45,34039
2017-02-27,02:00,34044
2017-02-27,02:15,34044
2017-02-27,02:30,34046
2017-02-27,02:45,34050
2017-02-27,03:00,34053
2017-02-27,03:15,34054
2017-02-27,03:30,34055
2017-02-27,03:45,34055
2017-02-27,04:00,34056
2017-02-27,04:15,34057
2017-02-27,04:30,34057
2017-02-27,04:45,34057
2017-02-27,05:00,34058
2017-02-27,05:15,34059
2017-02-27,05:30,34060
2017-02-27,05:45,34061
2017-02-27,06:00,34061
2017-02-27,06:15,34061
2017-02-27,06:30,34061
2017-02-27,06:45,34064
2017-02-27,07:00,34066
2017-02-27,07:15,34067
2017-02-27,07:30,34073
2017-02-27,07:45,34079
2017-02-27,08:00,34084
2017-02-27,08:15,34085
2017-02-27,08:30,34092
2017-02-27,08:45,34095
2017-02-27,09:00,34102
2017-02-27,09:15,34115
2017-02-27,09:30,34121
2017-02-27,09:45,34127
2017-02-27,10:00,34143
2017-02-27,10:15,34151
2017-02-27,10:30,34161
2017-02-27,10:45,34168
2017-02-27,11:00,34173
2017-02-27,11:15,34175
2017-02-27,11:30,34183
2017-02-27,11:45,34189
2017-02-27,12:00,34194
2017-02-27,12:15,34198
2017-02-27,12:30,34208
2017-02-27,12:45,34211
2017-02-27,13:00,34218
2017-02-27,13:15,34225
2017-02-27,13:30,34252
2017-02-27,13:45,34280
2017-02-27,14:00,34302
2017-02-27,14:15,34313
2017-02-27,14:30,34325
2017-02-27,14:45,34338
2017-02-27,15:00,34354
2017-02-27,15:15,34369
2017-02-27,15:30,34380
2017-02-27,15:45,34390
2017-02-27,16:00,34407
2017-02-27,16:15,34420
2017-02-27,16:30,34435
2017-02-27,16:45,34450
2017-02-27,17:00,34464
2017-02-27,17:15,34473
2017-02-27,17:30,34494
2017-02-27,17:45,34524
2017-02-27,18:00,34542
2017-02-27,18:15,34554
2017-02-27,18:30,34569
2017-02-27,18:45,34591
2017-02-27,19:00,34608
2017-02-27,19:15,34616
2017-02-27,19:30,34642
2017-02-27,19:45,34659
2017-02-27,20:00,34679
2017-02-27,20:15,34700
2017-02-27,20:30,34710
2017-02-27,20:45,34736
2017-02-27,21:00,34757
2017-02-27,21:15,34771
2017-02-27,21:30,34792
2017-02-27,21:45,34808
2017-02-27,22:00,34824
2017-02-27,22:15,34843
2017-02-27,22:30,34863
2017-02-27,22:45,34882
2017-02-27,23:00,34892
2017-02-27,23:15,34904
2017-02-27,23:30,34920
2017-02-27,23:45,34922
2017-02-28,00:00,34926
2017-02-28,00:15,34932
2017-02-28,00:30,34936
2017-02-28,00:45,34943
2017-02-28,01:00,34948
2017-02-28,01:15,34952
2017-02-28,01:30,34952
2017-02-28,01:45,34956
2017-02-28,02:00,34956
2017-02-28,02:15,34957
2017-02-28,02:30,34961
2017-02-28,02:45,34963
2017-02-28,03:00,34963
2017-02-28,03:15,34963
2017-02-28,03:30,34965
2017-02-28,03:45,34965
2017-02-28,04:00,34966
2017-02-28,04:15,34968
2017-02-28,04:30,34967
2017-02-28,04:45,34967
2017-02-28,05:00,34967
2017-02-28,05:15,34967
2017-02-28,05:30,34968
2017-02-28,05:45,34968
2017-02-28,06:00,34969
2017-02-28,06:15,34970
2017-02-28,06:30,34973
2017-02-28,06:45,34976
2017-02-28,07:00,34976
2017-02-28,07:15,34976
2017-02-28,07:30,34982
2017-02-28,07:45,34987
2017-02-28,08:00,34995
2017-02-28,08:15,35001
2017-02-28,08:30,35008
2017-02-28,08:45,35011
2017-02-28,09:00,35020
2017-02-28,09:15,35027
2017-02-28,09:30,35031
2017-02-28,09:45,35036
2017-02-28,10:00,35037
2017-02-28,10:15,35043
2017-02-28,10:30,35053
2017-02-28,10:45,35056
2017-02-28,11:00,35066
2017-02-28,11:15,35071
2017-02-28,11:30,35082
2017-02-28,11:45,35091
2017-02-28,12:00,35101
2017-02-28,12:15,35114
2017-02-28,12:30,35120
2017-02-28,12:45,35133
2017-02-28,13:00,35148
2017-02-28,13:15,35174
2017-02-28,13:30,35186
2017-02-28,13:45,35202
2017-02-28,14:00,35234
2017-02-28,14:15,35243
2017-02-28,14:30,35256
2017-02-28,14:45,35274
2017-02-28,15:00,35289
2017-02-28,15:15,35302
2017-02-28,15:30,35314
2017-02-28,15:45,35332
2017-02-28,16:00,35355
2017-02-28,16:15,35362
2017-02-28,16:30,35380
2017-02-28,16:45,35396
2017-02-28,17:00,35414
2017-02-28,17:15,35444
2017-02-28,17:30,35494
2017-02-28,17:45,35521
2017-02-28,18:00,35557
2017-02-28,18:15,35585
2017-02-28,18:30,35613
2017-02-28,18:45,35647
2017-02-28,19:00,35663
2017-02-28,19:15,35686
2017-02-28,19:30,35704
2017-02-28,19:45,35726
2017-02-28,20:00,35750
2017-02-28,20:15,35771
2017-02-28,20:30,35795
2017-02-28,20:45,35807
2017-02-28,21:00,35829
2017-02-28,21:15,35864
2017-02-28,21:30,35877
2017-02-28,21:45,35905
2017-02-28,22:00,35933
2017-02-28,22:15,35957
2017-02-28,22:30,35974
2017-02-28,22:45,35993
2017-02-28,23:00,36006
2017-02-28,23:15,36017
2017-02-28,23:30,36026
2017-02-28,23:45,36029
2017-03-01,00:00,36034
2017-03-01,00:15,36041
2017-03-01,00:30,36042
