Day,Time,Follower Count
2017-02-26,17:55,54519
2017-02-26,18:00,54531
2017-02-26,18:15,54565
2017-02-26,18:30,54606
2017-02-26,18:45,54645
2017-02-26,19:00,54676
2017-02-26,19:15,54704
2017-02-26,19:30,54738
2017-02-26,19:45,54768
2017-02-26,20:00,54804
2017-02-26,20:15,54836
2017-02-26,20:30,54876
2017-02-26,20:45,54926
2017-02-26,21:00,54969
2017-02-26,21:15,55010
2017-02-26,21:30,55046
2017-02-26,21:45,55079
2017-02-26,22:00,55118
2017-02-26,22:15,55155
2017-02-26,22:30,55196
2017-02-26,22:45,55223
2017-02-26,23:00,55250
2017-02-26,23:15,55282
2017-02-26,23:30,55314
2017-02-26,23:45,55335
2017-02-27,00:00,55347
2017-02-27,00:15,55361
2017-02-27,00:30,55377
2017-02-27,00:45,55388
2017-02-27,01:00,55400
2017-02-27,01:15,55407
2017-02-27,01:30,55410
2017-02-27,01:45,55414
2017-02-27,02:00,55418
2017-02-27,02:15,55419
2017-02-27,02:30,55425
2017-02-27,02:45,55428
2017-02-27,03:00,55430
2017-02-27,03:15,55433
2017-02-27,03:30,55435
2017-02-27,03:45,55436
2017-02-27,04:00,55435
2017-02-27,04:15,55435
2017-02-27,04:30,55435
2017-02-27,04:45,55435
2017-02-27,05:00,55436
2017-02-27,05:15,55439
2017-02-27,05:30,55440
2017-02-27,05:45,55442
2017-02-27,06:00,55443
2017-02-27,06:15,55444
2017-02-27,06:30,55445
2017-02-27,06:45,55447
2017-02-27,07:00,55453
2017-02-27,07:15,55455
2017-02-27,07:30,55459
2017-02-27,07:45,55469
2017-02-27,08:00,55481
2017-02-27,08:15,55486
2017-02-27,08:30,55496
2017-02-27,08:45,55508
2017-02-27,09:00,55517
2017-02-27,09:15,55532
2017-02-27,09:30,55539
2017-02-27,09:45,55544
2017-02-27,10:00,55559
2017-02-27,10:15,55569
2017-02-27,10:30,55584
2017-02-27,10:45,55596
2017-02-27,11:00,55601
2017-02-27,11:15,55598
2017-02-27,11:30,55607
2017-02-27,11:45,55626
2017-02-27,12:00,55639
2017-02-27,12:15,55654
2017-02-27,12:30,55672
2017-02-27,12:45,55686
2017-02-27,13:00,55694
2017-02-27,13:15,55710
2017-02-27,13:30,55743
2017-02-27,13:45,55772
2017-02-27,14:00,55798
2017-02-27,14:15,55819
2017-02-27,14:30,55846
2017-02-27,14:45,55875
2017-02-27,15:00,55904
2017-02-27,15:15,55930
2017-02-27,15:30,55958
2017-02-27,15:45,55980
2017-02-27,16:00,56012
2017-02-27,16:15,56028
2017-02-27,16:30,56042
2017-02-27,16:45,56064
2017-02-27,17:00,56079
2017-02-27,17:15,56097
2017-02-27,17:30,56138
2017-02-27,17:45,56163
2017-02-27,18:00,56185
2017-02-27,18:15,56207
2017-02-27,18:30,56237
2017-02-27,18:45,56260
2017-02-27,19:00,56282
2017-02-27,19:15,56301
2017-02-27,19:30,56340
2017-02-27,19:45,56369
2017-02-27,20:00,56389
2017-02-27,20:15,56422
2017-02-27,20:30,56440
2017-02-27,20:45,56460
2017-02-27,21:00,56490
2017-02-27,21:15,56526
2017-02-27,21:30,56549
2017-02-27,21:45,56568
2017-02-27,22:00,56589
2017-02-27,22:15,56611
2017-02-27,22:30,56629
2017-02-27,22:45,56647
2017-02-27,23:00,56672
2017-02-27,23:15,56688
2017-02-27,23:30,56702
2017-02-27,23:45,56707
2017-02-28,00:00,56712
2017-02-28,00:15,56726
2017-02-28,00:30,56730
2017-02-28,00:45,56734
2017-02-28,01:00,56737
2017-02-28,01:15,56738
2017-02-28,01:30,56735
2017-02-28,01:45,56738
2017-02-28,02:00,56739
2017-02-28,02:15,56737
2017-02-28,02:30,56740
2017-02-28,02:45,56742
2017-02-28,03:00,56745
2017-02-28,03:15,56746
2017-02-28,03:30,56747
2017-02-28,03:45,56747
2017-02-28,04:00,56747
2017-02-28,04:15,56749
2017-02-28,04:30,56748
2017-02-28,04:45,56749
2017-02-28,05:00,56748
2017-02-28,05:15,56749
2017-02-28,05:30,56751
2017-02-28,05:45,56752
2017-02-28,06:00,56751
2017-02-28,06:15,56751
2017-02-28,06:30,56756
2017-02-28,06:45,56759
2017-02-28,07:00,56767
2017-02-28,07:15,56772
2017-02-28,07:30,56778
2017-02-28,07:45,56784
2017-02-28,08:00,56791
2017-02-28,08:15,56797
2017-02-28,08:30,56799
2017-02-28,08:45,56810
2017-02-28,09:00,56822
2017-02-28,09:15,56828
2017-02-28,09:30,56840
2017-02-28,09:45,56847
2017-02-28,10:00,56859
2017-02-28,10:15,56871
2017-02-28,10:30,56886
2017-02-28,10:45,56894
2017-02-28,11:00,56903
2017-02-28,11:15,56913
2017-02-28,11:30,56924
2017-02-28,11:45,56937
2017-02-28,12:00,56947
2017-02-28,12:15,56956
2017-02-28,12:30,56971
2017-02-28,12:45,56984
2017-02-28,13:00,57008
2017-02-28,13:15,57041
2017-02-28,13:30,57062
2017-02-28,13:45,57088
2017-02-28,14:00,57130
2017-02-28,14:15,57149
2017-02-28,14:30,57169
2017-02-28,14:45,57188
2017-02-28,15:00,57210
2017-02-28,15:15,57231
2017-02-28,15:30,57244
2017-02-28,15:45,57262
2017-02-28,16:00,57302
2017-02-28,16:15,57324
2017-02-28,16:30,57346
2017-02-28,16:45,57373
2017-02-28,17:00,57395
2017-02-28,17:15,57461
2017-02-28,17:30,57547
2017-02-28,17:45,57593
2017-02-28,18:00,57655
2017-02-28,18:15,57704
2017-02-28,18:30,57755
2017-02-28,18:45,57800
2017-02-28,19:00,57835
2017-02-28,19:15,57878
2017-02-28,19:30,57916
2017-02-28,19:45,57961
2017-02-28,20:00,58009
2017-02-28,20:15,58065
2017-02-28,20:30,58115
2017-02-28,20:45,58151
2017-02-28,21:00,58191
2017-02-28,21:15,58229
2017-02-28,21:30,58263
2017-02-28,21:45,58303
2017-02-28,22:00,58346
2017-02-28,22:15,58397
2017-02-28,22:30,58430
2017-02-28,22:45,58461
2017-02-28,23:00,58488
2017-02-28,23:15,58508
2017-02-28,23:30,58527
2017-02-28,23:45,58549
2017-03-01,00:00,58564
2017-03-01,00:15,58577
2017-03-01,00:30,58578
2017-03-01,00:45,58586
2017-03-01,01:00,58588
2017-03-01,01:15,58593
2017-03-01,01:30,58598
2017-03-01,01:45,58601
2017-03-01,02:00,58604
2017-03-01,02:15,58604
2017-03-01,02:30,58607
2017-03-01,02:45,58607
2017-03-01,03:00,58607
2017-03-01,03:15,58608
2017-03-01,03:30,58609
2017-03-01,03:45,58609
2017-03-01,04:00,58609
2017-03-01,04:15,58609
2017-03-01,04:30,58611
2017-03-01,04:45,58613
2017-03-01,05:00,58615
2017-03-01,05:15,58615
2017-03-01,05:30,58615
2017-03-01,05:45,58617
2017-03-01,06:00,58619
2017-03-01,06:15,58625
2017-03-01,06:30,58629
2017-03-01,06:45,58631
2017-03-01,07:00,58642
2017-03-01,07:15,58651
2017-03-01,07:30,58659
2017-03-01,07:45,58667
2017-03-01,08:00,58682
2017-03-01,08:15,58687
2017-03-01,08:30,58691
2017-03-01,08:45,58703
2017-03-01,09:00,58712
2017-03-01,09:15,58726
2017-03-01,09:30,58741
2017-03-01,09:45,58751
2017-03-01,10:00,58771
2017-03-01,10:15,58780
2017-03-01,10:30,58796
2017-03-01,10:45,58813
2017-03-01,11:00,58823
2017-03-01,11:15,58835
2017-03-01,11:30,58849
2017-03-01,11:45,58864
2017-03-01,12:00,58873
2017-03-01,12:15,58880
2017-03-01,12:30,58893
2017-03-01,12:45,58906
2017-03-01,13:00,58921
2017-03-01,13:15,58928
2017-03-01,13:30,58954
2017-03-01,13:45,58967
2017-03-01,14:00,59001
2017-03-01,14:15,59022
2017-03-01,14:30,59046
2017-03-01,14:45,59071
2017-03-01,15:00,59099
2017-03-01,15:15,59122
2017-03-01,15:30,59158
2017-03-01,15:45,59184
2017-03-01,16:00,59201
2017-03-01,16:15,59234
2017-03-01,16:30,59277
2017-03-01,16:45,59316
2017-03-01,17:00,59352
2017-03-01,17:15,59386
2017-03-01,17:30,59438
2017-03-01,17:45,59483
2017-03-01,18:00,59528
2017-03-01,18:15,59557
2017-03-01,18:30,59596
2017-03-01,18:45,59617
2017-03-01,19:00,59644
2017-03-01,19:15,59671
2017-03-01,19:30,59687
2017-03-01,19:45,59723
2017-03-01,20:00,59751
2017-03-01,20:15,59778
2017-03-01,20:30,59799
2017-03-01,20:45,59841
2017-03-01,21:00,59872
2017-03-01,21:15,59908
2017-03-01,21:30,59938
2017-03-01,21:45,59971
2017-03-01,22:00,60013
2017-03-01,22:15,60031
2017-03-01,22:30,60058
2017-03-01,22:45,60067
2017-03-01,23:00,60089
2017-03-01,23:15,60108
2017-03-01,23:30,60122
2017-03-01,23:45,60141
2017-03-02,00:00,60149
2017-03-02,00:15,60161
2017-03-02,00:30,60167
2017-03-02,00:45,60173
2017-03-02,01:00,60181
2017-03-02,01:15,60186
2017-03-02,01:30,60187
2017-03-02,01:45,60188
2017-03-02,02:00,60191
2017-03-02,02:15,60192
2017-03-02,02:30,60194
2017-03-02,02:45,60195
2017-03-02,03:00,60196
2017-03-02,03:15,60196
2017-03-02,03:30,60199
2017-03-02,03:45,60200
2017-03-02,04:00,60201
2017-03-02,04:15,60202
2017-03-02,04:30,60203
2017-03-02,04:45,60203
2017-03-02,05:00,60204
2017-03-02,05:15,60206
2017-03-02,05:30,60206
2017-03-02,05:45,60206
2017-03-02,06:00,60207
2017-03-02,06:15,60209
2017-03-02,06:30,60216
2017-03-02,06:45,60224
2017-03-02,07:00,60230
2017-03-02,07:15,60236
2017-03-02,07:30,60242
2017-03-02,07:45,60252
2017-03-02,08:00,60259
2017-03-02,08:15,60271
2017-03-02,08:30,60275
2017-03-02,08:45,60281
2017-03-02,09:00,60295
2017-03-02,09:15,60299
2017-03-02,09:30,60305
2017-03-02,09:45,60312
2017-03-02,10:00,60325
2017-03-02,10:15,60334
2017-03-02,10:30,60337
2017-03-02,10:45,60344
2017-03-02,11:00,60369
2017-03-02,11:15,60380
2017-03-02,11:30,60404
2017-03-02,11:45,60417
2017-03-02,12:00,60446
2017-03-02,12:15,60470
2017-03-02,12:30,60483
2017-03-02,12:45,60500
2017-03-02,13:00,60526
2017-03-02,13:15,60545
2017-03-02,13:30,60569
2017-03-02,13:45,60610
2017-03-02,14:00,60638
2017-03-02,14:15,60665
2017-03-02,14:30,60695
2017-03-02,14:45,60730
2017-03-02,15:00,60760
2017-03-02,15:15,60800
2017-03-02,15:30,60825
2017-03-02,15:45,60850
2017-03-02,16:00,60885
2017-03-02,16:15,60913
2017-03-02,16:30,60934
2017-03-02,16:45,60955
2017-03-02,17:00,60987
2017-03-02,17:15,61015
2017-03-02,17:30,61044
2017-03-02,17:45,61071
2017-03-02,18:00,61111
2017-03-02,18:15,61142
2017-03-02,18:30,61174
2017-03-02,18:45,61210
2017-03-02,19:00,61248
2017-03-02,19:15,61273
2017-03-02,19:30,61328
2017-03-02,19:45,61374
2017-03-02,20:00,61421
2017-03-02,20:15,61483
2017-03-02,20:30,61601
2017-03-02,20:45,61679
2017-03-02,21:00,62029
2017-03-02,21:15,62788
2017-03-02,21:30,63620
2017-03-02,21:45,64125
2017-03-02,22:00,65017
2017-03-02,22:15,65619
2017-03-02,22:30,66108
2017-03-02,22:45,66465
2017-03-02,23:00,66737
2017-03-02,23:15,66927
2017-03-02,23:30,67072
2017-03-02,23:45,67185
