Day,Time,Follower Count
2017-02-26,17:55,7157
2017-02-26,18:00,7157
2017-02-26,18:15,7160
2017-02-26,18:30,7167
2017-02-26,18:45,7167
2017-02-26,19:00,7168
2017-02-26,19:15,7168
2017-02-26,19:30,7171
2017-02-26,19:45,7173
2017-02-26,20:00,7178
2017-02-26,20:15,7182
2017-02-26,20:30,7183
2017-02-26,20:45,7192
2017-02-26,21:00,7198
2017-02-26,21:15,7209
2017-02-26,21:30,7211
2017-02-26,21:45,7213
2017-02-26,22:00,7218
2017-02-26,22:15,7219
2017-02-26,22:30,7221
2017-02-26,22:45,7223
2017-02-26,23:00,7226
2017-02-26,23:15,7230
2017-02-26,23:30,7237
2017-02-26,23:45,7238
2017-02-27,00:00,7238
2017-02-27,00:15,7239
2017-02-27,00:30,7240
2017-02-27,00:45,7240
2017-02-27,01:00,7242
2017-02-27,01:15,7241
2017-02-27,01:30,7241
2017-02-27,01:45,7240
2017-02-27,02:00,7242
2017-02-27,02:15,7242
2017-02-27,02:30,7242
2017-02-27,02:45,7243
2017-02-27,03:00,7244
2017-02-27,03:15,7244
2017-02-27,03:30,7244
2017-02-27,03:45,7244
2017-02-27,04:00,7244
2017-02-27,04:15,7244
2017-02-27,04:30,7244
2017-02-27,04:45,7244
2017-02-27,05:00,7244
2017-02-27,05:15,7244
2017-02-27,05:30,7244
2017-02-27,05:45,7244
2017-02-27,06:00,7244
2017-02-27,06:15,7244
2017-02-27,06:30,7244
2017-02-27,06:45,7244
2017-02-27,07:00,7246
2017-02-27,07:15,7247
2017-02-27,07:30,7249
2017-02-27,07:45,7248
2017-02-27,08:00,7248
2017-02-27,08:15,7250
2017-02-27,08:30,7250
2017-02-27,08:45,7254
2017-02-27,09:00,7255
2017-02-27,09:15,7256
2017-02-27,09:30,7257
2017-02-27,09:45,7258
2017-02-27,10:00,7262
2017-02-27,10:15,7262
2017-02-27,10:30,7263
2017-02-27,10:45,7264
2017-02-27,11:00,7264
2017-02-27,11:15,7262
2017-02-27,11:30,7263
2017-02-27,11:45,7263
2017-02-27,12:00,7264
2017-02-27,12:15,7266
2017-02-27,12:30,7270
2017-02-27,12:45,7269
2017-02-27,13:00,7270
2017-02-27,13:15,7273
2017-02-27,13:30,7278
2017-02-27,13:45,7282
2017-02-27,14:00,7288
2017-02-27,14:15,7290
2017-02-27,14:30,7294
2017-02-27,14:45,7295
2017-02-27,15:00,7299
2017-02-27,15:15,7300
2017-02-27,15:30,7306
2017-02-27,15:45,7308
2017-02-27,16:00,7313
2017-02-27,16:15,7313
2017-02-27,16:30,7318
2017-02-27,16:45,7322
2017-02-27,17:00,7327
2017-02-27,17:15,7330
2017-02-27,17:30,7341
2017-02-27,17:45,7341
2017-02-27,18:00,7342
2017-02-27,18:15,7346
2017-02-27,18:30,7347
2017-02-27,18:45,7351
2017-02-27,19:00,7352
2017-02-27,19:15,7356
2017-02-27,19:30,7365
2017-02-27,19:45,7370
2017-02-27,20:00,7374
2017-02-27,20:15,7375
2017-02-27,20:30,7375
2017-02-27,20:45,7376
2017-02-27,21:00,7381
2017-02-27,21:15,7387
2017-02-27,21:30,7390
2017-02-27,21:45,7394
