Day,Time,Follower Count
2017-02-26,17:55,7621
2017-02-26,18:00,7621
2017-02-26,18:15,7626
2017-02-26,18:30,7637
2017-02-26,18:45,7642
2017-02-26,19:00,7648
2017-02-26,19:15,7648
2017-02-26,19:30,7653
2017-02-26,19:45,7656
2017-02-26,20:00,7667
2017-02-26,20:15,7673
2017-02-26,20:30,7684
2017-02-26,20:45,7696
2017-02-26,21:00,7704
2017-02-26,21:15,7720
2017-02-26,21:30,7721
2017-02-26,21:45,7724
2017-02-26,22:00,7729
2017-02-26,22:15,7735
2017-02-26,22:30,7741
2017-02-26,22:45,7743
2017-02-26,23:00,7744
2017-02-26,23:15,7746
2017-02-26,23:30,7753
2017-02-26,23:45,7754
2017-02-27,00:00,7758
2017-02-27,00:15,7764
2017-02-27,00:30,7763
2017-02-27,00:45,7763
2017-02-27,01:00,7764
2017-02-27,01:15,7764
2017-02-27,01:30,7764
2017-02-27,01:45,7765
2017-02-27,02:00,7766
2017-02-27,02:15,7768
2017-02-27,02:30,7769
2017-02-27,02:45,7770
2017-02-27,03:00,7771
2017-02-27,03:15,7771
2017-02-27,03:30,7771
2017-02-27,03:45,7771
2017-02-27,04:00,7771
2017-02-27,04:15,7771
2017-02-27,04:30,7771
2017-02-27,04:45,7771
2017-02-27,05:00,7771
2017-02-27,05:15,7771
2017-02-27,05:30,7771
2017-02-27,05:45,7771
2017-02-27,06:00,7771
2017-02-27,06:15,7771
2017-02-27,06:30,7771
2017-02-27,06:45,7771
2017-02-27,07:00,7772
2017-02-27,07:15,7773
2017-02-27,07:30,7774
2017-02-27,07:45,7774
2017-02-27,08:00,7775
2017-02-27,08:15,7776
2017-02-27,08:30,7777
2017-02-27,08:45,7778
2017-02-27,09:00,7780
2017-02-27,09:15,7784
2017-02-27,09:30,7786
2017-02-27,09:45,7788
2017-02-27,10:00,7789
2017-02-27,10:15,7788
2017-02-27,10:30,7790
2017-02-27,10:45,7789
2017-02-27,11:00,7789
2017-02-27,11:15,7787
2017-02-27,11:30,7786
2017-02-27,11:45,7786
2017-02-27,12:00,7786
2017-02-27,12:15,7789
2017-02-27,12:30,7793
2017-02-27,12:45,7792
2017-02-27,13:00,7793
2017-02-27,13:15,7796
2017-02-27,13:30,7799
2017-02-27,13:45,7801
2017-02-27,14:00,7811
2017-02-27,14:15,7822
2017-02-27,14:30,7833
2017-02-27,14:45,7839
2017-02-27,15:00,7844
2017-02-27,15:15,7845
2017-02-27,15:30,7851
2017-02-27,15:45,7856
2017-02-27,16:00,7862
2017-02-27,16:15,7864
2017-02-27,16:30,7868
2017-02-27,16:45,7876
2017-02-27,17:00,7885
2017-02-27,17:15,7893
2017-02-27,17:30,7903
2017-02-27,17:45,7906
2017-02-27,18:00,7909
2017-02-27,18:15,7913
2017-02-27,18:30,7922
2017-02-27,18:45,7928
2017-02-27,19:00,7929
2017-02-27,19:15,7933
2017-02-27,19:30,7945
2017-02-27,19:45,7950
2017-02-27,20:00,7955
2017-02-27,20:15,7962
2017-02-27,20:30,7964
2017-02-27,20:45,7975
2017-02-27,21:00,7983
2017-02-27,21:15,7985
2017-02-27,21:30,7990
2017-02-27,21:45,7993
2017-02-27,22:00,7997
2017-02-27,22:15,8002
2017-02-27,22:30,8012
2017-02-27,22:45,8014
2017-02-27,23:00,8016
2017-02-27,23:15,8018
2017-02-27,23:30,8022
2017-02-27,23:45,8020
2017-02-28,00:00,8021
2017-02-28,00:15,8021
2017-02-28,00:30,8024
2017-02-28,00:45,8023
2017-02-28,01:00,8025
2017-02-28,01:15,8024
2017-02-28,01:30,8023
2017-02-28,01:45,8023
2017-02-28,02:00,8023
2017-02-28,02:15,8023
2017-02-28,02:30,8024
2017-02-28,02:45,8025
2017-02-28,03:00,8025
2017-02-28,03:15,8025
2017-02-28,03:30,8026
2017-02-28,03:45,8026
2017-02-28,04:00,8026
2017-02-28,04:15,8025
2017-02-28,04:30,8025
2017-02-28,04:45,8025
2017-02-28,05:00,8025
2017-02-28,05:15,8025
2017-02-28,05:30,8025
2017-02-28,05:45,8025
2017-02-28,06:00,8025
2017-02-28,06:15,8028
2017-02-28,06:30,8030
2017-02-28,06:45,8031
2017-02-28,07:00,8033
2017-02-28,07:15,8034
2017-02-28,07:30,8033
2017-02-28,07:45,8035
2017-02-28,08:00,8037
2017-02-28,08:15,8040
2017-02-28,08:30,8042
2017-02-28,08:45,8043
2017-02-28,09:00,8046
2017-02-28,09:15,8049
2017-02-28,09:30,8054
2017-02-28,09:45,8055
2017-02-28,10:00,8056
2017-02-28,10:15,8055
2017-02-28,10:30,8057
2017-02-28,10:45,8061
2017-02-28,11:00,8066
2017-02-28,11:15,8069
2017-02-28,11:30,8070
2017-02-28,11:45,8071
2017-02-28,12:00,8073
2017-02-28,12:15,8075
2017-02-28,12:30,8077
2017-02-28,12:45,8081
2017-02-28,13:00,8083
2017-02-28,13:15,8088
2017-02-28,13:30,8093
2017-02-28,13:45,8098
2017-02-28,14:00,8102
2017-02-28,14:15,8104
2017-02-28,14:30,8101
2017-02-28,14:45,8107
2017-02-28,15:00,8111
2017-02-28,15:15,8112
2017-02-28,15:30,8117
2017-02-28,15:45,8119
2017-02-28,16:00,8125
2017-02-28,16:15,8129
2017-02-28,16:30,8133
2017-02-28,16:45,8139
2017-02-28,17:00,8153
2017-02-28,17:15,8178
2017-02-28,17:30,8189
2017-02-28,17:45,8201
2017-02-28,18:00,8213
2017-02-28,18:15,8229
2017-02-28,18:30,8241
2017-02-28,18:45,8248
2017-02-28,19:00,8251
2017-02-28,19:15,8257
2017-02-28,19:30,8266
2017-02-28,19:45,8276
2017-02-28,20:00,8286
2017-02-28,20:15,8296
2017-02-28,20:30,8301
2017-02-28,20:45,8316
2017-02-28,21:00,8321
2017-02-28,21:15,8331
2017-02-28,21:30,8337
2017-02-28,21:45,8346
2017-02-28,22:00,8358
2017-02-28,22:15,8362
2017-02-28,22:30,8367
2017-02-28,22:45,8378
2017-02-28,23:00,8381
2017-02-28,23:15,8382
2017-02-28,23:30,8383
2017-02-28,23:45,8385
2017-03-01,00:00,8386
2017-03-01,00:15,8387
2017-03-01,00:30,8389
2017-03-01,00:45,8391
2017-03-01,01:00,8391
2017-03-01,01:15,8393
2017-03-01,01:30,8394
2017-03-01,01:45,8394
2017-03-01,02:00,8394
2017-03-01,02:15,8395
2017-03-01,02:30,8395
2017-03-01,02:45,8395
