Day,Time,Follower Count
2017-02-26,17:55,10199
2017-02-26,18:00,10199
2017-02-26,18:15,10213
2017-02-26,18:30,10233
2017-02-26,18:45,10252
2017-02-26,19:00,10261
2017-02-26,19:15,10266
2017-02-26,19:30,10279
2017-02-26,19:45,10286
2017-02-26,20:00,10304
2017-02-26,20:15,10316
2017-02-26,20:30,10326
2017-02-26,20:45,10346
2017-02-26,21:00,10358
2017-02-26,21:15,10380
2017-02-26,21:30,10392
2017-02-26,21:45,10401
2017-02-26,22:00,10412
2017-02-26,22:15,10422
2017-02-26,22:30,10430
2017-02-26,22:45,10436
2017-02-26,23:00,10440
2017-02-26,23:15,10447
2017-02-26,23:30,10456
2017-02-26,23:45,10461
2017-02-27,00:00,10463
2017-02-27,00:15,10468
2017-02-27,00:30,10471
2017-02-27,00:45,10471
2017-02-27,01:00,10473
2017-02-27,01:15,10473
2017-02-27,01:30,10473
2017-02-27,01:45,10472
2017-02-27,02:00,10473
2017-02-27,02:15,10474
2017-02-27,02:30,10475
2017-02-27,02:45,10475
2017-02-27,03:00,10477
2017-02-27,03:15,10477
2017-02-27,03:30,10477
2017-02-27,03:45,10477
2017-02-27,04:00,10479
2017-02-27,04:15,10480
2017-02-27,04:30,10480
2017-02-27,04:45,10480
2017-02-27,05:00,10481
2017-02-27,05:15,10481
2017-02-27,05:30,10482
2017-02-27,05:45,10483
2017-02-27,06:00,10483
2017-02-27,06:15,10483
2017-02-27,06:30,10483
2017-02-27,06:45,10484
2017-02-27,07:00,10487
2017-02-27,07:15,10489
2017-02-27,07:30,10489
2017-02-27,07:45,10491
2017-02-27,08:00,10492
2017-02-27,08:15,10496
2017-02-27,08:30,10500
2017-02-27,08:45,10505
2017-02-27,09:00,10512
2017-02-27,09:15,10517
2017-02-27,09:30,10520
2017-02-27,09:45,10523
2017-02-27,10:00,10528
2017-02-27,10:15,10532
2017-02-27,10:30,10536
2017-02-27,10:45,10535
2017-02-27,11:00,10535
2017-02-27,11:15,10534
2017-02-27,11:30,10536
2017-02-27,11:45,10538
2017-02-27,12:00,10539
2017-02-27,12:15,10538
2017-02-27,12:30,10541
2017-02-27,12:45,10542
2017-02-27,13:00,10546
2017-02-27,13:15,10553
2017-02-27,13:30,10562
2017-02-27,13:45,10570
2017-02-27,14:00,10581
2017-02-27,14:15,10585
2017-02-27,14:30,10590
2017-02-27,14:45,10595
2017-02-27,15:00,10600
2017-02-27,15:15,10600
2017-02-27,15:30,10603
2017-02-27,15:45,10610
2017-02-27,16:00,10618
2017-02-27,16:15,10623
2017-02-27,16:30,10625
2017-02-27,16:45,10626
2017-02-27,17:00,10632
2017-02-27,17:15,10640
2017-02-27,17:30,10650
2017-02-27,17:45,10654
2017-02-27,18:00,10658
2017-02-27,18:15,10663
2017-02-27,18:30,10666
2017-02-27,18:45,10667
2017-02-27,19:00,10675
2017-02-27,19:15,10677
2017-02-27,19:30,10692
2017-02-27,19:45,10699
2017-02-27,20:00,10703
2017-02-27,20:15,10712
2017-02-27,20:30,10716
2017-02-27,20:45,10720
2017-02-27,21:00,10730
2017-02-27,21:15,10734
2017-02-27,21:30,10739
2017-02-27,21:45,10742
2017-02-27,22:00,10745
2017-02-27,22:15,10754
2017-02-27,22:30,10763
2017-02-27,22:45,10766
2017-02-27,23:00,10767
2017-02-27,23:15,10770
2017-02-27,23:30,10777
2017-02-27,23:45,10774
2017-02-28,00:00,10776
2017-02-28,00:15,10776
2017-02-28,00:30,10776
2017-02-28,00:45,10776
2017-02-28,01:00,10778
2017-02-28,01:15,10779
2017-02-28,01:30,10779
2017-02-28,01:45,10779
2017-02-28,02:00,10778
2017-02-28,02:15,10777
2017-02-28,02:30,10778
2017-02-28,02:45,10779
2017-02-28,03:00,10779
2017-02-28,03:15,10779
2017-02-28,03:30,10779
2017-02-28,03:45,10779
2017-02-28,04:00,10779
2017-02-28,04:15,10780
