Day,Time,Follower Count
2017-02-26,17:55,5400
2017-02-26,18:00,5400
2017-02-26,18:15,5404
2017-02-26,18:30,5412
2017-02-26,18:45,5418
2017-02-26,19:00,5424
2017-02-26,19:15,5429
2017-02-26,19:30,5432
2017-02-26,19:45,5436
2017-02-26,20:00,5446
2017-02-26,20:15,5453
2017-02-26,20:30,5459
2017-02-26,20:45,5470
2017-02-26,21:00,5475
2017-02-26,21:15,5492
2017-02-26,21:30,5498
2017-02-26,21:45,5504
2017-02-26,22:00,5506
2017-02-26,22:15,5510
2017-02-26,22:30,5516
2017-02-26,22:45,5518
2017-02-26,23:00,5520
2017-02-26,23:15,5521
2017-02-26,23:30,5524
2017-02-26,23:45,5528
2017-02-27,00:00,5531
2017-02-27,00:15,5532
2017-02-27,00:30,5533
2017-02-27,00:45,5533
2017-02-27,01:00,5534
2017-02-27,01:15,5534
2017-02-27,01:30,5535
2017-02-27,01:45,5535
2017-02-27,02:00,5535
2017-02-27,02:15,5536
2017-02-27,02:30,5536
2017-02-27,02:45,5537
2017-02-27,03:00,5537
2017-02-27,03:15,5538
2017-02-27,03:30,5539
2017-02-27,03:45,5539
2017-02-27,04:00,5539
2017-02-27,04:15,5539
2017-02-27,04:30,5539
2017-02-27,04:45,5539
2017-02-27,05:00,5539
2017-02-27,05:15,5538
2017-02-27,05:30,5538
2017-02-27,05:45,5538
2017-02-27,06:00,5538
2017-02-27,06:15,5538
2017-02-27,06:30,5538
2017-02-27,06:45,5539
2017-02-27,07:00,5540
2017-02-27,07:15,5541
2017-02-27,07:30,5541
2017-02-27,07:45,5542
2017-02-27,08:00,5544
2017-02-27,08:15,5545
2017-02-27,08:30,5547
2017-02-27,08:45,5550
2017-02-27,09:00,5555
2017-02-27,09:15,5557
2017-02-27,09:30,5559
2017-02-27,09:45,5560
2017-02-27,10:00,5564
2017-02-27,10:15,5567
2017-02-27,10:30,5571
2017-02-27,10:45,5570
2017-02-27,11:00,5569
2017-02-27,11:15,5568
2017-02-27,11:30,5570
2017-02-27,11:45,5571
2017-02-27,12:00,5572
2017-02-27,12:15,5573
2017-02-27,12:30,5577
2017-02-27,12:45,5576
2017-02-27,13:00,5577
2017-02-27,13:15,5579
2017-02-27,13:30,5578
2017-02-27,13:45,5582
2017-02-27,14:00,5585
2017-02-27,14:15,5591
2017-02-27,14:30,5602
2017-02-27,14:45,5606
2017-02-27,15:00,5613
2017-02-27,15:15,5614
2017-02-27,15:30,5618
2017-02-27,15:45,5623
2017-02-27,16:00,5627
2017-02-27,16:15,5630
2017-02-27,16:30,5637
2017-02-27,16:45,5637
2017-02-27,17:00,5641
2017-02-27,17:15,5643
2017-02-27,17:30,5654
2017-02-27,17:45,5656
2017-02-27,18:00,5662
2017-02-27,18:15,5666
2017-02-27,18:30,5672
2017-02-27,18:45,5673
2017-02-27,19:00,5675
2017-02-27,19:15,5680
2017-02-27,19:30,5690
2017-02-27,19:45,5696
2017-02-27,20:00,5698
2017-02-27,20:15,5701
2017-02-27,20:30,5704
2017-02-27,20:45,5711
2017-02-27,21:00,5715
2017-02-27,21:15,5719
2017-02-27,21:30,5722
2017-02-27,21:45,5726
2017-02-27,22:00,5727
2017-02-27,22:15,5727
2017-02-27,22:30,5731
2017-02-27,22:45,5733
2017-02-27,23:00,5734
2017-02-27,23:15,5737
2017-02-27,23:30,5739
2017-02-27,23:45,5740
2017-02-28,00:00,5740
2017-02-28,00:15,5741
2017-02-28,00:30,5741
2017-02-28,00:45,5743
2017-02-28,01:00,5744
2017-02-28,01:15,5744
2017-02-28,01:30,5744
2017-02-28,01:45,5745
2017-02-28,02:00,5745
2017-02-28,02:15,5746
2017-02-28,02:30,5746
2017-02-28,02:45,5747
2017-02-28,03:00,5747
2017-02-28,03:15,5747
2017-02-28,03:30,5747
2017-02-28,03:45,5747
2017-02-28,04:00,5747
2017-02-28,04:15,5747
2017-02-28,04:30,5747
2017-02-28,04:45,5747
2017-02-28,05:00,5747
2017-02-28,05:15,5747
2017-02-28,05:30,5747
2017-02-28,05:45,5747
2017-02-28,06:00,5747
2017-02-28,06:15,5747
2017-02-28,06:30,5750
2017-02-28,06:45,5750
2017-02-28,07:00,5750
2017-02-28,07:15,5749
2017-02-28,07:30,5749
2017-02-28,07:45,5751
2017-02-28,08:00,5752
2017-02-28,08:15,5755
2017-02-28,08:30,5760
2017-02-28,08:45,5760
2017-02-28,09:00,5763
2017-02-28,09:15,5764
2017-02-28,09:30,5765
2017-02-28,09:45,5766
2017-02-28,10:00,5767
2017-02-28,10:15,5769
2017-02-28,10:30,5771
2017-02-28,10:45,5771
2017-02-28,11:00,5771
2017-02-28,11:15,5773
2017-02-28,11:30,5773
2017-02-28,11:45,5776
2017-02-28,12:00,5777
2017-02-28,12:15,5779
2017-02-28,12:30,5779
2017-02-28,12:45,5781
2017-02-28,13:00,5791
2017-02-28,13:15,5829
2017-02-28,13:30,5858
2017-02-28,13:45,5879
2017-02-28,14:00,5892
2017-02-28,14:15,5901
2017-02-28,14:30,5912
2017-02-28,14:45,5918
2017-02-28,15:00,5933
2017-02-28,15:15,5938
