Day,Time,Follower Count
2017-02-26,17:55,13858
2017-02-26,18:00,13865
2017-02-26,18:15,13887
2017-02-26,18:30,13909
2017-02-26,18:45,13924
2017-02-26,19:00,13943
2017-02-26,19:15,13958
2017-02-26,19:30,13970
2017-02-26,19:45,13985
2017-02-26,20:00,14007
2017-02-26,20:15,14027
2017-02-26,20:30,14050
2017-02-26,20:45,14073
2017-02-26,21:00,14096
2017-02-26,21:15,14118
2017-02-26,21:30,14131
2017-02-26,21:45,14150
2017-02-26,22:00,14167
2017-02-26,22:15,14186
2017-02-26,22:30,14199
2017-02-26,22:45,14219
2017-02-26,23:00,14231
2017-02-26,23:15,14238
2017-02-26,23:30,14255
2017-02-26,23:45,14262
2017-02-27,00:00,14270
2017-02-27,00:15,14279
2017-02-27,00:30,14285
2017-02-27,00:45,14283
2017-02-27,01:00,14284
2017-02-27,01:15,14286
2017-02-27,01:30,14286
2017-02-27,01:45,14286
2017-02-27,02:00,14288
2017-02-27,02:15,14290
2017-02-27,02:30,14290
2017-02-27,02:45,14292
2017-02-27,03:00,14293
2017-02-27,03:15,14293
2017-02-27,03:30,14294
2017-02-27,03:45,14294
2017-02-27,04:00,14295
2017-02-27,04:15,14295
2017-02-27,04:30,14294
2017-02-27,04:45,14294
2017-02-27,05:00,14295
2017-02-27,05:15,14295
2017-02-27,05:30,14295
2017-02-27,05:45,14295
2017-02-27,06:00,14295
2017-02-27,06:15,14296
2017-02-27,06:30,14297
2017-02-27,06:45,14297
2017-02-27,07:00,14299
2017-02-27,07:15,14301
2017-02-27,07:30,14305
2017-02-27,07:45,14307
2017-02-27,08:00,14312
2017-02-27,08:15,14317
2017-02-27,08:30,14320
2017-02-27,08:45,14323
2017-02-27,09:00,14331
2017-02-27,09:15,14341
2017-02-27,09:30,14346
2017-02-27,09:45,14350
2017-02-27,10:00,14359
2017-02-27,10:15,14367
2017-02-27,10:30,14378
2017-02-27,10:45,14381
2017-02-27,11:00,14387
2017-02-27,11:15,14389
2017-02-27,11:30,14392
2017-02-27,11:45,14397
2017-02-27,12:00,14403
2017-02-27,12:15,14406
2017-02-27,12:30,14410
2017-02-27,12:45,14416
2017-02-27,13:00,14420
2017-02-27,13:15,14433
2017-02-27,13:30,14475
2017-02-27,13:45,14514
2017-02-27,14:00,14546
2017-02-27,14:15,14565
2017-02-27,14:30,14585
2017-02-27,14:45,14600
2017-02-27,15:00,14616
2017-02-27,15:15,14625
2017-02-27,15:30,14645
2017-02-27,15:45,14662
2017-02-27,16:00,14684
2017-02-27,16:15,14699
2017-02-27,16:30,14711
2017-02-27,16:45,14726
2017-02-27,17:00,14739
2017-02-27,17:15,14757
2017-02-27,17:30,14777
2017-02-27,17:45,14786
2017-02-27,18:00,14798
2017-02-27,18:15,14806
2017-02-27,18:30,14818
2017-02-27,18:45,14839
2017-02-27,19:00,14856
2017-02-27,19:15,14860
2017-02-27,19:30,14874
2017-02-27,19:45,14885
2017-02-27,20:00,14896
2017-02-27,20:15,14910
2017-02-27,20:30,14924
2017-02-27,20:45,14937
2017-02-27,21:00,14956
2017-02-27,21:15,14967
2017-02-27,21:30,14978
2017-02-27,21:45,14989
2017-02-27,22:00,14997
2017-02-27,22:15,15007
2017-02-27,22:30,15018
2017-02-27,22:45,15030
2017-02-27,23:00,15034
2017-02-27,23:15,15037
2017-02-27,23:30,15050
2017-02-27,23:45,15049
2017-02-28,00:00,15051
2017-02-28,00:15,15054
2017-02-28,00:30,15055
2017-02-28,00:45,15056
2017-02-28,01:00,15059
2017-02-28,01:15,15059
2017-02-28,01:30,15059
2017-02-28,01:45,15059
2017-02-28,02:00,15056
2017-02-28,02:15,15057
2017-02-28,02:30,15058
2017-02-28,02:45,15061
2017-02-28,03:00,15061
2017-02-28,03:15,15061
2017-02-28,03:30,15061
2017-02-28,03:45,15061
2017-02-28,04:00,15062
2017-02-28,04:15,15063
2017-02-28,04:30,15062
2017-02-28,04:45,15062
2017-02-28,05:00,15062
2017-02-28,05:15,15062
2017-02-28,05:30,15062
2017-02-28,05:45,15062
2017-02-28,06:00,15062
2017-02-28,06:15,15062
2017-02-28,06:30,15065
2017-02-28,06:45,15065
2017-02-28,07:00,15069
2017-02-28,07:15,15070
2017-02-28,07:30,15070
2017-02-28,07:45,15070
2017-02-28,08:00,15073
2017-02-28,08:15,15080
2017-02-28,08:30,15086
2017-02-28,08:45,15089
2017-02-28,09:00,15095
2017-02-28,09:15,15097
2017-02-28,09:30,15100
2017-02-28,09:45,15103
2017-02-28,10:00,15104
2017-02-28,10:15,15108
2017-02-28,10:30,15115
2017-02-28,10:45,15116
2017-02-28,11:00,15121
2017-02-28,11:15,15125
2017-02-28,11:30,15128
2017-02-28,11:45,15130
2017-02-28,12:00,15132
2017-02-28,12:15,15137
2017-02-28,12:30,15139
2017-02-28,12:45,15142
2017-02-28,13:00,15153
2017-02-28,13:15,15164
2017-02-28,13:30,15174
2017-02-28,13:45,15191
2017-02-28,14:00,15200
2017-02-28,14:15,15204
2017-02-28,14:30,15208
2017-02-28,14:45,15212
2017-02-28,15:00,15219
2017-02-28,15:15,15221
2017-02-28,15:30,15228
2017-02-28,15:45,15237
2017-02-28,16:00,15266
2017-02-28,16:15,15284
2017-02-28,16:30,15309
2017-02-28,16:45,15328
2017-02-28,17:00,15341
2017-02-28,17:15,15360
2017-02-28,17:30,15387
2017-02-28,17:45,15403
2017-02-28,18:00,15422
2017-02-28,18:15,15435
2017-02-28,18:30,15448
2017-02-28,18:45,15462
2017-02-28,19:00,15473
2017-02-28,19:15,15489
2017-02-28,19:30,15502
2017-02-28,19:45,15511
2017-02-28,20:00,15526
2017-02-28,20:15,15535
2017-02-28,20:30,15546
2017-02-28,20:45,15553
2017-02-28,21:00,15563
2017-02-28,21:15,15580
2017-02-28,21:30,15590
2017-02-28,21:45,15600
2017-02-28,22:00,15616
2017-02-28,22:15,15625
2017-02-28,22:30,15634
2017-02-28,22:45,15640
2017-02-28,23:00,15645
2017-02-28,23:15,15652
2017-02-28,23:30,15653
2017-02-28,23:45,15658
2017-03-01,00:00,15661
2017-03-01,00:15,15665
2017-03-01,00:30,15668
2017-03-01,00:45,15668
2017-03-01,01:00,15669
2017-03-01,01:15,15671
2017-03-01,01:30,15668
2017-03-01,01:45,15668
2017-03-01,02:00,15669
2017-03-01,02:15,15670
2017-03-01,02:30,15670
2017-03-01,02:45,15670
2017-03-01,03:00,15670
2017-03-01,03:15,15671
2017-03-01,03:30,15671
2017-03-01,03:45,15671
2017-03-01,04:00,15673
2017-03-01,04:15,15673
2017-03-01,04:30,15673
2017-03-01,04:45,15673
2017-03-01,05:00,15674
2017-03-01,05:15,15674
2017-03-01,05:30,15674
2017-03-01,05:45,15675
2017-03-01,06:00,15676
2017-03-01,06:15,15678
2017-03-01,06:30,15679
2017-03-01,06:45,15680
2017-03-01,07:00,15682
2017-03-01,07:15,15684
2017-03-01,07:30,15684
2017-03-01,07:45,15685
2017-03-01,08:00,15684
2017-03-01,08:15,15686
2017-03-01,08:30,15684
2017-03-01,08:45,15684
2017-03-01,09:00,15687
2017-03-01,09:15,15690
2017-03-01,09:30,15694
2017-03-01,09:45,15693
2017-03-01,10:00,15697
2017-03-01,10:15,15698
2017-03-01,10:30,15701
2017-03-01,10:45,15706
2017-03-01,11:00,15711
2017-03-01,11:15,15714
2017-03-01,11:30,15721
2017-03-01,11:45,15725
2017-03-01,12:00,15727
2017-03-01,12:15,15730
2017-03-01,12:30,15732
2017-03-01,12:45,15735
2017-03-01,13:00,15735
2017-03-01,13:15,15738
2017-03-01,13:30,15743
2017-03-01,13:45,15748
2017-03-01,14:00,15756
2017-03-01,14:15,15761
2017-03-01,14:30,15766
2017-03-01,14:45,15773
2017-03-01,15:00,15778
2017-03-01,15:15,15786
2017-03-01,15:30,15794
2017-03-01,15:45,15800
2017-03-01,16:00,15810
2017-03-01,16:15,15814
2017-03-01,16:30,15820
2017-03-01,16:45,15827
2017-03-01,17:00,15834
2017-03-01,17:15,15841
2017-03-01,17:30,15851
2017-03-01,17:45,15861
2017-03-01,18:00,15875
2017-03-01,18:15,15886
2017-03-01,18:30,15893
2017-03-01,18:45,15898
2017-03-01,19:00,15907
2017-03-01,19:15,15919
2017-03-01,19:30,15921
2017-03-01,19:45,15927
2017-03-01,20:00,15933
2017-03-01,20:15,15936
2017-03-01,20:30,15943
2017-03-01,20:45,15956
2017-03-01,21:00,15961
2017-03-01,21:15,15978
2017-03-01,21:30,15985
2017-03-01,21:45,15990
2017-03-01,22:00,15994
2017-03-01,22:15,16008
2017-03-01,22:30,16010
2017-03-01,22:45,16013
2017-03-01,23:00,16014
2017-03-01,23:15,16020
2017-03-01,23:30,16020
2017-03-01,23:45,16027
2017-03-02,00:00,16028
2017-03-02,00:15,16033
2017-03-02,00:30,16037
2017-03-02,00:45,16037
2017-03-02,01:00,16037
2017-03-02,01:15,16036
2017-03-02,01:30,16035
2017-03-02,01:45,16035
2017-03-02,02:00,16037
2017-03-02,02:15,16038
2017-03-02,02:30,16039
2017-03-02,02:45,16040
2017-03-02,03:00,16041
2017-03-02,03:15,16041
2017-03-02,03:30,16042
2017-03-02,03:45,16042
2017-03-02,04:00,16042
2017-03-02,04:15,16042
2017-03-02,04:30,16042
2017-03-02,04:45,16043
2017-03-02,05:00,16044
2017-03-02,05:15,16044
2017-03-02,05:30,16044
2017-03-02,05:45,16043
2017-03-02,06:00,16044
2017-03-02,06:15,16044
2017-03-02,06:30,16045
2017-03-02,06:45,16045
2017-03-02,07:00,16044
2017-03-02,07:15,16047
2017-03-02,07:30,16050
2017-03-02,07:45,16050
2017-03-02,08:00,16050
2017-03-02,08:15,16053
2017-03-02,08:30,16054
2017-03-02,08:45,16055
2017-03-02,09:00,16058
2017-03-02,09:15,16060
2017-03-02,09:30,16064
2017-03-02,09:45,16064
2017-03-02,10:00,16067
2017-03-02,10:15,16069
2017-03-02,10:30,16072
2017-03-02,10:45,16071
2017-03-02,11:00,16075
2017-03-02,11:15,16081
2017-03-02,11:30,16089
2017-03-02,11:45,16099
2017-03-02,12:00,16113
2017-03-02,12:15,16121
2017-03-02,12:30,16132
2017-03-02,12:45,16136
2017-03-02,13:00,16140
2017-03-02,13:15,16148
2017-03-02,13:30,16161
2017-03-02,13:45,16171
2017-03-02,14:00,16179
2017-03-02,14:15,16192
2017-03-02,14:30,16201
2017-03-02,14:45,16207
2017-03-02,15:00,16209
2017-03-02,15:15,16219
2017-03-02,15:30,16227
2017-03-02,15:45,16232
2017-03-02,16:00,16243
2017-03-02,16:15,16255
2017-03-02,16:30,16263
2017-03-02,16:45,16282
2017-03-02,17:00,16294
2017-03-02,17:15,16305
2017-03-02,17:30,16312
2017-03-02,17:45,16330
2017-03-02,18:00,16341
2017-03-02,18:15,16350
2017-03-02,18:30,16361
2017-03-02,18:45,16374
2017-03-02,19:00,16382
2017-03-02,19:15,16396
2017-03-02,19:30,16409
2017-03-02,19:45,16423
2017-03-02,20:00,16449
2017-03-02,20:15,16472
2017-03-02,20:30,16492
