Day,Time,Follower Count
2017-02-26,17:55,21775
2017-02-26,18:00,21775
2017-02-26,18:15,21797
2017-02-26,18:30,21826
2017-02-26,18:45,21846
2017-02-26,19:00,21866
2017-02-26,19:15,21879
2017-02-26,19:30,21897
2017-02-26,19:45,21913
2017-02-26,20:00,21936
2017-02-26,20:15,21951
2017-02-26,20:30,21971
2017-02-26,20:45,21999
2017-02-26,21:00,22014
2017-02-26,21:15,22031
2017-02-26,21:30,22054
2017-02-26,21:45,22060
2017-02-26,22:00,22083
2017-02-26,22:15,22105
2017-02-26,22:30,22131
2017-02-26,22:45,22143
2017-02-26,23:00,22152
2017-02-26,23:15,22173
2017-02-26,23:30,22185
2017-02-26,23:45,22194
2017-02-27,00:00,22204
2017-02-27,00:15,22217
2017-02-27,00:30,22221
2017-02-27,00:45,22225
2017-02-27,01:00,22229
2017-02-27,01:15,22232
2017-02-27,01:30,22233
2017-02-27,01:45,22230
2017-02-27,02:00,22233
2017-02-27,02:15,22251
2017-02-27,02:30,22242
2017-02-27,02:45,22242
2017-02-27,03:00,22243
2017-02-27,03:15,22242
2017-02-27,03:30,22242
2017-02-27,03:45,22242
2017-02-27,04:00,22240
2017-02-27,04:15,22240
2017-02-27,04:30,22240
2017-02-27,04:45,22240
2017-02-27,05:00,22241
2017-02-27,05:15,22240
2017-02-27,05:30,22239
2017-02-27,05:45,22239
2017-02-27,06:00,22238
2017-02-27,06:15,22237
2017-02-27,06:30,22239
2017-02-27,06:45,22242
2017-02-27,07:00,22246
2017-02-27,07:15,22249
2017-02-27,07:30,22254
2017-02-27,07:45,22258
2017-02-27,08:00,22262
2017-02-27,08:15,22266
2017-02-27,08:30,22274
2017-02-27,08:45,22284
2017-02-27,09:00,22295
2017-02-27,09:15,22302
2017-02-27,09:30,22309
2017-02-27,09:45,22315
2017-02-27,10:00,22325
2017-02-27,10:15,22335
2017-02-27,10:30,22343
2017-02-27,10:45,22351
2017-02-27,11:00,22355
2017-02-27,11:15,22363
2017-02-27,11:30,22373
2017-02-27,11:45,22386
2017-02-27,12:00,22392
2017-02-27,12:15,22399
2017-02-27,12:30,22410
2017-02-27,12:45,22416
2017-02-27,13:00,22420
2017-02-27,13:15,22431
2017-02-27,13:30,22447
2017-02-27,13:45,22466
2017-02-27,14:00,22477
2017-02-27,14:15,22490
2017-02-27,14:30,22506
2017-02-27,14:45,22522
2017-02-27,15:00,22537
2017-02-27,15:15,22553
2017-02-27,15:30,22569
2017-02-27,15:45,22587
2017-02-27,16:00,22608
2017-02-27,16:15,22639
2017-02-27,16:30,22646
2017-02-27,16:45,22688
2017-02-27,17:00,22704
2017-02-27,17:15,22717
2017-02-27,17:30,22739
2017-02-27,17:45,22762
2017-02-27,18:00,22784
2017-02-27,18:15,22841
2017-02-27,18:30,22886
2017-02-27,18:45,23183
2017-02-27,19:00,23359
2017-02-27,19:15,23507
2017-02-27,19:30,23673
2017-02-27,19:45,23811
2017-02-27,20:00,23932
2017-02-27,20:15,24044
2017-02-27,20:30,24151
2017-02-27,20:45,24108
2017-02-27,21:00,24104
2017-02-27,21:15,24107
2017-02-27,21:30,24105
2017-02-27,21:45,24110
2017-02-27,22:00,24106
2017-02-27,22:15,24175
2017-02-27,22:30,24241
2017-02-27,22:45,24273
2017-02-27,23:00,24296
2017-02-27,23:15,24312
2017-02-27,23:30,24344
2017-02-27,23:45,24350
2017-02-28,00:00,24362
2017-02-28,00:15,24361
2017-02-28,00:30,24363
2017-02-28,00:45,24368
2017-02-28,01:00,24373
2017-02-28,01:15,24378
2017-02-28,01:30,24376
2017-02-28,01:45,24378
2017-02-28,02:00,24376
2017-02-28,02:15,24373
2017-02-28,02:30,24372
2017-02-28,02:45,24370
2017-02-28,03:00,24366
2017-02-28,03:15,24364
2017-02-28,03:30,24359
2017-02-28,03:45,24348
2017-02-28,04:00,24344
2017-02-28,04:15,24344
2017-02-28,04:30,24338
2017-02-28,04:45,24333
2017-02-28,05:00,24333
2017-02-28,05:15,24330
2017-02-28,05:30,24324
2017-02-28,05:45,24317
2017-02-28,06:00,24310
2017-02-28,06:15,24310
2017-02-28,06:30,24312
2017-02-28,06:45,24311
2017-02-28,07:00,24314
2017-02-28,07:15,24324
2017-02-28,07:30,24336
2017-02-28,07:45,24348
2017-02-28,08:00,24355
2017-02-28,08:15,24365
2017-02-28,08:30,24374
2017-02-28,08:45,24376
2017-02-28,09:00,24379
2017-02-28,09:15,24380
2017-02-28,09:30,24385
2017-02-28,09:45,24403
2017-02-28,10:00,24413
2017-02-28,10:15,24426
2017-02-28,10:30,24436
2017-02-28,10:45,24446
2017-02-28,11:00,24451
2017-02-28,11:15,24464
2017-02-28,11:30,24470
2017-02-28,11:45,24482
2017-02-28,12:00,24481
2017-02-28,12:15,24487
2017-02-28,12:30,24492
2017-02-28,12:45,24506
2017-02-28,13:00,24528
2017-02-28,13:15,24553
2017-02-28,13:30,24584
2017-02-28,13:45,24602
2017-02-28,14:00,24631
2017-02-28,14:15,24651
2017-02-28,14:30,24664
2017-02-28,14:45,24681
2017-02-28,15:00,24706
2017-02-28,15:15,24715
2017-02-28,15:30,24734
2017-02-28,15:45,24756
2017-02-28,16:00,24783
2017-02-28,16:15,24801
2017-02-28,16:30,24830
2017-02-28,16:45,24847
2017-02-28,17:00,24864
2017-02-28,17:15,24890
2017-02-28,17:30,24925
2017-02-28,17:45,24945
2017-02-28,18:00,25032
2017-02-28,18:15,25068
2017-02-28,18:30,25133
2017-02-28,18:45,25141
2017-02-28,19:00,25207
2017-02-28,19:15,25223
