Day,Time,Follower Count
2017-02-26,17:55,4310
2017-02-26,18:00,4310
2017-02-26,18:15,4315
2017-02-26,18:30,4322
2017-02-26,18:45,4327
2017-02-26,19:00,4330
2017-02-26,19:15,4334
2017-02-26,19:30,4336
2017-02-26,19:45,4338
2017-02-26,20:00,4345
2017-02-26,20:15,4353
2017-02-26,20:30,4357
2017-02-26,20:45,4368
2017-02-26,21:00,4377
2017-02-26,21:15,4389
2017-02-26,21:30,4391
2017-02-26,21:45,4397
2017-02-26,22:00,4403
2017-02-26,22:15,4406
2017-02-26,22:30,4408
2017-02-26,22:45,4408
2017-02-26,23:00,4410
2017-02-26,23:15,4410
2017-02-26,23:30,4414
2017-02-26,23:45,4416
2017-02-27,00:00,4417
2017-02-27,00:15,4419
2017-02-27,00:30,4420
2017-02-27,00:45,4420
2017-02-27,01:00,4421
2017-02-27,01:15,4421
2017-02-27,01:30,4421
2017-02-27,01:45,4421
2017-02-27,02:00,4422
2017-02-27,02:15,4423
2017-02-27,02:30,4423
2017-02-27,02:45,4424
2017-02-27,03:00,4424
2017-02-27,03:15,4424
2017-02-27,03:30,4424
2017-02-27,03:45,4424
2017-02-27,04:00,4425
2017-02-27,04:15,4425
2017-02-27,04:30,4425
2017-02-27,04:45,4425
2017-02-27,05:00,4425
2017-02-27,05:15,4425
2017-02-27,05:30,4425
2017-02-27,05:45,4425
2017-02-27,06:00,4425
2017-02-27,06:15,4425
2017-02-27,06:30,4425
2017-02-27,06:45,4427
2017-02-27,07:00,4428
2017-02-27,07:15,4430
2017-02-27,07:30,4431
2017-02-27,07:45,4432
2017-02-27,08:00,4432
2017-02-27,08:15,4434
2017-02-27,08:30,4434
2017-02-27,08:45,4436
2017-02-27,09:00,4436
2017-02-27,09:15,4437
2017-02-27,09:30,4438
2017-02-27,09:45,4439
2017-02-27,10:00,4443
2017-02-27,10:15,4443
2017-02-27,10:30,4446
2017-02-27,10:45,4446
2017-02-27,11:00,4447
2017-02-27,11:15,4446
2017-02-27,11:30,4449
2017-02-27,11:45,4449
2017-02-27,12:00,4450
2017-02-27,12:15,4451
2017-02-27,12:30,4452
2017-02-27,12:45,4450
2017-02-27,13:00,4452
2017-02-27,13:15,4453
2017-02-27,13:30,4457
2017-02-27,13:45,4460
2017-02-27,14:00,4466
2017-02-27,14:15,4469
2017-02-27,14:30,4475
2017-02-27,14:45,4480
2017-02-27,15:00,4484
2017-02-27,15:15,4485
2017-02-27,15:30,4490
2017-02-27,15:45,4491
2017-02-27,16:00,4499
2017-02-27,16:15,4502
2017-02-27,16:30,4507
2017-02-27,16:45,4510
2017-02-27,17:00,4515
2017-02-27,17:15,4519
2017-02-27,17:30,4528
2017-02-27,17:45,4528
2017-02-27,18:00,4531
2017-02-27,18:15,4530
2017-02-27,18:30,4534
2017-02-27,18:45,4536
2017-02-27,19:00,4539
2017-02-27,19:15,4543
2017-02-27,19:30,4549
2017-02-27,19:45,4551
2017-02-27,20:00,4554
2017-02-27,20:15,4554
2017-02-27,20:30,4556
2017-02-27,20:45,4561
2017-02-27,21:00,4566
2017-02-27,21:15,4568
2017-02-27,21:30,4570
2017-02-27,21:45,4574
2017-02-27,22:00,4575
2017-02-27,22:15,4578
2017-02-27,22:30,4583
2017-02-27,22:45,4584
2017-02-27,23:00,4584
2017-02-27,23:15,4587
2017-02-27,23:30,4589
2017-02-27,23:45,4588
2017-02-28,00:00,4586
2017-02-28,00:15,4587
2017-02-28,00:30,4588
2017-02-28,00:45,4589
2017-02-28,01:00,4590
2017-02-28,01:15,4589
2017-02-28,01:30,4589
2017-02-28,01:45,4589
2017-02-28,02:00,4589
2017-02-28,02:15,4589
2017-02-28,02:30,4589
2017-02-28,02:45,4590
2017-02-28,03:00,4591
2017-02-28,03:15,4591
2017-02-28,03:30,4591
2017-02-28,03:45,4591
2017-02-28,04:00,4591
2017-02-28,04:15,4590
2017-02-28,04:30,4590
2017-02-28,04:45,4590
2017-02-28,05:00,4590
2017-02-28,05:15,4591
2017-02-28,05:30,4591
2017-02-28,05:45,4591
2017-02-28,06:00,4591
2017-02-28,06:15,4593
2017-02-28,06:30,4595
2017-02-28,06:45,4594
2017-02-28,07:00,4594
2017-02-28,07:15,4595
2017-02-28,07:30,4595
2017-02-28,07:45,4596
2017-02-28,08:00,4598
2017-02-28,08:15,4600
2017-02-28,08:30,4603
2017-02-28,08:45,4604
2017-02-28,09:00,4608
2017-02-28,09:15,4610
2017-02-28,09:30,4611
2017-02-28,09:45,4611
2017-02-28,10:00,4611
2017-02-28,10:15,4611
2017-02-28,10:30,4612
2017-02-28,10:45,4611
2017-02-28,11:00,4612
2017-02-28,11:15,4613
2017-02-28,11:30,4614
2017-02-28,11:45,4616
2017-02-28,12:00,4619
2017-02-28,12:15,4621
2017-02-28,12:30,4621
2017-02-28,12:45,4623
2017-02-28,13:00,4627
2017-02-28,13:15,4633
2017-02-28,13:30,4634
2017-02-28,13:45,4638
2017-02-28,14:00,4642
2017-02-28,14:15,4644
2017-02-28,14:30,4645
2017-02-28,14:45,4647
2017-02-28,15:00,4648
2017-02-28,15:15,4650
2017-02-28,15:30,4651
2017-02-28,15:45,4655
2017-02-28,16:00,4665
2017-02-28,16:15,4670
2017-02-28,16:30,4680
2017-02-28,16:45,4689
2017-02-28,17:00,4698
2017-02-28,17:15,4708
2017-02-28,17:30,4717
2017-02-28,17:45,4719
2017-02-28,18:00,4726
2017-02-28,18:15,4731
2017-02-28,18:30,4734
2017-02-28,18:45,4741
2017-02-28,19:00,4742
2017-02-28,19:15,4746
2017-02-28,19:30,4751
2017-02-28,19:45,4755
2017-02-28,20:00,4761
2017-02-28,20:15,4766
2017-02-28,20:30,4770
2017-02-28,20:45,4774
2017-02-28,21:00,4781
2017-02-28,21:15,4787
2017-02-28,21:30,4791
2017-02-28,21:45,4794
2017-02-28,22:00,4802
2017-02-28,22:15,4804
2017-02-28,22:30,4808
2017-02-28,22:45,4811
2017-02-28,23:00,4814
2017-02-28,23:15,4817
2017-02-28,23:30,4819
2017-02-28,23:45,4822
2017-03-01,00:00,4823
2017-03-01,00:15,4825
2017-03-01,00:30,4826
2017-03-01,00:45,4826
2017-03-01,01:00,4826
2017-03-01,01:15,4827
2017-03-01,01:30,4827
2017-03-01,01:45,4827
2017-03-01,02:00,4827
2017-03-01,02:15,4827
2017-03-01,02:30,4827
2017-03-01,02:45,4827
2017-03-01,03:00,4827
2017-03-01,03:15,4828
2017-03-01,03:30,4828
2017-03-01,03:45,4828
2017-03-01,04:00,4828
2017-03-01,04:15,4828
2017-03-01,04:30,4828
2017-03-01,04:45,4828
2017-03-01,05:00,4828
2017-03-01,05:15,4828
2017-03-01,05:30,4828
2017-03-01,05:45,4829
2017-03-01,06:00,4829
2017-03-01,06:15,4827
2017-03-01,06:30,4828
2017-03-01,06:45,4826
2017-03-01,07:00,4827
2017-03-01,07:15,4826
2017-03-01,07:30,4827
2017-03-01,07:45,4828
2017-03-01,08:00,4830
2017-03-01,08:15,4830
2017-03-01,08:30,4831
2017-03-01,08:45,4831
2017-03-01,09:00,4834
2017-03-01,09:15,4834
2017-03-01,09:30,4835
2017-03-01,09:45,4837
2017-03-01,10:00,4840
2017-03-01,10:15,4840
2017-03-01,10:30,4843
2017-03-01,10:45,4845
2017-03-01,11:00,4850
2017-03-01,11:15,4849
2017-03-01,11:30,4850
2017-03-01,11:45,4852
2017-03-01,12:00,4852
2017-03-01,12:15,4854
2017-03-01,12:30,4853
2017-03-01,12:45,4853
2017-03-01,13:00,4855
2017-03-01,13:15,4856
2017-03-01,13:30,4858
2017-03-01,13:45,4862
2017-03-01,14:00,4867
2017-03-01,14:15,4870
2017-03-01,14:30,4873
2017-03-01,14:45,4874
2017-03-01,15:00,4875
2017-03-01,15:15,4878
2017-03-01,15:30,4880
2017-03-01,15:45,4884
2017-03-01,16:00,4888
2017-03-01,16:15,4888
2017-03-01,16:30,4887
2017-03-01,16:45,4889
2017-03-01,17:00,4893
2017-03-01,17:15,4894
2017-03-01,17:30,4896
2017-03-01,17:45,4899
2017-03-01,18:00,4901
2017-03-01,18:15,4903
2017-03-01,18:30,4911
2017-03-01,18:45,4912
2017-03-01,19:00,4915
2017-03-01,19:15,4919
2017-03-01,19:30,4921
2017-03-01,19:45,4921
2017-03-01,20:00,4924
2017-03-01,20:15,4923
2017-03-01,20:30,4930
2017-03-01,20:45,4931
2017-03-01,21:00,4929
2017-03-01,21:15,4931
2017-03-01,21:30,4932
2017-03-01,21:45,4934
2017-03-01,22:00,4933
2017-03-01,22:15,4934
2017-03-01,22:30,4935
2017-03-01,22:45,4936
2017-03-01,23:00,4936
2017-03-01,23:15,4938
2017-03-01,23:30,4941
2017-03-01,23:45,4942
2017-03-02,00:00,4941
2017-03-02,00:15,4944
2017-03-02,00:30,4942
2017-03-02,00:45,4943
2017-03-02,01:00,4943
2017-03-02,01:15,4943
2017-03-02,01:30,4943
2017-03-02,01:45,4943
2017-03-02,02:00,4943
2017-03-02,02:15,4944
2017-03-02,02:30,4945
2017-03-02,02:45,4945
2017-03-02,03:00,4946
2017-03-02,03:15,4946
2017-03-02,03:30,4946
2017-03-02,03:45,4946
2017-03-02,04:00,4946
2017-03-02,04:15,4946
2017-03-02,04:30,4946
2017-03-02,04:45,4946
2017-03-02,05:00,4946
2017-03-02,05:15,4946
2017-03-02,05:30,4946
2017-03-02,05:45,4946
2017-03-02,06:00,4946
2017-03-02,06:15,4946
2017-03-02,06:30,4946
2017-03-02,06:45,4947
2017-03-02,07:00,4946
2017-03-02,07:15,4947
2017-03-02,07:30,4946
2017-03-02,07:45,4946
2017-03-02,08:00,4946
2017-03-02,08:15,4947
2017-03-02,08:30,4947
2017-03-02,08:45,4947
2017-03-02,09:00,4948
2017-03-02,09:15,4948
2017-03-02,09:30,4948
2017-03-02,09:45,4947
2017-03-02,10:00,4948
2017-03-02,10:15,4949
2017-03-02,10:30,4950
2017-03-02,10:45,4950
2017-03-02,11:00,4951
2017-03-02,11:15,4952
2017-03-02,11:30,4955
2017-03-02,11:45,4958
2017-03-02,12:00,4961
2017-03-02,12:15,4964
2017-03-02,12:30,4971
2017-03-02,12:45,4975
2017-03-02,13:00,4980
2017-03-02,13:15,4985
2017-03-02,13:30,4989
2017-03-02,13:45,4992
2017-03-02,14:00,4997
2017-03-02,14:15,5003
2017-03-02,14:30,5006
2017-03-02,14:45,5010
2017-03-02,15:00,5011
2017-03-02,15:15,5022
2017-03-02,15:30,5031
2017-03-02,15:45,5034
2017-03-02,16:00,5043
2017-03-02,16:15,5043
2017-03-02,16:30,5047
2017-03-02,16:45,5054
2017-03-02,17:00,5065
