Day,Time,Follower Count
2017-02-26,17:55,11614
2017-02-26,18:00,11615
2017-02-26,18:15,11626
2017-02-26,18:30,11639
2017-02-26,18:45,11652
2017-02-26,19:00,11661
2017-02-26,19:15,11671
2017-02-26,19:30,11677
2017-02-26,19:45,11681
2017-02-26,20:00,11693
2017-02-26,20:15,11702
2017-02-26,20:30,11717
2017-02-26,20:45,11737
2017-02-26,21:00,11748
2017-02-26,21:15,11767
2017-02-26,21:30,11773
2017-02-26,21:45,11784
2017-02-26,22:00,11790
2017-02-26,22:15,11796
2017-02-26,22:30,11807
2017-02-26,22:45,11815
2017-02-26,23:00,11819
2017-02-26,23:15,11827
2017-02-26,23:30,11832
2017-02-26,23:45,11836
2017-02-27,00:00,11842
2017-02-27,00:15,11849
2017-02-27,00:30,11851
2017-02-27,00:45,11852
2017-02-27,01:00,11858
2017-02-27,01:15,11859
2017-02-27,01:30,11862
2017-02-27,01:45,11863
2017-02-27,02:00,11864
2017-02-27,02:15,11867
2017-02-27,02:30,11867
2017-02-27,02:45,11867
2017-02-27,03:00,11868
2017-02-27,03:15,11869
2017-02-27,03:30,11871
2017-02-27,03:45,11872
2017-02-27,04:00,11874
2017-02-27,04:15,11874
2017-02-27,04:30,11875
2017-02-27,04:45,11876
2017-02-27,05:00,11876
2017-02-27,05:15,11876
2017-02-27,05:30,11876
2017-02-27,05:45,11876
2017-02-27,06:00,11876
2017-02-27,06:15,11876
2017-02-27,06:30,11876
2017-02-27,06:45,11876
2017-02-27,07:00,11878
2017-02-27,07:15,11881
2017-02-27,07:30,11882
2017-02-27,07:45,11885
2017-02-27,08:00,11888
2017-02-27,08:15,11890
2017-02-27,08:30,11892
2017-02-27,08:45,11895
2017-02-27,09:00,11897
2017-02-27,09:15,11899
2017-02-27,09:30,11902
2017-02-27,09:45,11908
2017-02-27,10:00,11915
2017-02-27,10:15,11918
2017-02-27,10:30,11921
2017-02-27,10:45,11923
2017-02-27,11:00,11925
2017-02-27,11:15,11922
2017-02-27,11:30,11930
2017-02-27,11:45,11930
2017-02-27,12:00,11930
2017-02-27,12:15,11932
2017-02-27,12:30,11938
2017-02-27,12:45,11935
2017-02-27,13:00,11937
2017-02-27,13:15,11944
2017-02-27,13:30,11953
2017-02-27,13:45,11962
2017-02-27,14:00,11973
2017-02-27,14:15,11981
2017-02-27,14:30,11988
2017-02-27,14:45,11997
2017-02-27,15:00,12007
2017-02-27,15:15,12015
2017-02-27,15:30,12026
2017-02-27,15:45,12036
2017-02-27,16:00,12048
2017-02-27,16:15,12058
2017-02-27,16:30,12072
2017-02-27,16:45,12081
2017-02-27,17:00,12096
2017-02-27,17:15,12105
2017-02-27,17:30,12114
2017-02-27,17:45,12119
2017-02-27,18:00,12129
2017-02-27,18:15,12134
2017-02-27,18:30,12142
2017-02-27,18:45,12148
2017-02-27,19:00,12149
2017-02-27,19:15,12156
2017-02-27,19:30,12167
2017-02-27,19:45,12181
2017-02-27,20:00,12189
2017-02-27,20:15,12198
2017-02-27,20:30,12208
2017-02-27,20:45,12218
2017-02-27,21:00,12225
2017-02-27,21:15,12236
2017-02-27,21:30,12245
2017-02-27,21:45,12249
2017-02-27,22:00,12251
2017-02-27,22:15,12259
2017-02-27,22:30,12271
2017-02-27,22:45,12280
2017-03-05,13:45,29533
2017-03-05,14:00,29558
2017-03-05,14:15,29583
2017-03-05,14:30,29619
2017-03-05,14:45,29653
2017-03-05,15:00,29679
2017-03-05,15:15,29696
2017-03-05,15:30,29722
2017-03-05,15:45,29750
2017-03-05,16:00,29779
2017-03-05,16:15,29809
2017-03-05,16:30,29833
2017-03-05,16:45,29853
2017-03-05,17:00,29889
2017-03-05,17:15,29922
2017-03-05,17:30,29953
2017-03-05,17:45,29977
2017-03-05,18:00,30013
2017-03-05,18:15,30038
2017-03-05,18:30,30070
2017-03-05,18:45,30089
2017-03-05,19:00,30109
2017-03-05,19:15,30134
2017-03-05,19:30,30157
2017-03-05,19:45,30198
2017-03-05,20:00,30232
2017-03-05,20:15,30274
2017-03-05,20:30,30295
2017-03-05,20:45,30325
2017-03-05,21:00,30360
2017-03-05,21:15,30386
2017-03-05,21:30,30398
2017-03-05,21:45,30412
2017-03-05,22:00,30461
2017-03-05,22:15,30488
2017-03-05,22:30,30513
2017-03-05,22:45,30532
2017-03-05,23:00,30545
2017-03-05,23:15,30562
2017-03-05,23:30,30575
2017-03-05,23:45,30584
2017-03-06,00:00,30596
2017-03-06,00:15,30608
2017-03-06,00:30,30614
2017-03-06,00:45,30623
2017-03-06,01:00,30625
2017-03-06,01:15,30630
2017-03-06,01:30,30630
2017-03-06,01:45,30631
2017-03-06,02:00,30634
2017-03-06,02:15,30634
2017-03-06,02:30,30636
2017-03-06,02:45,30639
2017-03-06,03:00,30640
2017-03-06,03:15,30642
2017-03-06,03:30,30643
2017-03-06,03:45,30643
2017-03-06,04:00,30644
2017-03-06,04:15,30646
2017-03-06,04:30,30649
2017-03-06,04:45,30649
2017-03-06,05:00,30650
2017-03-06,05:15,30650
2017-03-06,05:30,30652
2017-03-06,05:45,30653
2017-03-06,06:00,30653
2017-03-06,06:15,30653
2017-03-06,06:30,30656
2017-03-06,06:45,30661
2017-03-06,07:00,30670
2017-03-06,07:15,30669
2017-03-06,07:30,30672
2017-03-06,07:45,30672
2017-03-06,08:00,30677
2017-03-06,08:15,30683
2017-03-06,08:30,30692
2017-03-06,08:45,30697
2017-03-06,09:00,30706
2017-03-06,09:15,30711
2017-03-06,09:30,30716
2017-03-06,09:45,30717
2017-03-06,10:00,30725
2017-03-06,10:15,30730
2017-03-06,10:30,30736
2017-03-06,10:45,30744
2017-03-06,11:00,30761
2017-03-06,11:15,30763
2017-03-06,11:30,30770
2017-03-06,11:45,30782
2017-03-06,12:00,30788
2017-03-06,12:15,30798
2017-03-06,12:30,30806
2017-03-06,12:45,30813
2017-03-06,13:00,30824
2017-03-06,13:15,30834
2017-03-06,13:30,30843
2017-03-06,13:45,30858
2017-03-06,14:00,30869
2017-03-06,14:15,30884
2017-03-06,14:30,30908
2017-03-06,14:45,30925
2017-03-06,15:00,30947
2017-03-06,15:15,30953
2017-03-06,15:30,30971
2017-03-06,15:45,30997
2017-03-06,16:00,31019
2017-03-06,16:15,31039
2017-03-06,16:30,31052
2017-03-06,16:45,31078
2017-03-06,17:00,31104
2017-03-06,17:15,31140
2017-03-06,17:30,31175
2017-03-06,17:45,31217
2017-03-06,18:00,31255
2017-03-06,18:15,31279
2017-03-06,18:30,31308
2017-03-06,18:45,31331
2017-03-06,19:00,31351
2017-03-06,19:15,31374
2017-03-06,19:30,31394
2017-03-06,19:45,31407
2017-03-06,20:00,31438
2017-03-06,20:15,31478
2017-03-06,20:30,31499
2017-03-06,20:45,31528
2017-03-06,21:00,31552
2017-03-06,21:15,31576
2017-03-06,21:30,31607
2017-03-06,21:45,31641
2017-03-06,22:00,31667
2017-03-06,22:15,31686
2017-03-06,22:30,31705
2017-03-06,22:45,31722
2017-03-06,23:00,31736
2017-03-06,23:15,31752
2017-03-06,23:30,31767
2017-03-06,23:45,31775
2017-03-07,00:00,31779
2017-03-07,00:15,31782
2017-03-07,00:30,31788
2017-03-07,00:45,31787
2017-03-07,01:00,31790
2017-03-07,01:15,31793
2017-03-07,01:30,31800
2017-03-07,01:45,31799
2017-03-07,02:00,31801
2017-03-07,02:15,31802
2017-03-07,02:30,31803
2017-03-07,02:45,31803
2017-03-07,03:00,31803
2017-03-07,03:15,31803
2017-03-07,03:30,31803
2017-03-07,03:45,31804
2017-03-07,04:00,31805
