Day,Time,Follower Count
2017-02-26,17:55,11269
2017-02-26,18:00,11269
2017-02-26,18:15,11275
2017-02-26,18:30,11282
2017-02-26,18:45,11287
2017-02-26,19:00,11297
2017-02-26,19:15,11295
2017-02-26,19:30,11300
2017-02-26,19:45,11301
2017-02-26,20:00,11308
2017-02-26,20:15,11310
2017-02-26,20:30,11315
2017-02-26,20:45,11325
2017-02-26,21:00,11330
2017-02-26,21:15,11343
2017-02-26,21:30,11345
2017-02-26,21:45,11347
2017-02-26,22:00,11350
2017-02-26,22:15,11354
2017-02-26,22:30,11362
2017-02-26,22:45,11364
2017-02-26,23:00,11364
2017-02-26,23:15,11365
2017-02-26,23:30,11371
2017-02-26,23:45,11373
2017-02-27,00:00,11377
2017-02-27,00:15,11378
2017-02-27,00:30,11379
2017-02-27,00:45,11380
2017-02-27,01:00,11381
2017-02-27,01:15,11381
2017-02-27,01:30,11381
2017-02-27,01:45,11380
2017-02-27,02:00,11382
2017-02-27,02:15,11383
2017-02-27,02:30,11383
2017-02-27,02:45,11385
2017-02-27,03:00,11386
2017-02-27,03:15,11386
2017-02-27,03:30,11386
2017-02-27,03:45,11386
2017-02-27,04:00,11387
2017-02-27,04:15,11387
2017-02-27,04:30,11387
2017-02-27,04:45,11387
2017-02-27,05:00,11387
2017-02-27,05:15,11387
2017-02-27,05:30,11387
2017-02-27,05:45,11387
2017-02-27,06:00,11387
2017-02-27,06:15,11387
2017-02-27,06:30,11387
2017-02-27,06:45,11387
2017-02-27,07:00,11388
2017-02-27,07:15,11389
2017-02-27,07:30,11390
2017-02-27,07:45,11390
2017-02-27,08:00,11393
2017-02-27,08:15,11396
2017-02-27,08:30,11397
2017-02-27,08:45,11401
2017-02-27,09:00,11405
2017-02-27,09:15,11407
2017-02-27,09:30,11410
2017-02-27,09:45,11411
2017-02-27,10:00,11414
2017-02-27,10:15,11416
2017-02-27,10:30,11416
2017-02-27,10:45,11416
2017-02-27,11:00,11414
2017-02-27,11:15,11408
2017-02-27,11:30,11408
2017-02-27,11:45,11403
2017-02-27,12:00,11401
2017-02-27,12:15,11400
2017-02-27,12:30,11401
2017-02-27,12:45,11399
2017-02-27,13:00,11399
2017-02-27,13:15,11403
2017-02-27,13:30,11410
2017-02-27,13:45,11416
2017-02-27,14:00,11421
2017-02-27,14:15,11428
2017-02-27,14:30,11435
2017-02-27,14:45,11439
2017-02-27,15:00,11444
2017-02-27,15:15,11445
2017-02-27,15:30,11457
2017-02-27,15:45,11457
2017-02-27,16:00,11464
2017-02-27,16:15,11467
2017-02-27,16:30,11475
2017-02-27,16:45,11478
2017-02-27,17:00,11482
2017-02-27,17:15,11486
2017-02-27,17:30,11498
2017-02-27,17:45,11501
2017-02-27,18:00,11508
2017-02-27,18:15,11508
2017-02-27,18:30,11514
2017-02-27,18:45,11516
2017-02-27,19:00,11524
2017-02-27,19:15,11529
2017-02-27,19:30,11534
2017-02-27,19:45,11539
2017-02-27,20:00,11543
2017-02-27,20:15,11549
2017-02-27,20:30,11549
2017-02-27,20:45,11553
2017-02-27,21:00,11556
2017-02-27,21:15,11563
2017-02-27,21:30,11567
2017-02-27,21:45,11569
2017-02-27,22:00,11570
2017-02-27,22:15,11575
2017-02-27,22:30,11579
2017-02-27,22:45,11579
2017-03-05,13:45,17008
2017-03-05,14:00,17024
2017-03-05,14:15,17033
2017-03-05,14:30,17047
2017-03-05,14:45,17067
2017-03-05,15:00,17079
2017-03-05,15:15,17086
2017-03-05,15:30,17101
2017-03-05,15:45,17111
2017-03-05,16:00,17124
2017-03-05,16:15,17133
2017-03-05,16:30,17144
2017-03-05,16:45,17154
2017-03-05,17:00,17168
2017-03-05,17:15,17179
2017-03-05,17:30,17199
2017-03-05,17:45,17212
2017-03-05,18:00,17228
2017-03-05,18:15,17225
2017-03-05,18:30,17238
2017-03-05,18:45,17250
2017-03-05,19:00,17255
2017-03-05,19:15,17259
2017-03-05,19:30,17258
2017-03-05,19:45,17268
2017-03-05,20:00,17280
2017-03-05,20:15,17293
2017-03-05,20:30,17300
2017-03-05,20:45,17319
2017-03-05,21:00,17331
2017-03-05,21:15,17342
2017-03-05,21:30,17350
2017-03-05,21:45,17363
2017-03-05,22:00,17373
2017-03-05,22:15,17384
2017-03-05,22:30,17384
2017-03-05,22:45,17396
2017-03-05,23:00,17406
2017-03-05,23:15,17412
2017-03-05,23:30,17414
2017-03-05,23:45,17416
2017-03-06,00:00,17417
2017-03-06,00:15,17419
2017-03-06,00:30,17423
2017-03-06,00:45,17426
2017-03-06,01:00,17430
2017-03-06,01:15,17432
2017-03-06,01:30,17432
2017-03-06,01:45,17433
2017-03-06,02:00,17434
2017-03-06,02:15,17434
2017-03-06,02:30,17435
2017-03-06,02:45,17436
2017-03-06,03:00,17439
2017-03-06,03:15,17440
2017-03-06,03:30,17441
