datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:12,13,3,15768,7937.333333333333,230.33333333333334
2018-02-11 17:00:12,13,3,15783,7950.333333333333,230.66666666666666
2018-02-11 17:15:12,13,3,15810,7973.333333333333,230.66666666666666
2018-02-11 17:30:12,13,3,15835,7987.333333333333,231.33333333333334
2018-02-11 17:45:15,13,3,15860,8008.333333333333,231.33333333333334
2018-02-11 18:00:11,13,3,15887,8020.333333333333,231.66666666666666
2018-02-11 18:15:12,13,3,15906,8032.0,232.0
2018-02-11 18:30:11,13,3,15930,8045.666666666667,232.66666666666666
2018-02-11 18:45:12,13,4,15941,6192.0,181.0
2018-02-11 19:00:12,13,4,15971,6323.75,184.25
2018-02-11 19:15:12,13,4,15986,6420.25,186.0
2018-02-11 19:30:12,13,4,16016,6497.5,188.25
2018-02-11 19:45:12,13,4,16048,6566.5,190.25
2018-02-11 20:00:12,13,4,16063,6616.75,191.5
2018-02-11 20:15:12,13,4,16096,6673.75,192.75
2018-02-11 20:30:12,13,4,16125,6719.75,194.5
2018-02-11 20:45:12,13,4,16153,6766.75,197.0
2018-02-11 21:00:12,13,4,16173,6807.25,198.25
2018-02-11 21:15:11,13,4,16206,6841.5,200.0
2018-02-11 21:30:11,13,4,16228,6873.25,200.75
2018-02-11 21:45:13,13,4,16253,6903.5,201.25
2018-02-11 22:00:13,13,4,16278,6932.75,201.5
2018-02-11 22:15:15,13,4,16299,6962.75,203.25
2018-02-11 22:30:14,13,4,16319,6987.5,203.5
2018-02-11 22:45:15,13,4,16339,7006.75,203.75
2018-02-11 23:00:15,13,4,16359,7023.75,204.75
2018-02-11 23:15:12,13,4,16367,7038.75,205.25
2018-02-11 23:30:12,13,4,16382,7055.75,205.5
2018-02-11 23:45:15,13,4,16395,7067.5,205.5
2018-02-12 00:00:19,13,4,16402,7076.75,205.75
2018-02-12 00:15:15,13,4,16409,7081.75,206.0
2018-02-12 00:30:13,13,4,16415,7089.0,206.0
2018-02-12 00:45:12,13,4,16424,7092.25,206.0
2018-02-12 01:00:13,13,4,16427,7101.0,206.0
2018-02-12 01:15:13,13,4,16431,7103.5,206.0
2018-02-12 01:30:14,13,4,16431,7107.5,206.0
2018-02-12 01:45:13,13,4,16438,7110.5,206.0
2018-02-12 02:00:13,13,4,16439,7110.75,206.0
2018-02-12 02:15:14,13,4,16442,7112.25,206.0
2018-02-12 02:30:16,13,4,16443,7114.0,206.25
2018-02-12 02:45:14,13,4,16446,7114.5,206.25
2018-02-12 03:00:15,13,4,16447,7115.25,206.5
2018-02-12 03:15:16,13,4,16446,7115.5,206.5
2018-02-12 03:30:15,13,4,16447,7116.5,206.5
2018-02-12 03:45:14,13,4,16448,7116.75,206.5
2018-02-12 04:00:14,13,4,16448,7116.75,206.5
2018-02-12 04:15:15,13,4,16449,7117.0,206.5
2018-02-12 04:30:13,13,4,16450,7118.0,206.75
2018-02-12 04:45:14,13,4,16451,7118.25,206.75
2018-02-12 05:00:15,13,4,16452,7118.25,206.75
2018-02-12 05:15:14,13,4,16452,7118.25,206.75
2018-02-12 05:30:13,13,4,16453,7119.25,206.75
2018-02-12 05:45:13,13,4,16455,7121.0,206.75
2018-02-12 06:00:13,13,4,16456,7122.75,206.75
2018-02-12 06:15:13,13,4,16458,7124.75,206.75
2018-02-12 06:30:14,13,4,16460,7129.0,206.75
2018-02-12 06:45:13,13,4,16464,7132.0,206.75
2018-02-12 07:00:14,13,4,16467,7135.5,206.75
2018-02-12 07:15:13,13,4,16471,7140.5,206.75
2018-02-12 07:30:12,13,4,16474,7143.0,207.0
2018-02-12 07:45:13,13,4,16481,7147.0,207.0
2018-02-12 08:00:13,13,4,16488,7152.75,207.0
2018-02-12 08:15:12,13,4,16495,7161.0,207.0
2018-02-12 08:30:12,13,4,16505,7166.75,207.5
2018-02-12 08:45:12,13,4,16511,7173.0,207.5
2018-02-12 09:00:12,13,4,16528,7180.5,207.5
2018-02-12 09:15:12,13,4,16539,7190.5,207.5
2018-02-12 09:30:13,13,4,16548,7199.25,207.5
2018-02-12 09:45:13,13,4,16562,7212.5,207.75
2018-02-12 10:00:13,13,4,16581,7224.5,207.75
2018-02-12 10:15:11,13,4,16593,7234.0,208.25
2018-02-12 10:30:11,13,4,16616,7248.0,208.5
2018-02-12 10:45:13,13,4,16640,7265.5,208.5
2018-02-12 11:00:13,13,4,16658,7279.5,208.5
2018-02-12 11:15:11,13,4,16671,7294.0,209.0
2018-02-12 11:30:11,13,4,16690,7305.25,209.0
2018-02-12 11:45:12,13,4,16706,7321.5,209.0
2018-02-12 12:00:13,13,4,16722,7337.25,209.0
2018-02-12 12:15:13,13,4,16737,7354.0,209.25
2018-02-12 12:30:17,13,4,16755,7366.25,209.25
2018-02-12 12:45:17,13,4,16765,7377.0,209.5
2018-02-12 13:00:20,13,4,16787,7390.5,209.5
2018-02-12 13:15:15,13,4,16804,7401.25,209.75
2018-02-12 13:30:15,13,4,16821,7408.75,210.0
2018-02-12 13:45:14,13,4,16837,7417.5,210.25
2018-02-12 14:00:15,13,4,16848,7429.5,210.5
2018-02-12 14:15:15,13,4,16869,7437.5,210.5
2018-02-12 14:30:15,13,4,16882,7446.0,210.5
2018-02-12 14:45:15,13,4,16893,7477.5,211.0
2018-02-12 15:00:13,13,4,16912,7490.0,211.25
2018-02-12 15:15:14,13,4,16935,7502.75,211.25
2018-02-12 15:30:14,13,4,16945,7514.75,211.5
2018-02-12 15:45:16,13,4,16964,7524.0,211.75
2018-02-12 16:00:14,13,4,16977,7532.0,211.75
2018-02-12 16:15:15,13,4,16989,7543.0,212.0
2018-02-12 16:30:18,13,4,17005,7556.75,212.5
2018-02-12 16:45:14,13,4,17027,7568.25,214.0
2018-02-12 17:00:13,13,4,17048,7584.75,214.25
2018-02-12 17:15:14,13,4,17065,7596.5,214.25
2018-02-12 17:30:13,13,4,17083,7606.0,214.25
2018-02-12 17:45:13,13,4,17108,7618.25,214.75
2018-02-12 18:00:15,13,4,17129,7628.5,214.75
2018-02-12 18:15:15,13,4,17156,7641.5,215.0
2018-02-12 18:30:14,13,4,17171,7653.0,215.25
2018-02-12 18:45:14,13,4,17196,7663.25,215.25
2018-02-12 19:00:13,13,4,17218,7674.5,215.25
2018-02-12 19:15:16,13,4,17232,7686.75,215.75
2018-02-12 19:30:15,13,4,17247,7707.25,216.0
2018-02-12 19:45:15,13,4,17265,7716.0,216.5
2018-02-12 20:00:14,13,4,17296,7732.0,216.75
2018-02-12 20:15:13,13,4,17321,7741.25,217.0
2018-02-12 20:30:13,13,4,17340,7752.5,217.0
2018-02-12 20:45:11,13,4,17359,7764.0,217.0
2018-02-12 21:00:12,13,4,17370,7773.5,217.5
2018-02-12 21:15:12,13,4,17383,7779.25,217.75
2018-02-12 21:30:13,13,4,17391,7787.0,218.0
2018-02-12 21:45:14,13,4,17402,7794.0,218.0
2018-02-12 22:00:15,13,4,17419,7800.75,218.25
2018-02-12 22:15:15,13,4,17444,7808.5,219.25
2018-02-12 22:30:14,13,4,17455,7813.25,219.5
2018-02-12 22:45:15,13,4,17473,7821.5,219.75
2018-02-12 23:00:16,13,4,17490,7828.5,219.75
2018-02-12 23:15:14,13,4,17504,7839.25,220.25
2018-02-12 23:30:12,13,4,17510,7841.75,220.25
2018-02-12 23:45:13,13,4,17522,7846.75,220.25
2018-02-13 00:00:19,13,4,17527,7852.25,220.25
2018-02-13 00:15:14,13,4,17533,7854.75,220.25
2018-02-13 00:30:15,13,4,17536,7858.75,220.25
2018-02-13 00:45:23,13,4,17540,7863.5,220.25
2018-02-13 01:00:26,13,4,17544,7866.25,220.5
2018-02-13 01:15:23,13,4,17546,7866.5,220.5
2018-02-13 01:30:16,13,4,17545,7867.5,220.5
2018-02-13 01:45:17,13,4,17544,7867.75,220.5
2018-02-13 02:00:15,13,4,17545,7867.75,220.5
2018-02-13 02:15:13,13,4,17544,7868.0,220.5
2018-02-13 02:30:15,13,4,17546,7868.5,220.5
2018-02-13 02:45:39,13,4,17548,7868.5,220.5
