datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:08,0,2,1855,738.5,19.0
2018-02-11 17:00:08,0,2,1858,739.0,19.0
2018-02-11 17:15:07,0,2,1859,741.0,19.0
2018-02-11 17:30:07,0,2,1862,741.5,19.0
2018-02-11 17:45:07,0,2,1864,743.0,19.0
2018-02-11 18:00:07,0,2,1870,744.0,19.0
2018-02-11 18:15:07,0,2,1876,745.0,19.0
2018-02-11 18:30:06,0,2,1875,745.5,20.0
2018-02-11 18:45:07,0,2,1881,745.5,20.0
2018-02-11 19:00:07,0,2,1884,745.5,20.0
2018-02-11 19:15:07,0,2,1887,748.0,20.0
2018-02-11 19:30:07,0,2,1892,751.5,20.0
2018-02-11 19:45:07,0,2,1900,754.0,20.0
2018-02-11 20:00:08,0,2,1905,755.5,20.5
2018-02-11 20:15:07,0,2,1908,755.5,20.5
2018-02-11 20:30:07,0,2,1906,756.5,20.5
2018-02-11 20:45:08,0,2,1912,759.5,20.5
2018-02-11 21:00:07,0,2,1916,761.0,20.5
2018-02-11 21:15:06,0,2,1919,763.0,21.0
2018-02-11 21:30:06,0,2,1922,763.5,21.0
2018-02-11 21:45:08,0,2,1924,765.0,21.0
2018-02-11 22:00:08,0,2,1927,766.0,21.5
2018-02-11 22:15:09,0,2,1931,766.0,21.5
2018-02-11 22:30:09,0,2,1931,767.0,21.5
2018-02-11 22:45:09,0,2,1933,767.5,21.5
2018-02-11 23:00:08,0,2,1937,769.0,22.0
2018-02-11 23:15:07,0,2,1937,769.5,22.0
2018-02-11 23:30:07,0,2,1937,770.0,22.0
2018-02-11 23:45:09,0,2,1938,770.5,22.0
2018-02-12 00:00:12,0,2,1938,771.5,22.0
2018-02-12 00:15:09,0,2,1939,771.5,22.0
2018-02-12 00:30:08,0,2,1939,771.5,22.0
2018-02-12 00:45:07,0,2,1940,772.0,22.0
2018-02-12 01:00:08,0,2,1940,772.0,22.0
2018-02-12 01:15:08,0,2,1941,772.0,22.0
2018-02-12 01:30:08,0,2,1940,772.0,22.0
2018-02-12 01:45:08,0,2,1941,772.0,22.0
2018-02-12 02:00:08,0,2,1941,772.0,22.0
2018-02-12 02:15:09,0,2,1941,772.0,22.0
2018-02-12 02:30:09,0,2,1941,772.0,22.0
2018-02-12 02:45:09,0,2,1941,772.0,22.0
2018-02-12 03:00:08,0,2,1941,772.0,22.0
2018-02-12 03:15:09,0,2,1941,772.0,22.0
2018-02-12 03:30:08,0,2,1941,772.0,22.0
2018-02-12 03:45:08,0,2,1941,772.0,22.0
2018-02-12 04:00:07,0,2,1941,772.0,22.0
