datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:10,9,5,13812,5130.6,139.4
2018-02-11 17:00:10,9,5,13857,5149.0,140.2
2018-02-11 17:15:10,9,5,13892,5171.2,140.6
2018-02-11 17:30:10,9,5,13939,5193.4,141.0
2018-02-11 17:45:12,9,5,13982,5212.6,141.0
2018-02-11 18:00:09,9,5,14019,5230.8,141.8
2018-02-11 18:15:09,9,5,14057,5245.4,142.0
2018-02-11 18:30:09,9,5,14092,5265.0,142.2
2018-02-11 18:45:10,9,5,14130,5279.2,142.2
2018-02-11 19:00:09,9,5,14211,5304.2,142.4
2018-02-11 19:15:09,9,5,14258,5317.8,142.4
2018-02-11 19:30:09,9,5,14310,5335.2,142.6
2018-02-11 19:45:10,9,5,14362,5354.6,143.2
2018-02-11 20:00:10,9,5,14410,5370.2,143.2
2018-02-11 20:15:09,9,5,14453,5392.4,144.2
2018-02-11 20:30:09,10,5,14489,5415.0,144.2
2018-02-11 20:45:10,10,5,14540,5435.2,144.8
2018-02-11 21:00:09,10,5,14590,5458.2,145.0
2018-02-11 21:15:08,10,5,14635,5475.8,145.2
2018-02-11 21:30:08,10,5,14667,5491.4,145.2
2018-02-11 21:45:10,10,5,14711,5511.0,145.4
2018-02-11 22:00:11,10,5,14743,5524.2,145.6
2018-02-11 22:15:13,10,5,14770,5538.6,145.6
2018-02-11 22:30:11,10,5,14812,5553.0,145.6
2018-02-11 22:45:11,10,5,14854,5567.0,145.8
2018-02-11 23:00:11,10,5,14895,5579.8,146.0
2018-02-11 23:15:09,10,5,14921,5598.4,146.2
2018-02-11 23:30:10,10,5,14951,5605.6,146.2
2018-02-11 23:45:11,10,5,14965,5609.4,146.2
2018-02-12 00:00:16,10,5,14989,5616.2,146.4
2018-02-12 00:15:12,10,5,15005,5621.0,146.6
2018-02-12 00:30:10,10,5,15012,5623.6,146.6
2018-02-12 00:45:09,10,5,15025,5625.8,146.6
2018-02-12 01:00:11,10,5,15036,5630.0,146.6
2018-02-12 01:15:11,10,5,15042,5631.8,146.6
2018-02-12 01:30:11,10,5,15044,5634.6,146.6
2018-02-12 01:45:11,10,5,15050,5637.4,146.6
2018-02-12 02:00:11,10,5,15052,5638.0,146.6
2018-02-12 02:15:11,10,5,15054,5639.8,146.8
2018-02-12 02:30:12,10,5,15055,5640.0,146.8
2018-02-12 02:45:12,10,5,15055,5640.2,146.8
2018-02-12 03:00:12,10,5,15058,5640.4,146.8
2018-02-12 03:15:12,10,5,15059,5640.4,146.8
2018-02-12 03:30:12,10,5,15063,5641.8,147.0
2018-02-12 03:45:10,10,5,15065,5642.6,147.0
2018-02-12 04:00:11,10,5,15065,5642.6,147.0
2018-02-12 04:15:12,10,5,15065,5643.0,147.0
2018-02-12 04:30:11,10,5,15069,5643.8,147.0
2018-02-12 04:45:11,10,5,15069,5643.8,147.0
2018-02-12 05:00:12,10,5,15069,5644.2,147.0
2018-02-12 05:15:10,10,5,15070,5644.8,147.0
2018-02-12 05:30:11,10,5,15071,5645.2,147.0
2018-02-12 05:45:11,10,5,15073,5646.8,147.0
2018-02-12 06:00:11,10,5,15075,5647.2,147.0
2018-02-12 06:15:10,10,5,15077,5648.0,147.0
2018-02-12 06:30:11,10,5,15082,5650.4,147.0
2018-02-12 06:45:11,10,5,15090,5652.4,147.0
2018-02-12 07:00:11,10,5,15097,5655.2,147.0
2018-02-12 07:15:10,10,5,15105,5657.6,147.2
2018-02-12 07:30:09,10,5,15108,5659.6,147.4
2018-02-12 07:45:10,10,5,15121,5661.8,147.4
2018-02-12 08:00:11,10,5,15126,5667.2,147.6
2018-02-12 08:15:09,10,5,15134,5673.2,147.6
2018-02-12 08:30:10,10,5,15147,5676.2,147.6
2018-02-12 08:45:09,10,5,15163,5681.0,148.2
2018-02-12 09:00:10,10,5,15177,5686.8,148.2
2018-02-12 09:15:09,10,5,15199,5691.6,148.2
2018-02-12 09:30:11,10,5,15220,5700.0,148.4
2018-02-12 09:45:10,10,5,15238,5706.8,148.4
2018-02-12 10:00:11,10,5,15252,5714.4,148.6
2018-02-12 10:15:09,10,5,15282,5724.4,149.0
2018-02-12 10:30:09,10,5,15318,5735.6,149.0
2018-02-12 10:45:10,10,5,15351,5748.2,149.4
2018-02-12 11:00:10,10,5,15378,5757.6,149.4
2018-02-12 11:15:09,10,5,15393,5764.4,149.6
2018-02-12 11:30:09,10,5,15421,5773.8,149.8
2018-02-12 11:45:10,10,5,15442,5787.0,150.0
2018-02-12 12:00:11,11,6,15469,4863.333333333333,127.0
2018-02-12 12:15:11,11,6,15493,4971.333333333333,129.66666666666666
2018-02-12 12:30:13,11,6,15513,5045.333333333333,131.5
2018-02-12 12:45:14,11,9,15526,3520.5555555555557,93.11111111111111
2018-02-12 13:00:13,11,9,15540,3660.6666666666665,96.11111111111111
2018-02-12 13:15:12,11,9,15563,3778.3333333333335,96.88888888888889
2018-02-12 13:30:12,11,9,15580,3875.8888888888887,99.0
2018-02-12 13:45:11,11,9,15608,3963.222222222222,100.0
2018-02-12 14:00:12,11,9,15634,4039.5555555555557,100.22222222222223
2018-02-12 14:15:12,11,9,15666,4109.111111111111,100.88888888888889
2018-02-12 14:30:11,11,9,15684,4166.777777777777,101.66666666666667
2018-02-12 14:45:11,11,9,15714,4220.0,102.55555555555556
2018-02-12 15:00:10,11,9,15738,4271.0,103.0
2018-02-12 15:15:11,11,9,15760,4313.555555555556,103.55555555555556
2018-02-12 15:30:11,11,9,15784,4361.111111111111,104.11111111111111
2018-02-12 15:45:12,11,9,15803,4401.888888888889,104.88888888888889
2018-02-12 16:00:11,11,9,15825,4440.333333333333,105.11111111111111
2018-02-12 16:15:12,11,9,15851,4486.555555555556,105.11111111111111
2018-02-12 16:30:15,11,9,15873,4522.111111111111,105.22222222222223
2018-02-12 16:45:11,11,9,15889,4562.222222222223,105.55555555555556
2018-02-12 17:00:11,11,9,15910,4596.555555555556,105.66666666666667
2018-02-12 17:15:10,11,9,15930,4632.222222222223,105.66666666666667
2018-02-12 17:30:11,11,9,15952,4661.111111111111,105.66666666666667
2018-02-12 17:45:10,11,9,15978,4693.888888888889,106.0
2018-02-12 18:00:12,11,9,16000,4726.111111111111,106.0
2018-02-12 18:15:13,11,9,16031,4748.111111111111,106.33333333333333
2018-02-12 18:30:11,11,9,16052,4773.555555555556,106.55555555555556
2018-02-12 18:45:11,11,9,16079,4794.444444444444,106.88888888888889
