datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:10,20,4,2441,784.25,39.25
2018-02-11 17:00:11,20,4,2446,789.5,39.25
2018-02-11 17:15:10,20,4,2453,795.0,39.25
2018-02-11 17:30:10,20,4,2460,800.0,40.25
2018-02-11 17:45:13,20,4,2465,803.25,40.25
2018-02-11 18:00:10,20,4,2473,807.75,40.25
2018-02-11 18:15:10,20,4,2480,811.75,40.5
2018-02-11 18:30:09,20,4,2485,816.5,40.75
2018-02-11 18:45:10,20,4,2491,822.5,41.0
2018-02-11 19:00:09,20,4,2501,826.0,42.5
2018-02-11 19:15:10,20,4,2506,832.0,42.5
2018-02-11 19:30:10,20,4,2511,838.75,42.75
2018-02-11 19:45:10,20,4,2523,844.0,42.75
2018-02-11 20:00:10,20,4,2526,846.0,42.75
2018-02-11 20:15:10,20,5,2532,684.6,34.2
2018-02-11 20:30:10,20,5,2537,721.8,36.4
2018-02-11 20:45:11,20,5,2544,747.8,37.6
2018-02-11 21:00:10,20,5,2552,765.4,39.6
2018-02-11 21:15:09,20,5,2553,779.6,41.0
2018-02-11 21:30:09,20,5,2557,790.2,41.0
2018-02-11 21:45:11,20,5,2559,802.0,41.8
2018-02-11 22:00:11,20,5,2567,812.2,42.2
2018-02-11 22:15:13,20,5,2573,819.6,42.2
2018-02-11 22:30:12,20,5,2576,826.0,42.4
2018-02-11 22:45:12,20,5,2583,832.6,42.4
2018-02-11 23:00:12,20,5,2588,836.4,43.2
2018-02-11 23:15:10,20,5,2588,841.4,43.2
2018-02-11 23:30:10,20,5,2589,843.8,43.6
2018-02-11 23:45:12,20,5,2591,845.6,43.6
2018-02-12 00:00:16,20,5,2591,848.2,43.6
2018-02-12 00:15:13,20,5,2593,849.0,43.8
2018-02-12 00:30:11,20,5,2593,849.6,43.8
2018-02-12 00:45:10,20,5,2597,850.8,43.8
2018-02-12 01:00:11,20,5,2597,852.0,43.8
2018-02-12 01:15:11,20,5,2597,853.0,43.8
2018-02-12 01:30:11,20,5,2597,853.6,43.8
2018-02-12 01:45:11,20,5,2597,854.2,43.8
2018-02-12 02:00:11,20,5,2597,854.4,43.8
2018-02-12 02:15:12,20,5,2597,854.4,43.8
2018-02-12 02:30:13,20,5,2597,854.4,43.8
2018-02-12 02:45:12,20,5,2598,854.4,43.8
2018-02-12 03:00:12,20,5,2598,854.6,43.8
2018-02-12 03:15:13,20,5,2599,854.6,43.8
2018-02-12 03:30:12,20,5,2599,854.6,43.8
2018-02-12 03:45:11,20,5,2599,854.8,43.8
