datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:03,3,2,1666,644.0,11.0
2018-02-11 17:00:03,3,2,1669,645.5,11.0
2018-02-11 17:15:02,3,2,1671,648.5,11.0
2018-02-11 17:30:02,3,2,1674,649.0,11.0
2018-02-11 17:45:02,3,2,1677,653.0,11.0
2018-02-11 18:00:02,3,2,1680,653.0,11.0
2018-02-11 18:15:02,3,2,1685,653.5,11.0
2018-02-11 18:30:02,3,2,1684,654.0,11.0
2018-02-11 18:45:02,3,2,1690,654.5,11.0
2018-02-11 19:00:02,3,2,1693,656.5,11.0
2018-02-11 19:15:02,3,2,1699,658.0,11.0
2018-02-11 19:30:02,3,2,1701,660.0,11.0
2018-02-11 19:45:02,3,2,1706,661.5,11.0
2018-02-11 20:00:02,3,2,1708,661.5,11.0
2018-02-11 20:15:03,3,2,1711,662.0,11.0
2018-02-11 20:30:02,3,2,1710,664.0,11.0
2018-02-11 20:45:03,3,2,1717,666.5,11.0
2018-02-11 21:00:02,3,2,1720,669.0,11.0
2018-02-11 21:15:02,3,2,1722,669.0,11.0
2018-02-11 21:30:02,3,2,1723,670.5,11.0
2018-02-11 21:45:02,3,2,1725,672.5,11.0
2018-02-11 22:00:02,3,2,1727,673.5,11.5
2018-02-11 22:15:02,3,2,1730,676.0,11.5
2018-02-11 22:30:02,3,2,1732,677.5,11.5
2018-02-11 22:45:02,3,2,1736,680.0,11.5
2018-02-11 23:00:02,3,2,1741,680.0,12.0
2018-02-11 23:15:02,4,2,1740,680.5,12.5
2018-02-11 23:30:02,3,2,1739,681.0,12.5
2018-02-11 23:45:03,3,2,1740,681.0,12.5
2018-02-12 00:00:03,3,2,1741,682.0,12.5
2018-02-12 00:15:03,3,2,1742,682.5,12.5
2018-02-12 00:30:03,3,2,1743,683.0,12.5
2018-02-12 00:45:02,3,2,1744,684.5,12.5
2018-02-12 01:00:02,3,2,1744,684.5,12.5
2018-02-12 01:15:02,3,2,1744,684.5,12.5
2018-02-12 01:30:02,3,2,1744,684.5,12.5
2018-02-12 01:45:02,3,2,1744,684.5,12.5
2018-02-12 02:00:02,3,2,1744,685.0,12.5
2018-02-12 02:15:02,3,2,1744,686.0,12.5
2018-02-12 02:30:03,3,2,1744,686.0,12.5
2018-02-12 02:45:03,3,2,1744,686.0,12.5
2018-02-12 03:00:03,3,2,1744,686.0,12.5
2018-02-12 03:15:03,3,2,1744,686.0,12.5
2018-02-12 03:30:02,3,2,1744,686.0,12.5
2018-02-12 03:45:02,3,2,1744,686.0,12.5
2018-02-12 04:00:02,3,2,1744,686.0,12.5
2018-02-12 04:15:02,3,2,1744,686.0,12.5
2018-02-12 04:30:02,3,2,1744,686.0,12.5
2018-02-12 04:45:02,3,2,1744,686.0,12.5
2018-02-12 05:00:02,3,2,1744,686.0,12.5
2018-02-12 05:15:02,3,2,1744,686.0,12.5
2018-02-12 05:30:02,3,2,1744,686.0,12.5
2018-02-12 05:45:02,3,2,1744,686.0,12.5
2018-02-12 06:00:02,3,2,1745,686.0,12.5
2018-02-12 06:15:02,3,2,1745,686.0,12.5
2018-02-12 06:30:03,3,2,1747,686.0,12.5
2018-02-12 06:45:03,3,2,1747,686.0,12.5
2018-02-12 07:00:03,4,2,1749,686.5,12.5
2018-02-12 07:15:02,4,2,1750,687.5,12.5
2018-02-12 07:30:02,4,2,1750,688.5,12.5
2018-02-12 07:45:02,4,2,1750,688.5,12.5
2018-02-12 08:00:02,4,2,1750,689.5,12.5
2018-02-12 08:15:02,4,2,1752,689.5,12.5
2018-02-12 08:30:03,4,2,1752,689.5,12.5
2018-02-12 08:45:02,4,2,1752,689.5,12.5
2018-02-12 09:00:02,4,2,1753,689.5,12.5
2018-02-12 09:15:02,4,2,1753,689.5,12.5
2018-02-12 09:30:02,4,2,1757,692.0,12.5
2018-02-12 09:45:02,5,2,1759,692.0,12.5
2018-02-12 10:00:03,5,2,1761,692.0,12.5
2018-02-12 10:15:02,5,2,1760,692.5,12.5
2018-02-12 10:30:02,5,2,1763,693.5,12.5
2018-02-12 10:45:02,5,2,1765,695.0,12.5
2018-02-12 11:00:02,5,2,1765,696.0,12.5
2018-02-12 11:15:02,5,2,1765,696.0,12.5
2018-02-12 11:30:02,5,2,1765,696.0,12.5
2018-02-12 11:45:02,5,2,1768,696.0,12.5
2018-02-12 12:00:02,5,2,1767,696.0,12.5
2018-02-12 12:15:03,5,2,1770,696.0,12.5
2018-02-12 12:30:03,5,2,1771,696.5,12.5
2018-02-12 12:45:03,5,2,1772,697.0,12.5
2018-02-12 13:00:03,5,2,1775,700.0,12.5
2018-02-12 13:15:03,5,2,1775,701.0,12.5
2018-02-12 13:30:03,5,2,1778,702.5,12.5
2018-02-12 13:45:02,5,2,1779,702.5,12.5
2018-02-12 14:00:02,5,2,1780,704.5,12.5
2018-02-12 14:15:02,5,2,1779,704.5,12.5
2018-02-12 14:30:02,5,2,1780,704.5,12.5
2018-02-12 14:45:02,5,2,1782,708.0,12.5
2018-02-12 15:00:02,5,2,1782,708.0,12.5
2018-02-12 15:15:02,5,2,1783,708.0,12.5
2018-02-12 15:30:03,5,2,1784,708.5,12.5
2018-02-12 15:45:02,5,2,1784,708.5,12.5
2018-02-12 16:00:02,5,2,1786,708.5,12.5
2018-02-12 16:15:03,5,2,1785,708.5,12.5
2018-02-12 16:30:03,5,2,1787,709.0,12.5
2018-02-12 16:45:02,5,2,1790,711.5,12.5
2018-02-12 17:00:02,5,2,1791,712.5,12.5
2018-02-12 17:15:02,5,2,1792,714.0,12.5
2018-02-12 17:30:02,5,2,1793,715.0,12.5
2018-02-12 17:45:02,5,2,1793,715.0,12.5
2018-02-12 18:00:03,5,2,1795,715.0,12.5
2018-02-12 18:15:02,5,2,1796,716.0,12.5
2018-02-12 18:30:02,5,2,1798,717.5,12.5
2018-02-12 18:45:03,5,2,1799,719.5,12.5
2018-02-12 19:00:03,5,2,1803,719.5,12.5
2018-02-12 19:15:03,5,2,1803,719.5,12.5
2018-02-12 19:30:03,5,2,1807,722.0,12.5
2018-02-12 19:45:03,5,2,1806,724.0,12.5
2018-02-12 20:00:02,5,2,1806,726.5,12.5
2018-02-12 20:15:02,5,2,1807,728.5,12.5
2018-02-12 20:30:02,5,2,1808,729.0,12.5
2018-02-12 20:45:02,5,2,1810,729.0,12.5
2018-02-12 21:00:02,5,2,1810,729.0,12.5
2018-02-12 21:15:02,5,2,1810,730.0,12.5
2018-02-12 21:30:02,5,2,1812,731.0,13.0
2018-02-12 21:45:03,5,2,1810,733.0,13.0
2018-02-12 22:00:03,5,2,1810,734.0,13.0
2018-02-12 22:15:03,5,2,1810,734.0,13.0
2018-02-12 22:30:02,5,2,1812,734.0,13.0
2018-02-12 22:45:03,5,2,1812,734.0,13.0
2018-02-12 23:00:03,5,2,1813,735.0,13.0
2018-02-12 23:15:02,5,2,1813,736.5,13.0
2018-02-12 23:30:02,5,2,1813,737.0,13.0
2018-02-12 23:45:02,5,2,1817,738.0,13.0
2018-02-13 00:00:02,5,2,1818,739.0,13.0
2018-02-13 00:15:03,5,2,1820,739.5,13.0
2018-02-13 00:30:03,5,2,1823,739.5,13.0
2018-02-13 00:45:03,5,2,1824,739.5,13.0
2018-02-13 01:00:03,5,2,1825,739.5,13.0
2018-02-13 01:15:03,5,2,1825,739.5,13.0
2018-02-13 01:30:02,5,2,1825,739.5,13.0
2018-02-13 01:45:03,5,2,1825,739.5,13.0
2018-02-13 02:00:03,5,2,1825,739.5,13.0
2018-02-13 02:15:02,5,2,1824,739.5,13.0
2018-02-13 02:30:02,5,2,1825,739.5,13.0
2018-02-13 02:45:02,5,2,1825,739.5,13.0
2018-02-13 03:00:02,5,2,1825,739.5,13.0
2018-02-13 03:15:02,5,2,1825,739.5,13.0
2018-02-13 03:30:02,5,2,1825,739.5,13.0
2018-02-13 03:45:03,5,2,1825,739.5,13.0
2018-02-13 04:00:02,5,2,1825,739.5,13.0
2018-02-13 04:15:02,5,2,1825,739.5,13.0
2018-02-13 04:30:03,5,2,1825,739.5,13.0
2018-02-13 04:45:03,5,2,1825,739.5,13.0
2018-02-13 05:00:03,5,2,1825,739.5,13.0
2018-02-13 05:15:03,5,2,1825,739.5,13.0
2018-02-13 05:30:03,5,2,1825,739.5,13.0
2018-02-13 05:45:02,5,2,1825,739.5,13.0
2018-02-13 06:00:02,5,2,1825,739.5,13.0
2018-02-13 06:15:02,5,2,1825,739.5,13.0
2018-02-13 06:30:02,5,2,1825,739.5,13.0
2018-02-13 06:45:02,5,2,1825,739.5,13.0
2018-02-13 07:00:02,5,2,1825,739.5,13.0
2018-02-13 07:15:02,5,2,1825,739.5,13.0
2018-02-13 07:30:02,5,2,1825,739.5,13.0
2018-02-13 07:45:03,5,2,1825,739.5,13.0
2018-02-13 08:00:03,5,2,1825,739.5,13.0
2018-02-13 08:15:03,5,2,1825,739.5,13.0
2018-02-13 08:30:08,5,2,1824,739.5,13.0
2018-02-13 08:45:02,5,2,1824,739.5,13.0
2018-02-13 09:00:02,5,2,1825,739.5,13.0
2018-02-13 09:15:02,5,2,1826,739.5,13.0
2018-02-13 09:30:02,5,2,1829,739.5,13.0
2018-02-13 09:45:02,5,2,1829,739.5,13.0
2018-02-13 10:00:02,5,2,1833,741.5,13.0
2018-02-13 10:15:02,5,2,1836,742.5,13.0
2018-02-13 10:30:02,5,2,1837,743.0,13.0
2018-02-13 10:45:02,5,2,1839,743.0,13.0
2018-02-13 11:00:04,5,2,1839,743.0,13.0
2018-02-13 11:15:02,5,2,1841,743.0,13.0
