datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:08,0,2,2010,744.5,16.0
2018-02-11 17:00:09,0,2,2015,748.0,16.0
2018-02-11 17:15:08,0,2,2019,751.5,16.0
2018-02-11 17:30:08,0,2,2026,752.5,16.0
2018-02-11 17:45:07,0,2,2030,753.0,16.0
2018-02-11 18:00:08,0,2,2037,753.0,16.0
2018-02-11 18:15:08,0,2,2043,753.5,16.0
2018-02-11 18:30:07,0,2,2044,754.5,16.0
2018-02-11 18:45:08,0,2,2049,754.5,16.0
2018-02-11 19:00:08,0,2,2058,755.0,16.0
2018-02-11 19:15:08,0,2,2060,755.0,16.0
2018-02-11 19:30:08,0,2,2071,759.5,16.0
2018-02-11 19:45:08,0,2,2079,761.5,16.5
2018-02-11 20:00:09,0,2,2080,761.5,16.5
2018-02-11 20:15:08,0,2,2083,763.5,16.5
2018-02-11 20:30:08,0,2,2087,766.5,16.5
2018-02-11 20:45:09,0,2,2091,768.0,16.5
2018-02-11 21:00:08,0,2,2094,771.0,16.5
2018-02-11 21:15:07,0,2,2100,773.0,16.5
2018-02-11 21:30:07,0,2,2104,774.0,16.5
2018-02-11 21:45:09,0,2,2107,774.0,16.5
2018-02-11 22:00:09,0,2,2108,776.0,16.5
2018-02-11 22:15:11,0,2,2110,776.0,16.5
2018-02-11 22:30:10,0,2,2113,778.5,16.5
2018-02-11 22:45:10,0,2,2117,782.0,16.5
2018-02-11 23:00:09,0,2,2119,782.0,16.5
2018-02-11 23:15:08,0,2,2120,782.0,16.5
2018-02-11 23:30:08,0,2,2120,782.0,16.5
2018-02-11 23:45:10,0,2,2121,783.5,16.5
2018-02-12 00:00:13,0,2,2121,783.5,16.5
2018-02-12 00:15:11,0,2,2123,783.5,16.5
2018-02-12 00:30:09,0,2,2124,784.0,16.5
2018-02-12 00:45:08,0,2,2126,784.0,16.5
2018-02-12 01:00:09,0,2,2126,784.0,16.5
2018-02-12 01:15:10,0,2,2126,784.0,16.5
2018-02-12 01:30:09,0,2,2126,784.0,16.5
2018-02-12 01:45:09,0,2,2125,784.0,16.5
2018-02-12 02:00:09,0,2,2125,784.0,16.5
2018-02-12 02:15:10,0,2,2125,784.0,16.5
2018-02-12 02:30:11,0,2,2125,784.0,16.5
2018-02-12 02:45:10,0,2,2126,784.0,16.5
2018-02-12 03:00:10,0,2,2124,784.0,16.5
2018-02-12 03:15:11,0,2,2124,784.0,16.5
2018-02-12 03:30:10,0,2,2124,784.0,16.5
2018-02-12 03:45:09,0,2,2124,784.0,16.5
2018-02-12 04:00:09,0,2,2124,784.0,16.5
2018-02-12 04:15:10,0,2,2124,784.0,16.5
2018-02-12 04:30:09,0,2,2124,784.0,16.5
2018-02-12 04:45:10,0,2,2124,784.0,16.5
2018-02-12 05:00:11,0,2,2124,784.0,16.5
2018-02-12 05:15:09,0,2,2124,784.0,16.5
2018-02-12 05:30:09,0,2,2124,784.0,16.5
2018-02-12 05:45:09,0,2,2124,784.0,16.5
2018-02-12 06:00:09,0,2,2125,784.5,16.5
2018-02-12 06:15:09,0,2,2125,785.0,16.5
