datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:06,10,4,1575,515.75,16.75
2018-02-11 17:00:06,10,4,1578,518.5,16.75
2018-02-11 17:15:05,10,4,1579,525.0,17.0
2018-02-11 17:30:06,10,4,1585,528.0,17.0
2018-02-11 17:45:05,10,4,1588,530.5,17.0
2018-02-11 18:00:05,10,4,1590,532.5,17.0
2018-02-11 18:15:06,10,4,1596,535.0,17.0
2018-02-11 18:30:05,10,4,1601,536.75,17.0
2018-02-11 18:45:05,10,4,1605,540.25,17.0
2018-02-11 19:00:05,10,4,1609,542.5,17.0
2018-02-11 19:15:05,10,4,1611,544.5,17.0
2018-02-11 19:30:05,10,4,1616,548.25,17.0
2018-02-11 19:45:06,10,4,1628,550.75,17.0
2018-02-11 20:00:05,10,4,1634,553.5,17.5
2018-02-11 20:15:05,10,4,1634,555.5,17.5
2018-02-11 20:30:06,10,4,1638,557.75,17.5
2018-02-11 20:45:06,10,4,1642,561.25,17.75
2018-02-11 21:00:06,10,4,1644,562.25,17.75
2018-02-11 21:15:04,10,4,1645,564.5,17.75
2018-02-11 21:30:05,10,4,1647,568.25,17.75
2018-02-11 21:45:06,10,4,1649,571.75,17.75
2018-02-11 22:00:05,10,4,1652,574.0,17.75
2018-02-11 22:15:07,10,4,1656,576.25,18.5
2018-02-11 22:30:06,10,4,1656,578.25,19.0
2018-02-11 22:45:07,10,4,1662,581.0,19.0
2018-02-11 23:00:07,10,4,1664,582.5,19.0
2018-02-11 23:15:05,10,4,1666,586.5,19.25
2018-02-11 23:30:05,10,4,1667,586.75,19.5
2018-02-11 23:45:07,10,4,1669,587.25,19.5
2018-02-12 00:00:09,10,4,1669,588.25,19.5
2018-02-12 00:15:07,10,4,1671,589.75,19.5
2018-02-12 00:30:06,10,4,1671,590.25,19.5
2018-02-12 00:45:05,10,4,1671,590.25,19.5
2018-02-12 01:00:06,10,4,1672,590.5,19.5
2018-02-12 01:15:06,10,4,1672,590.5,19.5
2018-02-12 01:30:06,10,4,1672,590.5,19.5
2018-02-12 01:45:06,10,4,1673,590.5,19.5
2018-02-12 02:00:05,10,4,1673,590.5,19.5
2018-02-12 02:15:06,10,4,1673,590.5,19.5
2018-02-12 02:30:07,10,4,1673,590.5,19.5
