datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:04,0,2,1493,604.5,12.0
2018-02-11 17:00:03,0,2,1495,605.0,12.0
2018-02-11 17:15:03,0,2,1496,608.0,12.0
2018-02-11 17:30:03,0,2,1500,610.5,12.0
2018-02-11 17:45:03,0,2,1503,612.0,12.0
2018-02-11 18:00:02,0,2,1506,612.5,12.0
2018-02-11 18:15:03,0,2,1511,613.5,12.0
2018-02-11 18:30:03,0,2,1510,614.0,12.0
2018-02-11 18:45:03,0,2,1514,615.0,12.0
2018-02-11 19:00:03,0,2,1516,617.5,12.0
2018-02-11 19:15:03,0,2,1521,620.5,12.0
2018-02-11 19:30:03,0,2,1524,623.0,12.0
2018-02-11 19:45:03,0,2,1529,623.5,12.0
2018-02-11 20:00:03,0,2,1531,624.0,12.0
2018-02-11 20:15:03,0,2,1530,624.5,12.0
2018-02-11 20:30:03,0,2,1531,626.0,12.0
2018-02-11 20:45:04,0,2,1534,629.0,12.0
2018-02-11 21:00:03,0,2,1539,629.5,12.0
2018-02-11 21:15:02,0,2,1542,631.5,12.0
2018-02-11 21:30:03,0,2,1544,633.5,12.0
2018-02-11 21:45:03,0,2,1545,633.5,12.0
2018-02-11 22:00:03,0,2,1547,635.5,12.0
2018-02-11 22:15:04,0,2,1552,635.5,12.0
2018-02-11 22:30:03,0,2,1554,636.5,12.0
2018-02-11 22:45:03,0,2,1557,637.5,12.0
2018-02-11 23:00:04,0,2,1561,637.5,12.0
2018-02-11 23:15:03,0,2,1563,639.0,12.0
2018-02-11 23:30:03,0,2,1564,639.5,12.0
2018-02-11 23:45:04,0,2,1566,640.0,12.0
2018-02-12 00:00:06,0,2,1566,642.0,12.0
2018-02-12 00:15:04,0,2,1566,642.5,12.0
2018-02-12 00:30:04,0,2,1567,643.0,12.0
2018-02-12 00:45:03,0,2,1568,643.0,12.0
2018-02-12 01:00:03,0,2,1568,643.0,12.0
2018-02-12 01:15:03,0,2,1568,643.5,12.0
2018-02-12 01:30:03,0,2,1569,643.5,12.0
2018-02-12 01:45:03,0,2,1570,643.5,12.0
2018-02-12 02:00:03,0,2,1570,643.5,12.0
2018-02-12 02:15:03,0,2,1571,644.5,12.0
2018-02-12 02:30:04,0,2,1571,644.5,12.0
2018-02-12 02:45:04,0,2,1571,644.5,12.0
2018-02-12 03:00:04,0,2,1571,644.5,12.0
2018-02-12 03:15:04,0,2,1572,644.5,12.0
2018-02-12 03:30:03,0,2,1572,644.5,12.0
2018-02-12 03:45:03,0,2,1572,644.5,12.0
2018-02-12 04:00:03,0,2,1572,644.5,12.0
2018-02-12 04:15:03,0,2,1572,644.5,12.0
2018-02-12 04:30:03,0,2,1572,644.5,12.0
2018-02-12 04:45:04,0,2,1572,644.5,12.0
2018-02-12 05:00:03,0,2,1572,644.5,12.0
2018-02-12 05:15:03,0,2,1572,644.5,12.0
2018-02-12 05:30:03,0,2,1572,644.5,12.0
2018-02-12 05:45:03,0,2,1572,644.5,12.0
2018-02-12 06:00:03,0,2,1572,644.5,12.0
2018-02-12 06:15:03,0,2,1572,644.5,12.0
2018-02-12 06:30:04,0,2,1573,644.5,12.0
2018-02-12 06:45:04,0,2,1574,645.5,12.0
