datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:03,0,1,7654,4872.0,355.0
2018-02-11 17:00:02,0,1,7666,4877.0,355.0
2018-02-11 17:15:02,0,1,7671,4885.0,355.0
2018-02-11 17:30:02,0,1,7679,4892.0,355.0
2018-02-11 17:45:01,0,1,7697,4902.0,355.0
2018-02-11 18:00:01,0,1,7717,4907.0,356.0
2018-02-11 18:15:01,0,1,7732,4918.0,356.0
2018-02-11 18:30:01,0,1,7746,4924.0,357.0
2018-02-11 18:45:01,0,1,7751,4932.0,357.0
2018-02-11 19:00:01,0,1,7761,4940.0,357.0
2018-02-11 19:15:01,0,1,7769,4950.0,357.0
2018-02-11 19:30:02,0,1,7781,4957.0,357.0
2018-02-11 19:45:02,0,1,7799,4966.0,358.0
2018-02-11 20:00:02,0,1,7812,4975.0,358.0
2018-02-11 20:15:02,0,1,7822,4982.0,358.0
2018-02-11 20:30:02,0,1,7838,4995.0,359.0
2018-02-11 20:45:02,0,1,7847,5003.0,360.0
2018-02-11 21:00:02,0,1,7859,5007.0,360.0
2018-02-11 21:15:01,0,1,7878,5020.0,360.0
2018-02-11 21:30:01,0,1,7887,5025.0,361.0
2018-02-11 21:45:02,0,1,7899,5034.0,362.0
2018-02-11 22:00:01,0,1,7908,5041.0,362.0
2018-02-11 22:15:01,0,1,7923,5046.0,362.0
2018-02-11 22:30:02,0,1,7929,5053.0,362.0
2018-02-11 22:45:02,0,1,7936,5054.0,362.0
2018-02-11 23:00:02,0,1,7946,5062.0,362.0
2018-02-11 23:15:02,0,1,7953,5063.0,362.0
2018-02-11 23:30:02,0,1,7960,5065.0,363.0
2018-02-11 23:45:02,0,1,7965,5068.0,363.0
2018-02-12 00:00:02,0,1,7968,5070.0,363.0
2018-02-12 00:15:02,0,1,7970,5070.0,363.0
2018-02-12 00:30:02,0,1,7974,5072.0,363.0
2018-02-12 00:45:01,0,1,7977,5073.0,363.0
2018-02-12 01:00:01,0,1,7979,5074.0,364.0
2018-02-12 01:15:01,0,1,7981,5075.0,364.0
2018-02-12 01:30:01,0,1,7982,5075.0,364.0
2018-02-12 01:45:02,0,1,7984,5076.0,364.0
2018-02-12 02:00:01,0,1,7983,5076.0,364.0
2018-02-12 02:15:02,0,1,7984,5076.0,364.0
2018-02-12 02:30:02,0,1,7985,5076.0,364.0
2018-02-12 02:45:02,0,1,7986,5077.0,364.0
2018-02-12 03:00:02,0,1,7987,5077.0,364.0
2018-02-12 03:15:02,0,1,7986,5077.0,364.0
2018-02-12 03:30:02,0,1,7988,5077.0,364.0
2018-02-12 03:45:01,0,1,7988,5077.0,364.0
2018-02-12 04:00:01,0,1,7988,5077.0,364.0
2018-02-12 04:15:01,0,1,7988,5077.0,364.0
2018-02-12 04:30:02,0,1,7989,5078.0,364.0
2018-02-12 04:45:02,0,1,7989,5078.0,364.0
2018-02-12 05:00:01,0,1,7989,5078.0,364.0
2018-02-12 05:15:02,0,1,7989,5078.0,364.0
2018-02-12 05:30:02,0,1,7989,5078.0,364.0
2018-02-12 05:45:02,0,1,7989,5078.0,364.0
2018-02-12 06:00:02,0,1,7991,5078.0,364.0
2018-02-12 06:15:02,0,1,7991,5078.0,364.0
2018-02-12 06:30:02,0,1,7993,5080.0,364.0
2018-02-12 06:45:02,0,1,7995,5080.0,364.0
2018-02-12 07:00:02,0,1,7998,5082.0,364.0
2018-02-12 07:15:01,0,1,8002,5084.0,364.0
2018-02-12 07:30:01,0,1,8003,5084.0,364.0
2018-02-12 07:45:01,0,1,8006,5087.0,365.0
2018-02-12 08:00:01,0,1,8010,5089.0,365.0
2018-02-12 08:15:02,0,1,8014,5090.0,365.0
2018-02-12 08:30:02,0,1,8017,5091.0,366.0
2018-02-12 08:45:02,0,1,8018,5094.0,367.0
2018-02-12 09:00:02,0,1,8024,5095.0,367.0
2018-02-12 09:15:02,0,1,8027,5098.0,367.0
2018-02-12 09:30:02,0,1,8038,5104.0,368.0
2018-02-12 09:45:02,0,1,8041,5105.0,368.0
2018-02-12 10:00:02,0,1,8053,5107.0,368.0
2018-02-12 10:15:01,0,1,8059,5113.0,368.0
