datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:13,31,4,4578,1575.5,41.25
2018-02-11 17:00:13,31,4,4590,1580.75,41.5
2018-02-11 17:15:13,31,4,4604,1592.25,42.25
2018-02-11 17:30:13,31,4,4614,1600.75,42.25
2018-02-11 17:45:16,31,4,4627,1606.0,42.25
2018-02-11 18:00:12,31,4,4639,1613.75,42.5
2018-02-11 18:15:13,31,4,4653,1620.5,42.5
2018-02-11 18:30:12,31,4,4665,1625.75,42.5
2018-02-11 18:45:13,31,4,4675,1636.0,42.75
2018-02-11 19:00:13,31,4,4704,1642.25,42.75
2018-02-11 19:15:13,31,4,4721,1649.0,42.75
2018-02-11 19:30:13,31,4,4737,1653.25,42.75
2018-02-11 19:45:13,31,4,4751,1662.0,42.75
2018-02-11 20:00:13,31,4,4759,1670.75,42.75
2018-02-11 20:15:13,31,4,4769,1677.75,42.75
2018-02-11 20:30:13,31,4,4784,1684.0,42.5
2018-02-11 20:45:13,31,4,4796,1691.25,42.5
2018-02-11 21:00:12,31,4,4807,1693.5,42.5
2018-02-11 21:15:12,31,4,4818,1698.75,42.5
2018-02-11 21:30:11,31,4,4827,1706.25,42.75
2018-02-11 21:45:14,31,4,4832,1710.5,42.75
2018-02-11 22:00:15,31,4,4840,1716.0,42.75
2018-02-11 22:15:17,31,4,4857,1719.0,42.75
2018-02-11 22:30:15,31,5,4865,1385.2,34.6
2018-02-11 22:45:16,31,5,4876,1450.6,35.4
2018-02-11 23:00:15,31,5,4888,1486.8,35.8
2018-02-11 23:15:13,31,5,4888,1510.2,36.4
2018-02-11 23:30:13,31,5,4890,1524.8,36.6
2018-02-11 23:45:16,31,5,4893,1536.0,37.0
2018-02-12 00:00:20,31,5,4893,1543.2,37.0
2018-02-12 00:15:16,31,5,4898,1550.6,37.2
2018-02-12 00:30:15,31,5,4901,1555.2,37.4
2018-02-12 00:45:13,31,5,4904,1559.2,37.4
2018-02-12 01:00:14,31,5,4902,1561.6,37.4
2018-02-12 01:15:14,31,5,4906,1564.4,37.4
2018-02-12 01:30:15,31,5,4909,1567.2,37.4
2018-02-12 01:45:14,31,5,4909,1568.2,37.4
2018-02-12 02:00:15,31,5,4912,1569.6,37.4
2018-02-12 02:15:15,31,5,4912,1571.6,37.4
2018-02-12 02:30:17,31,5,4912,1572.2,37.4
2018-02-12 02:45:16,31,5,4913,1572.6,37.4
2018-02-12 03:00:15,31,5,4914,1572.8,37.4
2018-02-12 03:15:17,31,5,4914,1573.6,37.4
2018-02-12 03:30:16,31,5,4914,1574.6,37.4
2018-02-12 03:45:15,31,5,4915,1574.8,37.4
2018-02-12 04:00:15,31,5,4915,1575.0,37.4
2018-02-12 04:15:16,31,5,4915,1575.0,37.4
2018-02-12 04:30:14,31,5,4915,1575.8,37.4
2018-02-12 04:45:15,31,5,4915,1576.2,37.4
2018-02-12 05:00:16,31,5,4915,1576.6,37.4
2018-02-12 05:15:14,31,5,4916,1577.0,37.4
2018-02-12 05:30:14,31,5,4916,1578.0,37.4
2018-02-12 05:45:14,31,5,4917,1578.8,37.4
2018-02-12 06:00:14,31,5,4918,1582.0,37.4
2018-02-12 06:15:14,31,5,4918,1586.0,37.4
2018-02-12 06:30:15,31,5,4920,1592.2,37.4
2018-02-12 06:45:14,31,5,4920,1599.0,37.6
2018-02-12 07:00:15,31,5,4924,1606.0,37.6
2018-02-12 07:15:14,31,5,4928,1613.0,37.6
2018-02-12 07:30:13,31,5,4930,1620.2,37.6
2018-02-12 07:45:14,31,5,4930,1626.0,37.6
2018-02-12 08:00:14,31,5,4933,1630.6,37.6
2018-02-12 08:15:12,31,5,4935,1638.6,37.6
2018-02-12 08:30:13,31,5,4942,1647.4,37.8
2018-02-12 08:45:13,31,5,4943,1652.8,38.0
2018-02-12 09:00:13,31,5,4948,1657.0,38.0
2018-02-12 09:15:13,31,5,4951,1662.6,38.0
2018-02-12 09:30:14,31,5,4957,1669.0,38.0
2018-02-12 09:45:14,31,5,4963,1675.0,38.0
2018-02-12 10:00:14,31,5,4968,1684.0,38.2
2018-02-12 10:15:12,31,5,4978,1691.2,38.2
2018-02-12 10:30:12,31,5,4986,1696.8,38.6
2018-02-12 10:45:14,31,5,5003,1703.0,38.6
2018-02-12 11:00:14,31,5,5014,1709.6,38.6
2018-02-12 11:15:11,31,5,5017,1716.0,38.6
2018-02-12 11:30:12,31,5,5025,1720.0,38.6
2018-02-12 11:45:13,31,5,5033,1724.4,38.6
