datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:14,22,4,5466,2443.75,28.0
2018-02-11 17:00:14,22,4,5488,2455.0,28.25
2018-02-11 17:15:14,22,4,5515,2473.25,28.25
2018-02-11 17:30:14,22,4,5539,2496.25,28.25
2018-02-11 17:45:17,22,4,5553,2517.25,28.75
2018-02-11 18:00:13,22,4,5573,2536.25,29.25
2018-02-11 18:15:14,22,4,5598,2548.5,29.25
2018-02-11 18:30:12,22,4,5644,2570.5,29.25
2018-02-11 18:45:13,22,4,5684,2592.5,29.5
2018-02-11 19:00:14,22,4,5731,2618.0,29.5
2018-02-11 19:15:14,22,4,5767,2636.25,29.5
2018-02-11 19:30:14,22,4,5796,2660.0,29.5
2018-02-11 19:45:14,22,4,5830,2681.0,29.5
2018-02-11 20:00:14,22,4,5863,2698.0,29.5
2018-02-11 20:15:14,22,4,5887,2716.25,29.75
2018-02-11 20:30:14,22,4,5923,2735.0,29.75
2018-02-11 20:45:14,22,4,5957,2758.25,30.0
2018-02-11 21:00:13,22,4,5980,2775.25,30.0
2018-02-11 21:15:13,22,4,5998,2786.25,30.0
2018-02-11 21:30:12,22,4,6027,2802.75,30.25
2018-02-11 21:45:15,22,4,6045,2813.75,30.25
2018-02-11 22:00:16,22,4,6061,2824.25,30.5
2018-02-11 22:15:18,22,4,6081,2834.5,30.5
2018-02-11 22:30:16,22,4,6096,2842.25,30.5
2018-02-11 22:45:17,22,4,6119,2851.5,30.5
2018-02-11 23:00:16,22,4,6136,2862.75,30.5
2018-02-11 23:15:13,22,4,6144,2871.0,30.5
2018-02-11 23:30:14,22,4,6157,2877.0,30.5
2018-02-11 23:45:17,22,4,6168,2885.75,30.75
2018-02-12 00:00:22,22,4,6179,2888.75,30.75
2018-02-12 00:15:17,22,4,6186,2891.5,30.75
2018-02-12 00:30:16,22,4,6190,2893.75,30.75
2018-02-12 00:45:14,22,4,6194,2897.0,30.75
2018-02-12 01:00:15,22,4,6196,2900.5,30.75
2018-02-12 01:15:15,22,4,6199,2903.75,30.75
2018-02-12 01:30:16,22,4,6201,2905.75,30.75
2018-02-12 01:45:15,22,4,6202,2907.0,30.75
2018-02-12 02:00:16,22,4,6202,2907.75,30.75
2018-02-12 02:15:16,22,4,6202,2909.0,30.75
2018-02-12 02:30:19,22,4,6202,2909.0,30.75
2018-02-12 02:45:17,22,4,6206,2909.0,30.75
2018-02-12 03:00:16,22,4,6206,2909.0,30.75
2018-02-12 03:15:18,22,4,6206,2909.0,30.75
2018-02-12 03:30:17,22,4,6206,2909.25,30.75
2018-02-12 03:45:16,22,4,6207,2910.25,30.75
2018-02-12 04:00:16,22,4,6207,2910.5,30.75
2018-02-12 04:15:17,22,4,6207,2910.5,30.75
2018-02-12 04:30:15,22,4,6207,2910.5,30.75
2018-02-12 04:45:17,22,4,6207,2910.5,30.75
2018-02-12 05:00:17,22,4,6207,2911.0,30.75
2018-02-12 05:15:15,22,4,6207,2911.0,30.75
2018-02-12 05:30:15,22,4,6207,2911.25,30.75
2018-02-12 05:45:16,22,4,6207,2911.25,30.75
2018-02-12 06:00:15,22,4,6211,2912.0,30.75
2018-02-12 06:15:15,22,4,6211,2913.25,30.75
2018-02-12 06:30:15,22,4,6212,2916.25,30.75
2018-02-12 06:45:15,22,4,6216,2918.75,30.75
2018-02-12 07:00:16,22,4,6220,2923.5,30.75
2018-02-12 07:15:15,22,4,6228,2923.75,30.75
2018-02-12 07:30:14,22,4,6230,2926.0,30.75
2018-02-12 07:45:15,22,4,6237,2928.0,30.75
2018-02-12 08:00:15,22,4,6243,2932.5,30.75
2018-02-12 08:15:13,22,4,6246,2934.25,30.75
2018-02-12 08:30:14,22,4,6256,2938.0,30.75
2018-02-12 08:45:13,22,4,6260,2940.75,30.75
2018-02-12 09:00:14,22,4,6269,2946.5,30.75
2018-02-12 09:15:14,22,4,6273,2950.75,30.75
2018-02-12 09:30:16,22,4,6284,2954.5,30.75
2018-02-12 09:45:15,22,4,6292,2959.5,30.75
2018-02-12 10:00:15,22,4,6299,2963.25,30.75
2018-02-12 10:15:15,22,4,6308,2969.25,30.75
2018-02-12 10:30:13,22,4,6329,2978.25,30.75
2018-02-12 10:45:15,22,4,6346,2985.5,30.75
2018-02-12 11:00:15,22,4,6358,2988.25,30.75
2018-02-12 11:15:12,22,4,6366,2992.0,30.75
2018-02-12 11:30:13,22,4,6372,2998.0,30.75
