datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:14,47,4,4334,1697.0,84.0
2018-02-11 17:00:15,47,4,4341,1705.75,84.0
2018-02-11 17:15:14,47,4,4351,1717.25,84.0
2018-02-11 17:30:14,47,4,4363,1725.75,84.0
2018-02-11 17:45:17,47,4,4368,1731.25,84.25
2018-02-11 18:00:13,47,4,4377,1741.0,84.75
2018-02-11 18:15:14,47,4,4391,1746.5,84.75
2018-02-11 18:30:13,47,4,4398,1755.75,84.75
2018-02-11 18:45:14,47,4,4407,1763.75,84.75
2018-02-11 19:00:14,47,4,4497,1792.0,85.25
2018-02-11 19:15:14,47,4,4556,1817.0,85.5
2018-02-11 19:30:15,47,4,4608,1839.5,85.75
2018-02-11 19:45:14,47,4,4656,1861.75,85.75
2018-02-11 20:00:15,47,4,4685,1875.75,85.75
2018-02-11 20:15:14,47,4,4710,1890.25,86.5
2018-02-11 20:30:14,47,4,4744,1904.25,86.75
2018-02-11 20:45:15,47,4,4771,1919.25,87.0
2018-02-11 21:00:14,47,4,4807,1933.5,87.0
2018-02-11 21:15:13,47,4,4821,1945.0,87.0
2018-02-11 21:30:13,47,4,4841,1953.25,87.0
2018-02-11 21:45:16,47,4,4865,1961.25,87.0
2018-02-11 22:00:16,47,4,4886,1968.25,87.0
2018-02-11 22:15:18,47,4,4905,1975.75,88.0
2018-02-11 22:30:16,47,4,4922,1983.75,90.25
2018-02-11 22:45:17,55,4,4945,1990.5,90.25
2018-02-11 23:00:17,55,4,4956,1997.5,90.5
2018-02-11 23:15:14,55,4,4975,2006.5,90.5
2018-02-11 23:30:14,55,4,4984,2013.0,90.75
2018-02-11 23:45:18,55,4,4991,2017.75,90.75
2018-02-12 00:00:22,55,4,5000,2022.0,90.75
2018-02-12 00:15:18,55,4,5004,2023.5,90.75
2018-02-12 00:30:16,55,4,5007,2026.0,90.75
2018-02-12 00:45:14,55,4,5013,2028.5,90.75
2018-02-12 01:00:16,55,4,5016,2029.75,90.75
