datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:07,0,1,1832,794.0,21.0
2018-02-11 17:00:07,0,1,1837,795.0,21.0
2018-02-11 17:15:07,0,1,1842,796.0,21.0
2018-02-11 17:30:07,0,1,1846,797.0,21.0
2018-02-11 17:45:06,0,1,1851,800.0,22.0
2018-02-11 18:00:07,0,1,1859,801.0,22.0
2018-02-11 18:15:07,0,1,1863,802.0,22.0
2018-02-11 18:30:06,0,1,1866,805.0,22.0
2018-02-11 18:45:07,0,1,1871,808.0,22.0
2018-02-11 19:00:06,0,1,1876,811.0,22.0
2018-02-11 19:15:07,0,1,1880,815.0,22.0
2018-02-11 19:30:06,0,1,1886,818.0,22.0
2018-02-11 19:45:07,0,1,1895,821.0,22.0
2018-02-11 20:00:07,0,1,1899,822.0,22.0
2018-02-11 20:15:07,0,1,1901,824.0,22.0
2018-02-11 20:30:07,0,1,1903,826.0,22.0
2018-02-11 20:45:07,0,1,1907,827.0,22.0
2018-02-11 21:00:07,0,1,1911,833.0,22.0
2018-02-11 21:15:06,0,1,1912,834.0,22.0
2018-02-11 21:30:06,0,1,1913,838.0,22.0
2018-02-11 21:45:07,0,1,1917,839.0,22.0
2018-02-11 22:00:07,0,1,1920,843.0,22.0
2018-02-11 22:15:09,0,1,1927,843.0,22.0
2018-02-11 22:30:08,0,1,1927,847.0,22.0
2018-02-11 22:45:08,0,1,1934,850.0,22.0
2018-02-11 23:00:08,0,1,1936,851.0,22.0
2018-02-11 23:15:07,0,1,1940,854.0,22.0
2018-02-11 23:30:07,0,1,1940,855.0,22.0
2018-02-11 23:45:09,0,1,1940,855.0,22.0
2018-02-12 00:00:11,0,1,1941,856.0,22.0
2018-02-12 00:15:09,0,1,1942,857.0,22.0
2018-02-12 00:30:08,0,1,1943,857.0,22.0
2018-02-12 00:45:06,0,1,1944,857.0,22.0
2018-02-12 01:00:07,0,1,1944,857.0,22.0
2018-02-12 01:15:08,0,1,1944,857.0,22.0
2018-02-12 01:30:08,0,1,1944,857.0,22.0
2018-02-12 01:45:08,0,1,1944,857.0,22.0
2018-02-12 02:00:08,0,1,1944,857.0,22.0
2018-02-12 02:15:08,0,1,1944,857.0,22.0
2018-02-12 02:30:09,0,1,1944,857.0,22.0
2018-02-12 02:45:08,0,1,1944,857.0,22.0
2018-02-12 03:00:08,0,1,1944,857.0,22.0
2018-02-12 03:15:09,0,1,1944,857.0,22.0
2018-02-12 03:30:08,0,1,1944,857.0,22.0
2018-02-12 03:45:07,0,1,1944,857.0,22.0
2018-02-12 04:00:07,0,1,1944,857.0,22.0
2018-02-12 04:15:08,0,1,1944,857.0,22.0
2018-02-12 04:30:08,0,1,1944,857.0,22.0
2018-02-12 04:45:08,0,1,1944,857.0,22.0
2018-02-12 05:00:09,0,1,1944,857.0,22.0
2018-02-12 05:15:08,0,1,1945,857.0,22.0
2018-02-12 05:30:07,0,1,1945,857.0,22.0
2018-02-12 05:45:08,0,1,1945,857.0,22.0
2018-02-12 06:00:08,0,1,1947,858.0,22.0
2018-02-12 06:15:07,0,1,1947,859.0,22.0
2018-02-12 06:30:07,0,1,1948,859.0,22.0
2018-02-12 06:45:08,0,1,1949,859.0,22.0
2018-02-12 07:00:08,0,1,1952,861.0,22.0
2018-02-12 07:15:08,0,1,1954,862.0,22.0
2018-02-12 07:30:07,0,1,1954,863.0,22.0
2018-02-12 07:45:08,0,1,1954,865.0,22.0
2018-02-12 08:00:06,0,1,1955,866.0,22.0
2018-02-12 08:15:07,0,1,1955,866.0,22.0
2018-02-12 08:30:07,0,1,1955,868.0,22.0
2018-02-12 08:45:06,0,1,1957,869.0,22.0
2018-02-12 09:00:07,0,1,1956,870.0,22.0
2018-02-12 09:15:07,0,1,1956,870.0,22.0
2018-02-12 09:30:07,0,1,1958,870.0,22.0
2018-02-12 09:45:07,0,1,1966,873.0,22.0
2018-02-12 10:00:08,0,1,1973,874.0,22.0
2018-02-12 10:15:07,0,1,1973,875.0,22.0
2018-02-12 10:30:06,0,1,1976,876.0,22.0
2018-02-12 10:45:07,0,1,1979,877.0,22.0
2018-02-12 11:00:07,0,1,1983,877.0,22.0
2018-02-12 11:15:06,0,1,1985,879.0,22.0
2018-02-12 11:30:06,0,1,1987,879.0,22.0
2018-02-12 11:45:07,0,1,1991,879.0,22.0
2018-02-12 12:00:07,0,1,1995,880.0,22.0
2018-02-12 12:15:08,0,1,2000,885.0,22.0
2018-02-12 12:30:09,0,1,2001,885.0,22.0
2018-02-12 12:45:10,0,1,2005,887.0,22.0
2018-02-12 13:00:09,0,1,2011,888.0,22.0
2018-02-12 13:15:08,0,1,2016,891.0,22.0
2018-02-12 13:30:09,0,1,2022,893.0,22.0
2018-02-12 13:45:07,0,1,2026,896.0,22.0
2018-02-12 14:00:09,0,1,2029,898.0,22.0
2018-02-12 14:15:08,0,1,2034,901.0,22.0
2018-02-12 14:30:08,0,1,2032,903.0,22.0
2018-02-12 14:45:07,0,1,2036,906.0,22.0
2018-02-12 15:00:07,0,1,2035,908.0,22.0
2018-02-12 15:15:08,0,1,2037,910.0,22.0
2018-02-12 15:30:08,0,1,2037,912.0,22.0
2018-02-12 15:45:08,0,1,2036,914.0,22.0
2018-02-12 16:00:08,0,1,2040,914.0,22.0
2018-02-12 16:15:09,0,1,2042,914.0,22.0
2018-02-12 16:30:09,0,1,2043,915.0,22.0
2018-02-12 16:45:08,0,1,2046,915.0,22.0
2018-02-12 17:00:07,0,1,2047,916.0,22.0
2018-02-12 17:15:08,0,1,2048,918.0,23.0
2018-02-12 17:30:08,0,1,2048,920.0,23.0
2018-02-12 17:45:07,0,1,2049,920.0,23.0
2018-02-12 18:00:08,0,1,2054,922.0,23.0
2018-02-12 18:15:08,0,1,2056,924.0,23.0
2018-02-12 18:30:07,0,1,2057,925.0,23.0
2018-02-12 18:45:08,0,1,2059,926.0,23.0
2018-02-12 19:00:08,0,1,2063,926.0,23.0
2018-02-12 19:15:10,0,1,2063,929.0,23.0
2018-02-12 19:30:07,0,1,2067,930.0,23.0
2018-02-12 19:45:08,0,1,2068,930.0,23.0
2018-02-12 20:00:08,0,1,2072,930.0,23.0
2018-02-12 20:15:07,0,2,2072,489.5,14.0
2018-02-12 20:30:07,0,2,2073,526.0,15.0
2018-02-12 20:45:06,0,2,2080,551.5,15.0
2018-02-12 21:00:06,0,2,2080,570.0,16.0
2018-02-12 21:15:06,0,2,2080,582.5,16.5
2018-02-12 21:30:07,0,2,2082,597.0,17.0
2018-02-12 21:45:08,0,2,2084,609.0,17.0
2018-02-12 22:00:09,0,2,2083,615.5,17.0
2018-02-12 22:15:08,0,2,2083,624.5,17.0
2018-02-12 22:30:08,0,2,2084,633.0,17.0
2018-02-12 22:45:09,0,2,2085,637.5,17.0
2018-02-12 23:00:09,0,2,2088,641.0,17.0
2018-02-12 23:15:07,0,2,2091,644.5,17.0
2018-02-12 23:30:07,0,2,2093,648.0,17.0
