datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:06,0,2,1522,496.0,6.5
2018-02-11 17:00:06,0,2,1527,496.5,6.5
2018-02-11 17:15:06,0,2,1531,498.5,6.5
2018-02-11 17:30:06,0,2,1535,499.5,7.0
2018-02-11 17:45:05,0,2,1538,501.5,7.0
2018-02-11 18:00:06,0,2,1542,502.5,7.0
2018-02-11 18:15:06,0,2,1546,503.5,7.0
2018-02-11 18:30:05,0,2,1551,505.0,7.0
2018-02-11 18:45:05,0,2,1554,507.5,7.0
2018-02-11 19:00:05,0,2,1558,507.5,7.0
2018-02-11 19:15:05,0,2,1562,507.5,7.0
2018-02-11 19:30:05,0,2,1566,509.5,7.0
2018-02-11 19:45:06,0,2,1573,511.5,7.0
2018-02-11 20:00:06,0,2,1575,512.5,7.0
2018-02-11 20:15:06,0,2,1575,514.5,7.0
2018-02-11 20:30:06,0,2,1579,515.0,7.0
2018-02-11 20:45:07,0,2,1582,516.0,7.0
2018-02-11 21:00:06,0,2,1584,519.0,7.0
2018-02-11 21:15:05,0,2,1587,520.0,7.0
2018-02-11 21:30:05,0,2,1591,521.0,7.0
2018-02-11 21:45:06,0,2,1594,521.5,7.0
2018-02-11 22:00:06,0,2,1599,521.5,7.0
2018-02-11 22:15:07,0,2,1602,521.5,7.0
2018-02-11 22:30:07,0,2,1601,523.5,7.0
2018-02-11 22:45:07,0,2,1607,527.0,7.0
2018-02-11 23:00:07,0,2,1609,528.5,7.0
2018-02-11 23:15:06,0,2,1610,530.5,7.0
2018-02-11 23:30:06,0,2,1612,531.5,7.0
2018-02-11 23:45:08,0,2,1614,532.0,7.0
2018-02-12 00:00:09,0,2,1615,533.0,7.0
2018-02-12 00:15:08,0,2,1616,533.0,7.0
2018-02-12 00:30:07,0,2,1616,533.5,7.0
2018-02-12 00:45:06,0,2,1617,533.5,7.0
2018-02-12 01:00:06,0,2,1617,533.5,7.0
2018-02-12 01:15:06,0,2,1613,534.5,7.0
2018-02-12 01:30:07,0,2,1613,534.5,7.0
2018-02-12 01:45:06,0,2,1614,534.5,7.0
2018-02-12 02:00:06,0,2,1614,534.5,7.0
2018-02-12 02:15:07,0,2,1615,534.5,7.0
2018-02-12 02:30:07,0,2,1615,534.5,7.0
2018-02-12 02:45:07,0,2,1615,534.5,7.0
2018-02-12 03:00:07,0,2,1615,534.5,7.0
2018-02-12 03:15:08,0,2,1615,534.5,7.0
2018-02-12 03:30:07,0,2,1615,534.5,7.0
