datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:05,0,2,3992,1871.0,73.0
2018-02-11 17:00:06,0,2,3996,1875.0,73.0
2018-02-11 17:15:05,0,2,4007,1884.0,73.5
2018-02-11 17:30:05,0,2,4014,1887.5,73.5
2018-02-11 17:45:04,0,2,4029,1897.5,73.5
2018-02-11 18:00:05,0,2,4042,1902.5,74.5
2018-02-11 18:15:05,0,2,4052,1907.5,74.5
2018-02-11 18:30:05,0,2,4056,1911.5,74.5
2018-02-11 18:45:04,0,2,4063,1914.5,74.5
2018-02-11 19:00:04,0,2,4080,1921.5,74.5
2018-02-11 19:15:05,0,2,4096,1923.5,74.5
2018-02-11 19:30:05,0,2,4111,1931.5,74.5
2018-02-11 19:45:05,0,2,4129,1937.0,74.5
2018-02-11 20:00:05,0,2,4137,1940.5,75.5
2018-02-11 20:15:05,0,2,4148,1948.0,76.0
2018-02-11 20:30:05,0,2,4158,1950.5,76.0
2018-02-11 20:45:06,0,2,4179,1956.0,76.0
2018-02-11 21:00:05,0,2,4197,1961.0,76.0
2018-02-11 21:15:04,0,2,4208,1968.0,76.0
2018-02-11 21:30:04,0,2,4219,1972.5,76.0
2018-02-11 21:45:05,0,2,4232,1980.0,76.0
2018-02-11 22:00:05,0,2,4239,1982.5,76.0
2018-02-11 22:15:07,0,2,4251,1985.0,76.5
2018-02-11 22:30:06,0,2,4259,1989.5,76.5
2018-02-11 22:45:06,0,2,4270,1991.0,76.5
2018-02-11 23:00:06,0,2,4283,1996.0,76.5
2018-02-11 23:15:05,0,2,4293,1998.5,76.5
2018-02-11 23:30:05,0,2,4296,2002.0,76.5
2018-02-11 23:45:06,0,2,4303,2007.5,76.5
2018-02-12 00:00:08,0,2,4306,2010.0,76.5
2018-02-12 00:15:07,0,2,4308,2010.5,76.5
2018-02-12 00:30:06,0,2,4312,2011.0,76.5
2018-02-12 00:45:05,0,2,4315,2014.0,76.5
2018-02-12 01:00:05,0,2,4319,2015.0,76.5
2018-02-12 01:15:05,0,2,4319,2015.0,76.5
2018-02-12 01:30:06,0,2,4321,2015.0,76.5
2018-02-12 01:45:06,0,2,4323,2016.0,76.5
2018-02-12 02:00:05,0,2,4325,2016.0,76.5
2018-02-12 02:15:05,0,2,4325,2016.0,76.5
2018-02-12 02:30:06,0,2,4325,2016.0,76.5
2018-02-12 02:45:06,0,2,4326,2016.0,76.5
2018-02-12 03:00:06,0,2,4326,2016.0,76.5
2018-02-12 03:15:06,0,2,4326,2016.0,76.5
2018-02-12 03:30:05,0,2,4326,2016.0,76.5
2018-02-12 03:45:05,0,2,4326,2016.0,76.5
2018-02-12 04:00:05,0,2,4326,2016.0,76.5
2018-02-12 04:15:05,0,2,4326,2017.0,76.5
2018-02-12 04:30:05,0,2,4326,2017.0,76.5
2018-02-12 04:45:06,0,2,4328,2017.5,76.5
2018-02-12 05:00:05,0,2,4328,2019.0,76.5
2018-02-12 05:15:05,0,2,4329,2019.0,76.5
2018-02-12 05:30:06,0,2,4329,2019.0,76.5
2018-02-12 05:45:05,0,2,4330,2020.0,77.0
2018-02-12 06:00:06,0,2,4331,2020.0,77.0
2018-02-12 06:15:05,0,2,4331,2021.0,77.0
2018-02-12 06:30:05,0,2,4334,2022.5,77.0
2018-02-12 06:45:06,0,2,4336,2022.5,77.0
2018-02-12 07:00:06,0,2,4340,2024.0,77.0
2018-02-12 07:15:05,0,2,4342,2024.0,77.0
2018-02-12 07:30:05,0,2,4343,2025.5,77.0
2018-02-12 07:45:06,0,2,4345,2027.0,77.0
2018-02-12 08:00:04,0,2,4347,2027.5,77.0
2018-02-12 08:15:05,0,2,4348,2028.0,77.0
2018-02-12 08:30:05,0,2,4353,2029.0,78.0
2018-02-12 08:45:04,0,2,4355,2030.0,78.0
2018-02-12 09:00:05,0,2,4360,2031.5,78.0
2018-02-12 09:15:05,0,2,4361,2033.0,78.0
2018-02-12 09:30:05,0,2,4364,2034.0,78.0
2018-02-12 09:45:05,0,2,4368,2038.0,78.0
2018-02-12 10:00:05,0,2,4376,2040.5,78.0
2018-02-12 10:15:04,0,2,4379,2041.5,78.0
2018-02-12 10:30:04,0,2,4383,2042.5,78.0
2018-02-12 10:45:05,0,2,4390,2047.0,78.0
2018-02-12 11:00:05,0,2,4397,2053.0,78.0
2018-02-12 11:15:04,0,2,4399,2057.0,78.0
2018-02-12 11:30:04,0,2,4404,2057.0,78.5
2018-02-12 11:45:05,0,2,4410,2058.0,78.5
2018-02-12 12:00:05,0,2,4418,2059.5,78.5
2018-02-12 12:15:06,0,2,4423,2064.5,78.5
2018-02-12 12:30:06,0,2,4434,2067.5,78.5
2018-02-12 12:45:07,0,2,4440,2069.0,78.5
2018-02-12 13:00:06,0,2,4446,2072.5,78.5
2018-02-12 13:15:06,0,2,4453,2074.0,78.5
2018-02-12 13:30:07,0,2,4464,2078.0,78.5
2018-02-12 13:45:05,0,2,4474,2081.0,78.5
2018-02-12 14:00:06,0,2,4474,2082.5,78.5
2018-02-12 14:15:05,0,2,4480,2088.0,78.5
2018-02-12 14:30:05,0,2,4482,2090.5,78.5
2018-02-12 14:45:05,0,2,4490,2094.5,78.5
2018-02-12 15:00:05,0,2,4494,2096.5,78.5
2018-02-12 15:15:05,0,2,4502,2100.0,78.5
