datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:04,32,6,7160,2223.5,95.83333333333333
2018-02-11 17:00:04,32,6,7179,2257.6666666666665,97.66666666666667
2018-02-11 17:15:04,32,6,7192,2291.5,98.5
2018-02-11 17:30:04,32,6,7209,2324.5,99.0
2018-02-11 17:45:03,32,6,7225,2348.0,99.33333333333333
2018-02-11 18:00:03,32,6,7247,2371.0,101.16666666666667
2018-02-11 18:15:03,32,6,7263,2390.8333333333335,101.33333333333333
2018-02-11 18:30:03,32,6,7271,2405.6666666666665,101.83333333333333
2018-02-11 18:45:03,32,6,7289,2419.1666666666665,102.0
2018-02-11 19:00:03,32,6,7319,2437.3333333333335,102.83333333333333
2018-02-11 19:15:03,32,6,7348,2455.1666666666665,103.33333333333333
2018-02-11 19:30:03,32,6,7372,2466.8333333333335,103.66666666666667
2018-02-11 19:45:04,32,6,7403,2479.6666666666665,104.0
2018-02-11 20:00:04,32,6,7419,2492.6666666666665,104.16666666666667
2018-02-11 20:15:04,32,6,7438,2506.6666666666665,104.5
2018-02-11 20:30:04,32,6,7455,2521.3333333333335,105.16666666666667
2018-02-11 20:45:04,32,6,7478,2535.0,105.66666666666667
2018-02-11 21:00:04,32,6,7498,2541.0,105.83333333333333
2018-02-11 21:15:03,32,6,7525,2556.5,106.0
2018-02-11 21:30:03,32,6,7551,2571.8333333333335,106.33333333333333
2018-02-11 21:45:04,32,6,7564,2578.8333333333335,106.33333333333333
2018-02-11 22:00:04,32,6,7585,2586.8333333333335,106.33333333333333
2018-02-11 22:15:05,32,6,7598,2593.3333333333335,106.33333333333333
2018-02-11 22:30:04,32,6,7615,2601.3333333333335,106.5
2018-02-11 22:45:04,32,6,7636,2607.6666666666665,106.5
2018-02-11 23:00:04,32,7,7653,2250.8571428571427,92.42857142857143
2018-02-11 23:15:04,32,7,7663,2299.4285714285716,95.57142857142857
2018-02-11 23:30:04,32,7,7672,2323.1428571428573,98.28571428571429
2018-02-11 23:45:05,31,7,7677,2337.8571428571427,99.57142857142857
2018-02-12 00:00:06,31,7,7687,2349.5714285714284,100.28571428571429
2018-02-12 00:15:04,31,7,7692,2356.1428571428573,100.71428571428571
2018-02-12 00:30:04,31,7,7698,2359.8571428571427,100.85714285714286
2018-02-12 00:45:03,31,7,7704,2364.285714285714,101.0
2018-02-12 01:00:03,31,7,7711,2366.8571428571427,101.14285714285714
2018-02-12 01:15:03,31,7,7713,2369.8571428571427,101.14285714285714
2018-02-12 01:30:04,31,7,7716,2372.0,101.14285714285714
2018-02-12 01:45:03,31,7,7718,2374.0,101.42857142857143
2018-02-12 02:00:04,31,7,7719,2375.5714285714284,101.71428571428571
2018-02-12 02:15:04,31,7,7719,2376.1428571428573,101.71428571428571
2018-02-12 02:30:05,31,7,7720,2377.285714285714,101.71428571428571
2018-02-12 02:45:04,31,7,7721,2377.4285714285716,101.71428571428571
2018-02-12 03:00:04,31,7,7720,2377.714285714286,101.71428571428571
2018-02-12 03:15:05,31,7,7720,2379.0,101.71428571428571
2018-02-12 03:30:04,31,7,7720,2379.5714285714284,101.71428571428571
2018-02-12 03:45:03,31,7,7720,2380.0,101.85714285714286
2018-02-12 04:00:04,31,7,7720,2380.4285714285716,101.85714285714286
2018-02-12 04:15:03,31,7,7720,2380.714285714286,101.85714285714286
2018-02-12 04:30:03,31,7,7720,2381.0,102.0
2018-02-12 04:45:04,31,7,7720,2381.4285714285716,102.0
2018-02-12 05:00:03,31,7,7720,2381.5714285714284,102.0
2018-02-12 05:15:03,31,7,7722,2382.4285714285716,102.0
2018-02-12 05:30:04,31,7,7721,2384.4285714285716,102.0
2018-02-12 05:45:04,31,7,7721,2386.0,102.0
2018-02-12 06:00:04,31,7,7721,2388.8571428571427,102.0
2018-02-12 06:15:04,31,7,7722,2394.0,102.14285714285714
2018-02-12 06:30:04,31,7,7725,2400.285714285714,102.57142857142857
2018-02-12 06:45:05,31,7,7725,2408.0,102.71428571428571
2018-02-12 07:00:04,31,7,7727,2413.714285714286,102.85714285714286
2018-02-12 07:15:04,31,7,7728,2419.285714285714,103.0
2018-02-12 07:30:03,31,7,7727,2425.714285714286,103.28571428571429
2018-02-12 07:45:04,31,7,7731,2433.714285714286,103.42857142857143
2018-02-12 08:00:03,31,7,7732,2441.0,103.57142857142857
2018-02-12 08:15:04,31,7,7733,2448.5714285714284,104.0
2018-02-12 08:30:04,31,7,7737,2458.5714285714284,104.85714285714286
2018-02-12 08:45:03,31,7,7741,2468.0,105.0
2018-02-12 09:00:04,31,7,7748,2475.714285714286,105.42857142857143
2018-02-12 09:15:04,31,7,7754,2483.8571428571427,105.85714285714286
2018-02-12 09:30:04,31,7,7761,2492.5714285714284,106.28571428571429
2018-02-12 09:45:04,31,7,7764,2500.0,106.57142857142857
2018-02-12 10:00:04,31,7,7772,2509.0,107.0
2018-02-12 10:15:03,31,7,7785,2516.1428571428573,107.71428571428571
2018-02-12 10:30:03,31,7,7806,2524.0,108.71428571428571
2018-02-12 10:45:03,31,7,7833,2534.285714285714,109.85714285714286
2018-02-12 11:00:04,31,7,7856,2543.4285714285716,110.14285714285714
2018-02-12 11:15:03,31,7,7862,2552.1428571428573,110.57142857142857
2018-02-12 11:30:03,31,7,7878,2558.285714285714,110.85714285714286
2018-02-12 11:45:04,31,7,7895,2563.5714285714284,111.28571428571429
2018-02-12 12:00:03,31,7,7914,2571.714285714286,111.57142857142857
2018-02-12 12:15:04,31,7,7928,2578.714285714286,111.71428571428571
2018-02-12 12:30:04,31,7,7942,2584.0,111.71428571428571
2018-02-12 12:45:05,31,7,7960,2590.714285714286,112.28571428571429
2018-02-12 13:00:04,31,7,7976,2596.285714285714,112.28571428571429
2018-02-12 13:15:04,31,7,7989,2602.285714285714,112.42857142857143
2018-02-12 13:30:05,30,7,8000,2608.0,112.57142857142857
2018-02-12 13:45:03,30,7,8009,2613.714285714286,112.71428571428571
2018-02-12 14:00:05,30,7,8021,2619.1428571428573,113.0
2018-02-12 14:15:03,30,7,8033,2622.5714285714284,113.0
2018-02-12 14:30:04,30,7,8047,2627.5714285714284,113.28571428571429
2018-02-12 14:45:04,30,7,8057,2633.714285714286,113.42857142857143
2018-02-12 15:00:04,30,7,8066,2638.0,113.57142857142857
2018-02-12 15:15:04,30,7,8078,2641.714285714286,113.71428571428571
2018-02-12 15:30:04,30,7,8081,2646.4285714285716,113.71428571428571
2018-02-12 15:45:04,30,7,8097,2652.4285714285716,113.85714285714286
2018-02-12 16:00:04,30,7,8109,2658.1428571428573,113.85714285714286
2018-02-12 16:15:04,30,7,8117,2660.5714285714284,114.0
2018-02-12 16:30:05,30,7,8127,2664.0,114.0
2018-02-12 16:45:03,30,7,8137,2668.714285714286,114.0
2018-02-12 17:00:03,30,7,8153,2672.714285714286,114.0
2018-02-12 17:15:04,30,7,8159,2678.8571428571427,114.14285714285714
2018-02-12 17:30:04,30,7,8167,2685.0,114.28571428571429
2018-02-12 17:45:03,30,8,8171,2402.75,103.5
2018-02-12 18:00:04,30,8,8179,2448.75,105.125
2018-02-12 18:15:04,30,8,8189,2481.5,106.5
2018-02-12 18:30:04,30,8,8197,2504.75,107.375
2018-02-12 18:45:04,30,8,8216,2528.75,107.75
2018-02-12 19:00:04,30,8,8232,2548.125,108.75
2018-02-12 19:15:05,30,8,8244,2565.75,109.125
2018-02-12 19:30:04,30,8,8259,2579.5,109.5
2018-02-12 19:45:04,30,8,8268,2597.0,110.25
2018-02-12 20:00:03,30,8,8287,2613.75,110.25
2018-02-12 20:15:04,30,8,8303,2630.25,110.625
2018-02-12 20:30:03,30,8,8317,2644.375,110.75
2018-02-12 20:45:03,30,8,8338,2654.875,110.875
2018-02-12 21:00:03,30,8,8347,2664.125,111.0
2018-02-12 21:15:03,30,8,8366,2670.5,111.125
2018-02-12 21:30:03,30,8,8375,2679.75,111.75
2018-02-12 21:45:04,30,8,8381,2688.0,112.125
2018-02-12 22:00:04,30,8,8393,2696.125,112.125
2018-02-12 22:15:05,30,8,8406,2700.625,112.375
2018-02-12 22:30:04,30,8,8424,2709.25,112.625
2018-02-12 22:45:05,30,8,8433,2716.125,112.75
2018-02-12 23:00:05,30,8,8444,2721.625,113.125
2018-02-12 23:15:03,30,8,8459,2727.75,113.5
2018-02-12 23:30:03,30,8,8472,2732.5,113.625
2018-02-12 23:45:03,30,8,8486,2736.875,114.125
2018-02-13 00:00:04,30,8,8491,2741.5,114.125
2018-02-13 00:15:04,30,8,8495,2744.375,114.125
2018-02-13 00:30:04,30,8,8505,2748.25,114.5
2018-02-13 00:45:06,30,8,8509,2750.25,114.625
2018-02-13 01:00:06,30,8,8513,2752.0,114.75
2018-02-13 01:15:06,30,8,8515,2752.375,114.75
2018-02-13 01:30:04,30,8,8516,2753.0,114.75
2018-02-13 01:45:05,30,8,8517,2755.0,114.75
2018-02-13 02:00:04,30,8,8517,2755.5,114.75
