datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:02,0,2,1398,500.0,18.5
2018-02-11 17:00:01,0,2,1401,500.0,18.5
2018-02-11 17:15:02,0,2,1401,501.0,19.0
2018-02-11 17:30:02,0,2,1401,502.0,20.5
2018-02-11 17:45:01,0,2,1402,503.0,20.0
2018-02-11 18:00:01,0,2,1405,506.5,20.0
2018-02-11 18:15:01,0,2,1413,507.0,20.0
2018-02-11 18:30:01,0,2,1411,508.0,20.0
2018-02-11 18:45:01,0,2,1415,509.5,20.0
2018-02-11 19:00:01,0,2,1418,511.0,21.5
2018-02-11 19:15:01,0,2,1426,513.0,21.5
2018-02-11 19:30:01,0,2,1427,514.0,21.5
2018-02-11 19:45:01,0,2,1433,514.5,21.5
2018-02-11 20:00:01,0,2,1436,515.5,21.5
2018-02-11 20:15:01,0,2,1436,518.0,22.5
2018-02-11 20:30:01,0,2,1437,519.0,22.5
2018-02-11 20:45:02,0,2,1444,525.5,22.5
2018-02-11 21:00:02,0,2,1447,525.0,22.5
2018-02-11 21:15:01,0,2,1448,525.5,23.0
2018-02-11 21:30:01,0,2,1450,528.0,23.5
2018-02-11 21:45:01,0,2,1452,528.0,23.5
2018-02-11 22:00:01,0,2,1452,528.0,23.5
2018-02-11 22:15:01,0,2,1454,529.0,24.0
2018-02-11 22:30:01,0,2,1455,529.0,24.0
2018-02-11 22:45:01,0,2,1459,532.0,24.0
2018-02-11 23:00:01,0,2,1461,532.0,24.0
2018-02-11 23:15:01,0,2,1463,533.0,24.0
2018-02-11 23:30:01,0,2,1464,534.0,24.0
2018-02-11 23:45:01,0,2,1466,534.5,24.0
2018-02-12 00:00:02,0,2,1468,534.5,24.5
2018-02-12 00:15:02,0,2,1469,535.0,24.5
2018-02-12 00:30:02,0,2,1470,535.0,24.5
2018-02-12 00:45:01,0,2,1473,535.5,24.5
2018-02-12 01:00:01,0,2,1473,536.0,24.5
2018-02-12 01:15:01,0,2,1473,536.0,24.5
2018-02-12 01:30:01,0,2,1473,536.0,24.5
2018-02-12 01:45:01,0,2,1474,536.0,24.5
2018-02-12 02:00:01,0,2,1475,536.0,24.5
2018-02-12 02:15:01,0,2,1475,536.0,24.5
2018-02-12 02:30:01,0,2,1476,537.0,24.5
2018-02-12 02:45:01,0,2,1476,537.0,24.5
2018-02-12 03:00:01,0,2,1476,537.0,24.5
2018-02-12 03:15:02,0,2,1476,537.0,24.5
2018-02-12 03:30:02,0,2,1477,537.0,24.5
2018-02-12 03:45:01,0,2,1477,537.0,24.5
2018-02-12 04:00:01,0,2,1477,537.0,24.5
2018-02-12 04:15:01,0,2,1477,537.0,24.5
2018-02-12 04:30:01,0,2,1477,537.0,24.5
2018-02-12 04:45:01,0,2,1477,537.0,24.5
2018-02-12 05:00:01,0,2,1477,537.0,24.5
2018-02-12 05:15:01,0,2,1477,537.0,24.5
2018-02-12 05:30:01,0,2,1477,537.0,24.5
2018-02-12 05:45:01,0,2,1477,537.0,24.5
2018-02-12 06:00:01,0,2,1478,537.0,24.5
2018-02-12 06:15:01,0,2,1478,537.0,24.5
2018-02-12 06:30:02,0,2,1479,537.0,24.5
2018-02-12 06:45:02,0,2,1480,538.0,24.5
2018-02-12 07:00:02,0,2,1481,538.0,24.5
2018-02-12 07:15:01,0,2,1482,538.5,24.5
2018-02-12 07:30:01,0,2,1482,538.5,24.5
2018-02-12 07:45:01,0,2,1482,538.5,24.5
2018-02-12 08:00:01,0,2,1482,539.5,24.5
2018-02-12 08:15:01,0,2,1482,540.0,24.5
2018-02-12 08:30:01,0,2,1482,540.0,24.5
2018-02-12 08:45:01,0,2,1483,540.5,24.5
2018-02-12 09:00:01,0,2,1484,540.5,24.5
2018-02-12 09:15:01,0,2,1484,540.5,24.5
2018-02-12 09:30:01,0,2,1485,540.5,24.5
2018-02-12 09:45:02,0,2,1485,540.5,24.5
2018-02-12 10:00:02,0,2,1487,540.5,24.5
2018-02-12 10:15:01,0,2,1489,540.5,24.5
2018-02-12 10:30:01,0,2,1489,540.5,24.5
2018-02-12 10:45:01,0,2,1490,541.0,24.5
2018-02-12 11:00:01,0,2,1490,541.0,24.5
2018-02-12 11:15:01,0,2,1491,542.0,24.5
2018-02-12 11:30:01,0,2,1492,542.0,24.5
2018-02-12 11:45:01,0,2,1495,542.0,25.0
2018-02-12 12:00:01,0,2,1493,542.0,25.0
2018-02-12 12:15:01,0,2,1494,542.0,25.5
2018-02-12 12:30:01,0,2,1495,543.0,25.5
2018-02-12 12:45:02,0,2,1497,543.0,25.5
2018-02-12 13:00:02,0,2,1498,544.0,25.5
2018-02-12 13:15:02,0,2,1497,544.0,25.5
2018-02-12 13:30:02,0,2,1500,546.0,25.5
2018-02-12 13:45:01,0,2,1502,546.0,25.5
2018-02-12 14:00:01,0,2,1504,546.0,25.5
2018-02-12 14:15:01,0,2,1506,548.0,25.5
2018-02-12 14:30:01,0,2,1507,548.5,25.5
2018-02-12 14:45:01,0,2,1507,550.5,25.5
2018-02-12 15:00:01,0,2,1506,550.5,25.5
2018-02-12 15:15:01,0,2,1509,551.5,25.5
2018-02-12 15:30:01,0,2,1510,551.5,25.5
2018-02-12 15:45:01,0,2,1513,555.5,25.5
2018-02-12 16:00:01,0,2,1514,555.5,25.5
2018-02-12 16:15:02,0,2,1513,555.5,26.0
2018-02-12 16:30:02,0,2,1517,557.5,26.0
2018-02-12 16:45:01,0,2,1520,558.0,26.0
2018-02-12 17:00:01,0,2,1520,558.5,26.0
2018-02-12 17:15:01,0,2,1522,559.5,26.0
2018-02-12 17:30:01,0,2,1524,560.0,26.0
2018-02-12 17:45:01,0,2,1525,561.0,26.0
2018-02-12 18:00:01,0,2,1528,563.5,26.0
2018-02-12 18:15:01,0,2,1530,565.5,26.0
2018-02-12 18:30:01,0,2,1531,566.5,26.0
2018-02-12 18:45:01,0,2,1533,567.5,26.0
2018-02-12 19:00:01,0,2,1537,567.5,26.0
2018-02-12 19:15:02,0,2,1543,570.0,26.0
2018-02-12 19:30:02,0,2,1549,573.5,26.0
2018-02-12 19:45:02,0,2,1547,575.5,26.0
2018-02-12 20:00:01,0,2,1550,579.0,26.0
2018-02-12 20:15:01,0,2,1549,579.0,26.0
2018-02-12 20:30:01,0,2,1551,580.5,27.0
2018-02-12 20:45:01,0,2,1553,581.5,27.0
2018-02-12 21:00:01,0,2,1555,582.0,27.0
2018-02-12 21:15:01,0,2,1556,582.0,27.0
2018-02-12 21:30:01,0,2,1559,583.0,27.5
2018-02-12 21:45:01,0,2,1559,585.0,27.5
2018-02-12 22:00:01,0,2,1560,585.5,27.0
2018-02-12 22:15:02,0,2,1561,586.0,27.0
2018-02-12 22:30:02,0,2,1560,587.0,27.0
2018-02-12 22:45:02,0,2,1560,588.0,27.0
2018-02-12 23:00:02,0,2,1564,588.5,27.0
2018-02-12 23:15:01,0,2,1565,589.0,27.0
2018-02-12 23:30:01,0,2,1569,590.5,27.0
2018-02-12 23:45:01,0,2,1570,590.5,27.0
2018-02-13 00:00:01,0,2,1570,591.5,27.0
2018-02-13 00:15:01,0,2,1571,591.5,27.0
2018-02-13 00:30:01,0,2,1571,591.5,27.0
2018-02-13 00:45:01,0,2,1573,591.5,27.0
2018-02-13 01:00:01,0,2,1574,592.5,27.0
2018-02-13 01:15:01,0,2,1574,592.5,27.0
2018-02-13 01:30:01,0,2,1575,592.5,27.0
2018-02-13 01:45:02,0,2,1575,592.5,27.0
2018-02-13 02:00:02,0,2,1575,592.5,27.0
2018-02-13 02:15:01,0,2,1574,592.5,27.0
