datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:11,19,4,3422,1176.75,30.25
2018-02-11 17:00:11,19,4,3438,1187.5,30.25
2018-02-11 17:15:11,19,4,3446,1200.0,30.25
2018-02-11 17:30:11,19,4,3455,1209.25,30.25
2018-02-11 17:45:13,19,4,3465,1215.75,30.5
2018-02-11 18:00:10,19,4,3479,1220.5,30.5
2018-02-11 18:15:11,19,4,3490,1228.25,30.5
2018-02-11 18:30:09,19,4,3506,1240.75,30.75
2018-02-11 18:45:10,19,4,3515,1247.0,30.75
2018-02-11 19:00:10,19,4,3550,1258.75,30.75
2018-02-11 19:15:10,19,4,3570,1269.75,30.75
2018-02-11 19:30:11,19,4,3596,1280.5,30.75
2018-02-11 19:45:11,19,4,3620,1293.75,30.75
2018-02-11 20:00:11,19,4,3637,1303.25,31.0
2018-02-11 20:15:10,19,4,3654,1309.5,31.0
2018-02-11 20:30:10,19,4,3680,1323.75,31.0
2018-02-11 20:45:11,19,4,3691,1333.75,31.25
2018-02-11 21:00:10,19,4,3708,1342.5,31.25
2018-02-11 21:15:09,19,4,3716,1350.5,31.5
2018-02-11 21:30:09,19,4,3732,1361.0,31.75
2018-02-11 21:45:11,19,4,3740,1365.5,31.75
2018-02-11 22:00:12,19,4,3750,1370.75,32.0
2018-02-11 22:15:14,19,4,3763,1376.0,32.0
2018-02-11 22:30:12,19,4,3771,1381.75,32.0
2018-02-11 22:45:12,19,4,3796,1385.75,32.0
2018-02-11 23:00:12,19,4,3813,1390.75,32.0
2018-02-11 23:15:10,19,4,3819,1395.75,32.0
2018-02-11 23:30:10,19,4,3825,1398.25,32.25
2018-02-11 23:45:13,19,4,3830,1401.0,32.5
2018-02-12 00:00:17,19,4,3837,1403.5,32.5
2018-02-12 00:15:13,19,4,3840,1404.5,32.5
2018-02-12 00:30:12,19,4,3841,1407.0,32.5
2018-02-12 00:45:10,19,4,3847,1408.5,32.5
2018-02-12 01:00:12,19,4,3849,1409.0,32.5
2018-02-12 01:15:12,19,4,3850,1410.0,32.5
2018-02-12 01:30:12,19,4,3851,1410.25,32.5
2018-02-12 01:45:12,19,4,3852,1410.5,32.5
2018-02-12 02:00:12,19,4,3854,1410.5,32.5
2018-02-12 02:15:12,19,4,3855,1410.75,32.5
2018-02-12 02:30:14,19,4,3855,1410.75,32.5
2018-02-12 02:45:13,19,4,3856,1410.75,32.5
2018-02-12 03:00:13,19,4,3856,1411.0,32.5
2018-02-12 03:15:14,19,4,3856,1411.25,32.5
2018-02-12 03:30:13,19,4,3856,1411.25,32.5
2018-02-12 03:45:12,19,4,3856,1411.5,32.5
2018-02-12 04:00:12,19,4,3856,1411.75,32.5
2018-02-12 04:15:13,19,4,3856,1412.0,32.5
2018-02-12 04:30:11,19,4,3856,1412.0,32.5
2018-02-12 04:45:12,19,4,3857,1412.0,32.5
2018-02-12 05:00:13,19,4,3857,1412.0,32.5
2018-02-12 05:15:12,19,4,3858,1412.0,32.5
2018-02-12 05:30:12,19,4,3858,1412.5,32.5
2018-02-12 05:45:12,19,4,3859,1413.25,32.5
2018-02-12 06:00:12,19,4,3862,1414.75,32.5
2018-02-12 06:15:12,19,4,3863,1414.75,32.5
2018-02-12 06:30:12,19,4,3865,1416.75,32.5
2018-02-12 06:45:12,19,4,3868,1417.5,32.5
2018-02-12 07:00:12,19,4,3870,1419.25,32.5
2018-02-12 07:15:12,19,4,3873,1420.5,32.5
2018-02-12 07:30:10,19,4,3876,1421.75,32.5
2018-02-12 07:45:11,19,4,3880,1423.0,32.5
2018-02-12 08:00:12,19,4,3886,1426.5,32.5
2018-02-12 08:15:11,19,4,3891,1427.5,32.5
2018-02-12 08:30:11,19,4,3903,1431.25,33.0
2018-02-12 08:45:10,19,4,3908,1431.25,33.0
2018-02-12 09:00:11,19,4,3913,1434.75,33.0
2018-02-12 09:15:10,19,4,3921,1437.25,33.0
2018-02-12 09:30:12,19,4,3924,1439.75,33.0
2018-02-12 09:45:11,19,4,3932,1442.75,33.0
2018-02-12 10:00:12,19,4,3938,1446.25,33.0
2018-02-12 10:15:10,19,4,3943,1450.5,33.0
2018-02-12 10:30:10,19,4,3953,1454.0,33.0
2018-02-12 10:45:11,19,4,3969,1458.75,33.0
2018-02-12 11:00:11,19,4,3978,1463.25,33.0
2018-02-12 11:15:09,19,4,3983,1465.5,33.0
2018-02-12 11:30:10,19,4,3997,1466.75,33.0
2018-02-12 11:45:11,19,4,4002,1468.25,33.0
2018-02-12 12:00:12,19,4,4009,1472.75,33.0
2018-02-12 12:15:12,19,4,4019,1476.0,33.0
2018-02-12 12:30:15,19,4,4024,1478.75,33.0
2018-02-12 12:45:15,19,4,4030,1484.0,33.0
2018-02-12 13:00:18,19,4,4041,1487.75,33.0
2018-02-12 13:15:13,19,4,4046,1491.75,33.0
2018-02-12 13:30:14,19,4,4055,1496.25,33.0
2018-02-12 13:45:12,19,4,4067,1500.25,33.0
2018-02-12 14:00:14,19,4,4073,1502.75,33.0
2018-02-12 14:15:13,19,4,4082,1505.75,33.0
2018-02-12 14:30:13,19,4,4089,1509.75,33.0
2018-02-12 14:45:13,19,4,4106,1517.0,33.0
2018-02-12 15:00:11,19,4,4115,1521.25,33.0
2018-02-12 15:15:12,19,4,4125,1526.75,33.0
2018-02-12 15:30:12,19,4,4130,1531.25,33.0
2018-02-12 15:45:14,19,5,4142,1261.2,27.4
2018-02-12 16:00:12,19,5,4155,1291.4,28.2
2018-02-12 16:15:13,19,5,4160,1313.2,28.4
2018-02-12 16:30:16,19,5,4176,1329.8,28.6
2018-02-12 16:45:12,19,5,4184,1342.8,28.6
2018-02-12 17:00:12,19,5,4192,1358.4,28.8
2018-02-12 17:15:13,19,5,4199,1373.0,29.0
2018-02-12 17:30:12,19,5,4210,1386.4,29.0
2018-02-12 17:45:11,19,5,4215,1400.4,29.2
2018-02-12 18:00:13,19,5,4225,1414.2,29.4
2018-02-12 18:15:14,19,5,4238,1422.2,29.4
2018-02-12 18:30:12,19,5,4248,1431.6,29.8
2018-02-12 18:45:13,19,5,4263,1441.6,29.8
2018-02-12 19:00:12,19,5,4276,1452.2,29.8
2018-02-12 19:15:14,19,5,4287,1462.2,30.0
2018-02-12 19:30:12,19,5,4293,1470.6,30.4
2018-02-12 19:45:14,19,5,4299,1478.0,30.4
2018-02-12 20:00:12,19,5,4310,1486.6,30.4
2018-02-12 20:15:11,19,5,4320,1492.8,30.6
2018-02-12 20:30:11,19,5,4325,1500.2,30.6
2018-02-12 20:45:09,19,5,4341,1507.0,30.6
2018-02-12 21:00:10,19,5,4349,1510.4,30.6
2018-02-12 21:15:10,19,5,4352,1516.2,30.6
2018-02-12 21:30:11,19,5,4362,1526.6,30.8
2018-02-12 21:45:12,19,5,4367,1534.0,31.2
2018-02-12 22:00:14,19,5,4371,1535.0,31.4
2018-02-12 22:15:13,19,5,4381,1542.4,31.4
2018-02-12 22:30:12,19,5,4386,1545.2,31.4
2018-02-12 22:45:13,19,5,4391,1548.6,31.8
2018-02-12 23:00:14,19,5,4397,1552.4,31.8
2018-02-12 23:15:12,19,5,4404,1556.2,32.4
2018-02-12 23:30:11,19,5,4408,1559.4,32.4
2018-02-12 23:45:11,19,5,4414,1560.8,32.4
2018-02-13 00:00:17,19,5,4415,1562.0,32.4
2018-02-13 00:15:12,19,5,4417,1565.2,32.4
2018-02-13 00:30:13,19,5,4417,1566.0,32.4
2018-02-13 00:45:20,19,5,4418,1566.6,32.6
2018-02-13 01:00:22,19,5,4420,1567.2,32.6
2018-02-13 01:15:21,19,5,4420,1568.0,32.6
2018-02-13 01:30:15,19,5,4421,1568.2,32.6
2018-02-13 01:45:15,19,5,4422,1569.2,32.6
2018-02-13 02:00:13,19,5,4422,1569.4,32.6
2018-02-13 02:15:12,19,5,4421,1569.8,32.6
