datetime,followed_by,following,media
2018-04-13 17:18:16,37994,66,69
2018-04-13 17:20:04,38000,66,69
2018-04-13 17:30:03,38026,66,69
2018-04-13 17:40:03,38060,66,69
2018-04-13 17:50:03,38083,66,69
2018-04-13 18:00:03,38110,66,69
2018-04-13 18:10:03,38134,66,69
2018-04-13 18:18:57,38150,66,69
2018-04-13 18:20:03,38158,66,69
2018-04-13 18:30:05,38191,66,69
2018-04-13 18:40:04,38227,66,69
2018-04-13 18:50:04,38252,66,69
2018-04-13 19:00:03,38280,66,69
2018-04-13 19:20:03,38319,66,69
2018-04-13 19:30:03,38340,66,69
2018-04-13 19:40:04,38369,66,69
2018-04-13 19:50:04,38390,66,69
2018-04-13 20:00:04,38406,66,69
2018-04-13 20:10:03,38430,66,69
2018-04-13 20:20:03,38460,66,69
2018-04-13 20:30:03,38483,66,69
2018-04-13 20:40:03,38511,66,69
2018-04-13 20:50:03,38548,66,69
2018-04-13 21:00:03,38580,66,69
2018-04-13 21:10:03,38613,66,69
2018-04-13 21:20:03,38639,66,69
2018-04-13 21:30:03,38653,66,69
2018-04-13 21:40:03,38667,66,69
2018-04-13 21:50:03,38690,66,69
2018-04-13 22:00:03,38718,66,69
2018-04-13 22:10:03,38746,66,69
2018-04-13 22:20:03,38774,66,69
2018-04-13 22:30:03,38804,66,69
2018-04-13 22:40:04,38859,66,69
2018-04-13 22:50:04,38886,66,69
2018-04-13 23:00:04,38902,66,69
2018-04-13 23:10:03,38924,66,69
2018-04-13 23:20:03,38940,66,69
2018-04-13 23:30:03,38953,66,69
2018-04-13 23:40:03,38981,66,69
2018-04-13 23:50:03,38994,66,69
2018-04-14 00:00:03,39014,66,69
2018-04-14 00:10:03,39026,66,69
2018-04-14 00:20:03,39035,66,69
2018-04-14 00:30:03,39052,66,69
2018-04-14 00:40:03,39059,66,69
2018-04-14 00:50:04,39067,66,69
2018-04-14 01:00:03,39076,66,69
2018-04-14 01:10:03,39081,66,69
2018-04-14 01:20:04,39084,66,69
2018-04-14 01:30:04,39086,66,69
2018-04-14 01:40:03,39090,66,69
2018-04-14 01:50:04,39092,66,69
2018-04-14 02:00:04,39093,66,69
2018-04-14 02:10:03,39093,66,69
2018-04-14 02:20:03,39094,66,69
2018-04-14 02:30:03,39098,66,69
2018-04-14 02:40:03,39097,66,69
2018-04-14 02:50:03,39100,66,69
2018-04-14 03:00:03,39099,66,69
2018-04-14 03:10:04,39099,66,69
2018-04-14 03:20:03,39102,66,69
2018-04-14 03:30:03,39102,66,69
2018-04-14 03:40:04,39102,66,69
2018-04-14 03:50:04,39102,66,69
2018-04-14 04:00:03,39104,66,69
2018-04-14 04:10:04,39104,66,69
2018-04-14 04:20:04,39104,66,69
2018-04-14 04:30:03,39104,66,69
2018-04-14 04:40:04,39105,66,69
2018-04-14 04:50:04,39105,66,69
2018-04-14 05:00:04,39104,66,69
2018-04-14 05:10:04,39104,66,69
2018-04-14 05:20:04,39104,66,69
2018-04-14 05:30:03,39105,66,69
2018-04-14 05:40:03,39105,66,69
2018-04-14 05:50:03,39107,66,69
2018-04-14 06:00:03,39108,66,69
2018-04-14 06:10:03,39108,66,69
2018-04-14 06:20:03,39109,66,69
2018-04-14 06:30:04,39109,66,69
2018-04-14 06:40:03,39108,66,69
2018-04-14 06:50:04,39110,66,69
2018-04-14 07:00:03,39112,66,69
2018-04-14 07:10:04,39111,66,69
2018-04-14 07:20:03,39114,66,69
2018-04-14 07:30:03,39118,66,69
