datetime,followed_by,following,media
2018-04-13 17:18:15,22420,43,73
2018-04-13 17:20:02,22425,43,73
2018-04-13 17:30:02,22437,43,73
2018-04-13 17:40:02,22449,43,73
2018-04-13 17:50:02,22469,43,73
2018-04-13 18:00:02,22489,43,73
2018-04-13 18:10:02,22495,43,73
2018-04-13 18:18:55,22510,43,73
2018-04-13 18:20:02,22516,43,73
2018-04-13 18:30:02,22534,43,73
2018-04-13 18:40:02,22566,43,73
2018-04-13 18:50:02,22588,43,73
2018-04-13 19:00:02,22606,43,73
2018-04-13 19:10:02,22619,43,74
2018-04-13 19:20:02,22630,43,74
2018-04-13 19:30:02,22645,43,74
2018-04-13 19:40:02,22664,43,74
2018-04-13 19:50:02,22673,43,74
2018-04-13 20:00:02,22682,43,74
2018-04-13 20:10:02,22697,43,74
2018-04-13 20:20:02,22719,43,74
2018-04-13 20:30:02,22723,43,74
2018-04-13 20:40:02,22745,43,74
2018-04-13 20:50:02,22770,43,74
2018-04-13 21:00:02,22782,43,74
2018-04-13 21:10:02,22804,43,74
2018-04-13 21:20:02,22818,43,74
2018-04-13 21:30:02,22837,43,74
2018-04-13 21:40:02,22852,43,74
2018-04-13 21:50:02,22870,43,74
2018-04-13 22:00:02,22884,43,74
2018-04-13 22:10:02,22895,43,74
2018-04-13 22:20:02,22912,43,74
2018-04-13 22:30:02,22934,43,74
2018-04-13 22:40:02,22971,43,74
2018-04-13 22:50:02,22996,43,74
2018-04-13 23:00:02,23010,43,74
2018-04-13 23:10:01,23026,43,74
2018-04-13 23:20:01,23037,43,74
2018-04-13 23:30:01,23047,43,74
2018-04-13 23:40:02,23058,43,74
2018-04-13 23:50:02,23065,43,74
2018-04-14 00:00:02,23071,43,74
2018-04-14 00:10:02,23080,43,74
2018-04-14 00:20:02,23082,43,74
2018-04-14 00:30:02,23088,43,74
2018-04-14 00:40:02,23089,43,74
2018-04-14 00:50:02,23092,43,74
2018-04-14 01:00:02,23094,43,74
2018-04-14 01:10:02,23098,43,74
2018-04-14 01:20:02,23100,43,74
2018-04-14 01:30:02,23100,43,74
2018-04-14 01:40:02,23101,43,74
2018-04-14 01:50:02,23101,43,74
2018-04-14 02:00:02,23103,43,74
2018-04-14 02:10:02,23101,43,74
2018-04-14 02:20:02,23101,43,74
2018-04-14 02:30:01,23103,43,74
2018-04-14 02:40:02,23103,43,74
2018-04-14 02:50:02,23103,43,74
2018-04-14 03:00:02,23103,43,74
2018-04-14 03:10:02,23103,43,74
2018-04-14 03:20:02,23103,43,74
2018-04-14 03:30:02,23105,43,74
