datetime,followed_by,following,media
2018-04-13 17:18:19,41445,103,72
2018-04-13 17:20:08,41449,103,72
2018-04-13 17:30:06,41477,103,72
2018-04-13 17:40:06,41505,103,72
2018-04-13 17:50:06,41530,103,72
2018-04-13 18:00:06,41570,103,72
2018-04-13 18:10:06,41605,103,72
2018-04-13 18:19:00,41636,103,72
2018-04-13 18:20:06,41641,103,72
2018-04-13 18:30:11,41671,103,72
2018-04-13 18:40:07,41708,103,72
2018-04-13 18:50:06,41727,103,72
2018-04-13 19:00:06,41756,103,72
2018-04-13 19:20:06,41801,103,72
2018-04-13 19:30:06,41819,103,72
2018-04-13 19:40:07,41840,103,72
2018-04-13 19:50:06,41867,103,72
2018-04-13 20:00:07,41895,103,72
2018-04-13 20:10:06,41918,103,72
2018-04-13 20:20:06,41948,103,72
2018-04-13 20:30:06,41977,103,72
2018-04-13 20:40:06,42008,103,72
2018-04-13 20:50:06,42035,103,72
2018-04-13 21:10:06,42126,103,72
2018-04-13 21:20:06,42147,103,72
2018-04-13 21:30:06,42170,103,72
2018-04-13 21:40:06,42193,103,72
2018-04-13 21:50:06,42227,103,72
2018-04-13 22:00:06,42259,103,72
2018-04-13 22:10:06,42288,103,72
2018-04-13 22:20:06,42317,103,72
2018-04-13 22:30:06,42334,103,72
2018-04-13 22:40:06,42409,103,72
2018-04-13 22:50:07,42443,103,72
2018-04-13 23:00:06,42473,103,72
2018-04-13 23:10:06,42501,103,72
2018-04-13 23:20:05,42520,103,72
2018-04-13 23:30:06,42547,103,72
2018-04-13 23:40:05,42572,103,72
2018-04-13 23:50:05,42580,103,72
2018-04-14 00:00:05,42589,103,72
2018-04-14 00:10:06,42601,103,72
2018-04-14 00:20:06,42611,103,72
2018-04-14 00:30:06,42620,103,72
2018-04-14 00:40:06,42624,103,72
2018-04-14 00:50:07,42624,103,72
2018-04-14 01:00:06,42630,103,72
2018-04-14 01:10:06,42635,103,72
2018-04-14 01:20:07,42638,103,72
2018-04-14 01:30:06,42642,103,72
2018-04-14 01:40:06,42647,103,72
2018-04-14 01:50:07,42650,103,72
2018-04-14 02:00:07,42653,103,72
2018-04-14 02:10:06,42657,103,72
2018-04-14 02:20:06,42656,103,72
2018-04-14 02:30:06,42662,103,72
2018-04-14 02:40:06,42663,103,72
2018-04-14 02:50:06,42663,103,72
2018-04-14 03:00:06,42662,103,72
2018-04-14 03:10:08,42662,103,72
2018-04-14 03:20:06,42662,103,72
2018-04-14 03:30:06,42662,103,72
2018-04-14 03:40:07,42662,103,72
2018-04-14 03:50:07,42662,103,72
2018-04-14 04:00:06,42662,103,72
2018-04-14 04:10:07,42664,103,72
2018-04-14 04:20:07,42665,103,72
2018-04-14 04:30:06,42666,103,72
2018-04-14 04:40:07,42666,103,72
2018-04-14 04:50:07,42666,103,72
2018-04-14 05:00:08,42666,103,72
2018-04-14 05:10:07,42666,103,72
2018-04-14 05:20:07,42665,103,72
2018-04-14 05:30:06,42665,103,72
2018-04-14 05:40:06,42665,103,72
2018-04-14 05:50:06,42667,103,72
2018-04-14 06:00:06,42667,103,72
2018-04-14 06:10:07,42667,103,72
2018-04-14 06:20:06,42667,103,72
2018-04-14 06:30:07,42667,103,72
2018-04-14 06:40:06,42667,103,72
2018-04-14 06:50:06,42673,103,72
2018-04-14 07:00:06,42675,103,72
2018-04-14 07:10:06,42675,103,72
2018-04-14 07:20:06,42675,103,72
2018-04-14 07:30:06,42680,103,72
2018-04-14 07:40:07,42686,103,72
2018-04-14 07:50:06,42694,103,72
2018-04-14 08:00:06,42702,103,72
2018-04-14 08:10:06,42709,103,72
2018-04-14 08:20:05,42716,103,72
2018-04-14 08:30:05,42728,103,72
2018-04-14 08:40:06,42736,103,72
2018-04-14 08:50:05,42745,103,72
2018-04-14 09:00:06,42758,103,72
2018-04-14 09:10:05,42772,103,72
2018-04-14 09:20:06,42781,103,72
2018-04-14 09:30:06,42800,103,72
2018-04-14 09:40:06,42814,103,72
2018-04-14 09:50:06,42829,103,72
2018-04-14 10:00:06,42842,103,72
2018-04-14 10:10:06,42849,103,72
2018-04-14 10:20:06,42863,103,72
2018-04-14 10:30:06,42871,103,72
2018-04-14 10:40:06,42881,103,72
2018-04-14 10:50:06,42902,103,72
2018-04-14 11:00:06,42912,103,72
2018-04-14 11:10:05,42934,103,72
2018-04-14 11:20:05,42947,103,72
2018-04-14 11:30:05,42970,103,72
2018-04-14 11:40:05,42989,103,72
2018-04-14 11:50:06,43002,103,72
2018-04-14 12:00:05,43025,103,72
2018-04-14 12:10:06,43043,103,73
2018-04-14 12:20:05,43060,103,73
2018-04-14 12:30:06,43075,103,73
2018-04-14 12:40:06,43089,103,73
2018-04-14 12:50:06,43107,103,73
2018-04-14 13:10:06,43138,103,73
2018-04-14 13:20:07,43151,103,73
2018-04-14 13:30:07,43170,103,73
2018-04-14 13:40:07,43189,103,73
2018-04-14 13:50:07,43205,103,73
2018-04-14 14:00:12,43221,103,73
2018-04-14 14:10:07,43241,103,73
2018-04-14 14:20:06,43253,103,73
2018-04-14 14:40:06,43283,103,73
2018-04-14 14:50:07,43295,103,73
2018-04-14 15:00:06,43308,103,73
2018-04-14 15:10:05,43320,103,73
2018-04-14 15:20:06,43328,103,73
2018-04-14 15:30:05,43331,103,73
2018-04-14 15:40:05,43340,103,73
2018-04-14 15:50:06,43355,103,73
2018-04-14 16:00:06,43371,103,73
2018-04-14 16:10:06,43384,103,73
2018-04-14 16:20:05,43400,103,73
2018-04-14 16:30:07,43409,103,73
2018-04-14 16:40:06,43426,103,73
2018-04-14 16:50:06,43432,103,73
2018-04-14 17:00:07,43445,103,73
2018-04-14 17:10:06,43454,103,73
2018-04-14 17:20:06,43456,103,73
2018-04-14 17:30:06,43465,103,73
