datetime,followed_by,following,media
2018-04-13 17:18:17,190409,84,138
2018-04-13 17:20:06,190435,84,138
2018-04-13 17:30:05,190568,84,138
2018-04-13 17:40:05,190696,84,138
2018-04-13 17:50:05,190843,84,138
2018-04-13 18:00:05,190956,84,138
2018-04-13 18:10:05,191074,84,138
2018-04-13 18:18:58,191175,84,138
2018-04-13 18:20:05,191186,84,138
2018-04-13 18:30:07,191312,84,138
2018-04-13 18:40:05,191447,84,138
2018-04-13 18:50:05,191587,84,138
2018-04-13 19:00:04,191705,84,138
2018-04-13 19:20:05,191913,84,138
2018-04-13 19:30:05,192045,84,138
2018-04-13 19:40:05,192166,84,138
2018-04-13 19:50:05,192296,84,138
2018-04-13 20:00:05,192430,84,138
2018-04-13 20:10:05,192631,84,138
2018-04-13 20:20:05,192838,84,138
2018-04-13 20:30:04,193055,84,138
2018-04-13 20:40:05,193239,84,138
2018-04-13 20:50:04,193453,84,138
2018-04-13 21:00:05,193721,84,138
2018-04-13 21:10:04,193931,84,138
2018-04-13 21:20:04,194123,84,138
2018-04-13 21:30:04,194336,84,139
2018-04-13 21:40:04,194581,84,139
2018-04-13 21:50:05,194786,84,139
2018-04-13 22:00:05,194989,84,139
2018-04-13 22:10:05,195211,84,139
2018-04-13 22:20:05,195439,84,139
2018-04-13 22:30:05,195646,84,139
2018-04-13 22:40:05,197015,84,139
2018-04-13 22:50:05,197252,84,139
2018-04-13 23:00:05,197454,84,139
2018-04-13 23:10:05,197639,84,139
2018-04-13 23:20:04,197776,84,139
2018-04-13 23:30:04,197928,84,139
2018-04-13 23:40:04,198028,84,139
2018-04-13 23:50:04,198132,84,139
2018-04-14 00:00:04,198226,84,139
2018-04-14 00:10:04,198302,84,139
2018-04-14 00:20:04,198372,84,139
2018-04-14 00:30:04,198430,84,139
2018-04-14 00:40:04,198488,84,139
2018-04-14 00:50:05,198520,84,139
2018-04-14 01:00:04,198561,84,139
2018-04-14 01:10:05,198592,84,139
2018-04-14 01:20:06,198625,84,139
2018-04-14 01:30:05,198645,84,139
2018-04-14 01:40:05,198673,84,139
2018-04-14 01:50:05,198690,84,139
2018-04-14 02:00:05,198704,84,139
2018-04-14 02:10:05,198718,84,139
2018-04-14 02:20:04,198733,84,139
2018-04-14 02:30:04,198749,84,139
2018-04-14 02:40:04,198758,84,139
2018-04-14 02:50:04,198765,84,139
2018-04-14 03:00:04,198768,84,139
2018-04-14 03:10:06,198775,84,139
2018-04-14 03:20:05,198773,84,139
2018-04-14 03:30:05,198779,84,139
2018-04-14 03:40:06,198783,84,139
2018-04-14 03:50:05,198784,84,139
2018-04-14 04:00:05,198785,84,139
2018-04-14 04:10:05,198788,84,139
2018-04-14 04:20:05,198790,84,139
2018-04-14 04:30:05,198794,84,139
2018-04-14 04:40:05,198796,84,139
2018-04-14 04:50:05,198797,84,139
2018-04-14 05:00:06,198800,84,139
2018-04-14 05:10:05,198800,84,139
2018-04-14 05:20:06,198803,84,139
2018-04-14 05:30:05,198805,84,139
2018-04-14 05:40:04,198808,84,139
2018-04-14 05:50:05,198816,84,139
2018-04-14 06:00:04,198821,84,139
2018-04-14 06:10:05,198827,84,139
2018-04-14 06:20:05,198833,84,139
2018-04-14 06:30:05,198841,84,139
2018-04-14 06:40:05,198852,84,139
2018-04-14 06:50:05,198863,84,139
2018-04-14 07:00:05,198880,84,139
2018-04-14 07:10:05,198901,84,139
2018-04-14 07:20:05,198930,84,139
2018-04-14 07:30:05,198952,84,139
2018-04-14 07:40:05,198987,84,139
2018-04-14 07:50:05,199033,84,139
2018-04-14 08:00:05,199088,84,139
2018-04-14 08:10:04,199141,84,139
2018-04-14 08:20:04,199209,84,139
2018-04-14 08:30:04,199272,84,139
2018-04-14 08:40:04,199346,84,139
2018-04-14 08:50:04,199417,84,139
2018-04-14 09:00:04,199491,84,139
2018-04-14 09:10:04,199580,84,139
2018-04-14 09:20:05,199672,84,139
2018-04-14 09:30:04,199761,84,139
2018-04-14 09:40:04,199851,84,139
2018-04-14 09:50:05,199945,84,139
2018-04-14 10:00:05,200044,84,139
2018-04-14 10:10:04,200136,84,139
2018-04-14 10:20:04,200214,84,139
2018-04-14 10:30:05,200285,84,139
2018-04-14 10:40:05,200371,84,139
2018-04-14 10:50:05,200443,84,139
2018-04-14 11:00:05,200525,84,139
2018-04-14 11:10:04,200610,84,139
2018-04-14 11:20:04,200696,84,139
2018-04-14 11:30:04,200791,84,139
2018-04-14 11:40:04,200875,84,139
2018-04-14 11:50:04,200941,84,139
2018-04-14 12:00:04,201019,84,139
2018-04-14 12:10:05,201118,84,139
2018-04-14 12:20:04,201214,84,139
2018-04-14 12:30:04,201311,84,139
2018-04-14 12:40:05,201381,84,139
2018-04-14 12:50:05,201460,84,139
2018-04-14 13:10:05,201612,84,139
2018-04-14 13:20:05,201700,84,139
2018-04-14 13:30:05,201767,84,139
2018-04-14 13:40:05,201836,84,139
2018-04-14 13:50:05,201902,84,139
2018-04-14 14:00:10,201991,86,139
2018-04-14 14:10:06,202102,86,139
2018-04-14 14:20:05,202182,86,139
2018-04-14 14:40:05,202360,86,139
2018-04-14 14:50:05,202441,86,139
2018-04-14 15:00:04,202521,86,139
2018-04-14 15:10:04,202587,86,139
2018-04-14 15:20:04,202647,86,139
2018-04-14 15:30:04,202720,86,139
2018-04-14 15:40:04,202803,86,139
2018-04-14 15:50:04,202871,86,139
2018-04-14 16:00:04,202943,86,139
2018-04-14 16:10:04,203005,86,139
2018-04-14 16:20:04,203073,86,139
2018-04-14 16:30:05,203139,86,139
2018-04-14 16:40:05,203196,86,139
2018-04-14 16:50:05,203263,86,139
2018-04-14 17:00:05,203318,86,139
2018-04-14 17:10:05,203376,87,139
2018-04-14 17:20:05,203436,87,139
2018-04-14 17:30:05,203500,87,139
