datetime,followed_by,following,media
2018-04-13 17:18:20,64171,42,54
2018-04-13 17:20:09,64170,42,54
2018-04-13 17:30:07,64184,42,54
2018-04-13 17:40:07,64197,42,54
2018-04-13 17:50:07,64208,42,54
2018-04-13 18:00:07,64222,42,54
2018-04-13 18:10:07,64239,42,54
2018-04-13 18:19:00,64250,42,54
2018-04-13 18:20:07,64252,42,54
2018-04-13 18:30:13,64267,42,54
2018-04-13 18:40:07,64280,42,54
2018-04-13 18:50:07,64292,42,54
2018-04-13 19:00:07,64309,42,54
2018-04-13 19:20:07,64327,42,54
2018-04-13 19:30:07,64339,42,54
2018-04-13 19:40:08,64352,42,54
2018-04-13 19:50:07,64370,42,54
2018-04-13 20:00:08,64387,42,54
2018-04-13 20:10:07,64400,42,54
2018-04-13 20:20:07,64420,42,54
2018-04-13 20:30:07,64418,42,55
2018-04-13 20:40:07,64432,42,55
2018-04-13 20:50:06,64456,42,55
2018-04-13 21:10:06,64472,42,55
2018-04-13 21:20:07,64481,42,55
2018-04-13 21:30:06,64495,42,55
2018-04-13 21:40:06,64514,42,55
2018-04-13 21:50:07,64524,42,55
2018-04-13 22:00:06,64530,42,55
2018-04-13 22:10:07,64546,42,55
2018-04-13 22:20:07,64565,42,55
2018-04-13 22:30:07,64580,42,55
2018-04-13 22:40:07,64646,42,55
2018-04-13 22:50:07,64664,42,55
2018-04-13 23:00:07,64678,42,55
2018-04-13 23:10:07,64692,42,55
2018-04-13 23:20:06,64708,42,55
2018-04-13 23:30:06,64720,42,55
2018-04-13 23:40:06,64727,42,55
2018-04-13 23:50:06,64736,42,55
2018-04-14 00:00:06,64742,42,55
2018-04-14 00:10:07,64750,42,55
2018-04-14 00:20:06,64755,42,55
2018-04-14 00:30:06,64762,42,55
2018-04-14 00:40:06,64762,42,55
2018-04-14 00:50:07,64765,42,55
2018-04-14 01:00:06,64767,42,55
2018-04-14 01:10:06,64770,42,55
2018-04-14 01:20:08,64772,42,55
2018-04-14 01:30:07,64777,42,55
2018-04-14 01:40:07,64776,42,55
2018-04-14 01:50:08,64778,42,55
2018-04-14 02:00:07,64780,42,55
2018-04-14 02:10:07,64778,42,55
2018-04-14 02:20:07,64779,42,55
2018-04-14 02:30:06,64782,42,55
2018-04-14 02:40:07,64783,42,55
2018-04-14 02:50:07,64784,42,55
2018-04-14 03:00:07,64783,42,55
2018-04-14 03:10:09,64783,42,55
2018-04-14 03:20:07,64784,42,55
2018-04-14 03:30:07,64785,42,55
2018-04-14 03:40:08,64785,42,55
2018-04-14 03:50:07,64786,42,55
2018-04-14 04:00:07,64787,42,55
2018-04-14 04:10:08,64787,42,55
2018-04-14 04:20:08,64788,42,55
2018-04-14 04:30:07,64787,42,55
2018-04-14 04:40:07,64787,42,55
2018-04-14 04:50:08,64787,42,55
2018-04-14 05:00:08,64787,42,55
2018-04-14 05:10:08,64788,42,55
2018-04-14 05:20:08,64788,42,55
2018-04-14 05:30:07,64787,42,55
2018-04-14 05:40:06,64787,42,55
2018-04-14 05:50:07,64788,42,55
2018-04-14 06:00:07,64790,42,55
2018-04-14 06:10:07,64791,42,55
2018-04-14 06:20:07,64792,42,55
