datetime,followed_by,following,media
2018-04-13 17:18:21,58603,39,121
2018-04-13 17:20:10,58612,39,121
2018-04-13 17:30:08,58628,39,121
2018-04-13 17:40:08,58658,39,121
2018-04-13 17:50:08,58684,39,121
2018-04-13 18:00:07,58717,39,121
2018-04-13 18:10:08,58753,39,122
2018-04-13 18:19:01,58780,39,122
2018-04-13 18:20:08,58785,39,122
2018-04-13 18:30:14,58812,40,122
2018-04-13 18:40:08,58842,40,122
2018-04-13 18:50:08,58872,40,122
2018-04-13 19:00:07,58898,40,122
2018-04-13 19:20:08,58944,40,122
2018-04-13 19:30:07,58971,40,122
2018-04-13 19:40:09,59006,40,122
2018-04-13 19:50:08,59035,40,122
2018-04-13 20:00:08,59061,40,122
2018-04-13 20:10:08,59097,40,122
2018-04-13 20:20:08,59138,40,122
2018-04-13 20:30:07,59162,40,122
2018-04-13 20:40:07,59200,40,122
2018-04-13 20:50:07,59245,40,122
2018-04-13 21:10:07,59309,40,122
2018-04-13 21:20:07,59333,40,122
2018-04-13 21:30:07,59359,40,122
2018-04-13 21:40:07,59397,40,122
2018-04-13 21:50:07,59443,40,122
2018-04-13 22:00:07,59480,40,122
2018-04-13 22:10:08,59519,40,122
2018-04-13 22:20:07,59545,40,122
2018-04-13 22:30:08,59575,40,122
2018-04-13 22:40:07,59641,40,122
2018-04-13 22:50:08,59676,40,122
2018-04-13 23:00:07,59705,40,122
2018-04-13 23:10:07,59733,40,122
2018-04-13 23:20:07,59751,40,122
2018-04-13 23:30:07,59773,40,122
2018-04-13 23:40:07,59794,40,122
2018-04-13 23:50:07,59808,40,122
2018-04-14 00:00:07,59826,40,122
2018-04-14 00:10:07,59838,40,122
2018-04-14 00:20:07,59844,40,122
2018-04-14 00:30:07,59850,40,122
2018-04-14 00:40:07,59852,40,122
2018-04-14 00:50:08,59857,40,122
2018-04-14 01:00:07,59864,40,122
2018-04-14 01:10:07,59869,40,122
2018-04-14 01:20:08,59873,40,122
2018-04-14 01:30:08,59875,40,122
2018-04-14 01:40:07,59878,40,122
2018-04-14 01:50:08,59879,40,122
2018-04-14 02:00:08,59879,40,122
2018-04-14 02:10:08,59882,40,122
2018-04-14 02:20:07,59881,40,122
2018-04-14 02:30:07,59886,40,122
2018-04-14 02:40:08,59886,40,122
2018-04-14 02:50:07,59887,40,122
2018-04-14 03:00:08,59885,40,122
2018-04-14 03:10:09,59886,40,122
