datetime,followed_by,following,media
2018-04-13 17:18:18,61883,50,82
2018-04-13 17:20:07,61889,50,82
2018-04-13 17:30:06,61919,50,82
2018-04-13 17:40:05,61968,50,82
2018-04-13 17:50:06,62008,50,82
2018-04-13 18:00:05,62051,50,82
2018-04-13 18:10:05,62093,50,82
2018-04-13 18:18:59,62123,50,82
2018-04-13 18:20:06,62131,50,82
2018-04-13 18:30:10,62177,50,82
2018-04-13 18:40:06,62218,50,82
2018-04-13 18:50:06,62257,50,82
2018-04-13 19:00:05,62305,50,82
2018-04-13 19:20:06,62379,50,82
2018-04-13 19:30:05,62428,50,82
2018-04-13 19:40:06,62464,50,82
2018-04-13 19:50:06,62510,50,82
2018-04-13 20:00:06,62551,50,82
2018-04-13 20:10:06,62582,50,82
2018-04-13 20:20:05,62621,50,82
2018-04-13 20:30:05,62659,50,82
2018-04-13 20:40:05,62705,50,82
2018-04-13 20:50:05,62753,50,82
2018-04-13 21:10:05,62864,50,82
2018-04-13 21:20:05,62905,50,82
2018-04-13 21:30:05,62960,50,82
2018-04-13 21:40:05,63002,50,82
2018-04-13 21:50:05,63058,50,82
2018-04-13 22:00:05,63114,50,82
2018-04-13 22:10:05,63169,50,82
2018-04-13 22:20:05,63208,50,82
2018-04-13 22:30:06,63256,50,82
2018-04-13 22:40:06,63366,50,82
2018-04-13 22:50:06,63407,50,82
2018-04-13 23:00:05,63443,50,82
2018-04-13 23:10:06,63487,50,82
2018-04-13 23:20:05,63519,50,82
2018-04-13 23:30:05,63553,50,82
2018-04-13 23:40:05,63583,50,82
2018-04-13 23:50:05,63598,50,82
2018-04-14 00:00:05,63612,50,82
2018-04-14 00:10:05,63629,50,82
2018-04-14 00:20:05,63642,50,82
2018-04-14 00:30:05,63657,50,82
2018-04-14 00:40:05,63667,50,82
2018-04-14 00:50:06,63674,50,82
2018-04-14 01:00:05,63679,50,82
2018-04-14 01:10:05,63691,50,82
2018-04-14 01:20:06,63699,50,82
2018-04-14 01:30:06,63703,50,82
2018-04-14 01:40:05,63710,50,82
2018-04-14 01:50:06,63713,50,82
2018-04-14 02:00:06,63717,50,82
2018-04-14 02:10:05,63719,50,82
2018-04-14 02:20:05,63725,50,82
2018-04-14 02:30:05,63730,50,82
2018-04-14 02:40:05,63733,50,82
2018-04-14 02:50:05,63737,50,82
2018-04-14 03:00:05,63737,50,82
2018-04-14 03:10:07,63737,50,82
2018-04-14 03:20:06,63738,50,82
2018-04-14 03:30:06,63738,50,82
2018-04-14 03:40:07,63737,50,82
