datetime,followed_by,following,media
2018-04-13 17:18:15,157939,49,161
2018-04-13 17:20:03,157948,49,161
2018-04-13 17:30:03,158000,49,161
2018-04-13 17:40:02,158042,49,161
2018-04-13 17:50:03,158084,49,161
2018-04-13 18:00:02,158151,49,161
2018-04-13 18:10:03,158357,49,161
2018-04-13 18:18:56,158558,49,161
2018-04-13 18:20:03,158588,49,161
2018-04-13 18:30:04,158791,49,161
2018-04-13 18:40:03,158977,49,161
2018-04-13 18:50:03,159074,49,161
2018-04-13 19:00:03,159130,49,161
2018-04-13 19:10:03,159167,49,161
2018-04-13 19:20:03,159225,49,161
2018-04-13 19:30:03,159278,49,161
2018-04-13 19:40:03,159339,49,161
2018-04-13 19:50:03,159401,49,161
2018-04-13 20:00:03,159446,49,161
2018-04-13 20:10:03,159496,49,161
2018-04-13 20:20:02,159555,49,161
2018-04-13 20:30:02,159613,49,161
2018-04-13 20:40:02,159678,49,161
2018-04-13 20:50:02,159752,49,161
2018-04-13 21:00:03,159810,49,161
2018-04-13 21:10:02,159875,49,161
2018-04-13 21:20:02,159939,49,161
2018-04-13 21:30:02,160013,49,161
2018-04-13 21:40:03,160078,49,161
2018-04-13 21:50:03,160146,49,161
2018-04-13 22:00:03,160222,49,161
2018-04-13 22:10:03,160280,49,161
2018-04-13 22:20:03,160356,49,161
2018-04-13 22:30:03,160404,49,161
2018-04-13 22:40:03,160589,49,161
2018-04-13 22:50:03,160651,49,161
2018-04-13 23:00:03,160726,49,161
2018-04-13 23:10:03,160774,49,161
2018-04-13 23:20:02,160819,49,161
2018-04-13 23:30:02,160863,49,161
2018-04-13 23:40:02,160889,49,161
2018-04-13 23:50:02,160929,49,161
2018-04-14 00:00:02,160950,49,161
2018-04-14 00:10:02,160981,49,161
2018-04-14 00:20:02,161011,49,161
2018-04-14 00:30:03,161034,49,161
2018-04-14 00:40:03,161052,49,161
2018-04-14 00:50:03,161066,49,161
2018-04-14 01:00:03,161080,49,161
2018-04-14 01:10:03,161092,49,161
2018-04-14 01:20:03,161104,49,161
2018-04-14 01:30:03,161112,49,161
2018-04-14 01:40:03,161117,49,161
2018-04-14 01:50:03,161122,49,161
2018-04-14 02:00:03,161125,49,161
2018-04-14 02:10:02,161132,49,161
2018-04-14 02:20:02,161133,49,161
2018-04-14 02:30:02,161140,49,161
2018-04-14 02:40:02,161142,49,161
2018-04-14 02:50:02,161144,49,161
2018-04-14 03:00:02,161144,49,161
2018-04-14 03:10:03,161145,49,161
2018-04-14 03:20:03,161148,49,161
2018-04-14 03:30:02,161152,49,161
2018-04-14 03:40:03,161153,49,161
2018-04-14 03:50:03,161155,49,161
2018-04-14 04:00:02,161155,49,161
2018-04-14 04:10:03,161158,49,161
2018-04-14 04:20:03,161159,49,161
2018-04-14 04:30:03,161160,49,161
2018-04-14 04:40:03,161161,49,161
2018-04-14 04:50:03,161161,49,161
2018-04-14 05:00:03,161161,49,161
2018-04-14 05:10:03,161163,49,161
2018-04-14 05:20:03,161161,49,161
2018-04-14 05:30:02,161165,49,161
2018-04-14 05:40:02,161165,49,161
2018-04-14 05:50:03,161170,49,161
2018-04-14 06:00:02,161173,49,161
2018-04-14 06:10:03,161178,49,161
2018-04-14 06:20:03,161184,49,161
2018-04-14 06:30:03,161182,49,161
2018-04-14 06:40:02,161185,49,161
2018-04-14 06:50:03,161185,49,161
2018-04-14 07:00:03,161189,49,161
2018-04-14 07:10:03,161193,49,161
2018-04-14 07:20:03,161208,49,161
2018-04-14 07:30:03,161222,49,161
2018-04-14 07:40:03,161238,49,161
2018-04-14 07:50:03,161249,49,161
2018-04-14 08:00:03,161256,49,161
2018-04-14 08:10:02,161280,49,162
2018-04-14 08:20:02,161295,49,162
2018-04-14 08:30:02,161312,49,162
2018-04-14 08:40:02,161333,49,162
2018-04-14 08:50:02,161343,49,162
2018-04-14 09:00:02,161369,49,162
2018-04-14 09:10:02,161393,49,162
2018-04-14 09:20:02,161422,49,162
2018-04-14 09:30:03,161446,49,162
