datetime,followed_by,following,media
2018-04-13 17:18:21,124167,95,38
2018-04-13 17:20:11,124173,95,38
2018-04-13 17:30:08,124199,95,38
2018-04-13 17:40:08,124238,95,38
2018-04-13 17:50:09,124266,95,38
2018-04-13 18:00:08,124304,95,38
2018-04-13 18:10:09,124335,95,38
2018-04-13 18:19:02,124373,95,38
2018-04-13 18:20:08,124373,95,38
2018-04-13 18:30:15,124408,95,38
2018-04-13 18:40:09,124443,95,38
2018-04-13 18:50:09,124479,95,38
2018-04-13 19:00:08,124498,95,38
2018-04-13 19:20:08,124533,95,38
2018-04-13 19:30:08,124564,95,38
2018-04-13 19:40:09,124600,95,38
2018-04-13 19:50:08,124634,95,38
2018-04-13 20:00:09,124650,95,38
2018-04-13 20:10:09,124683,95,38
2018-04-13 20:20:09,124717,95,38
2018-04-13 20:30:08,124743,95,38
2018-04-13 20:40:08,124790,95,39
2018-04-13 20:50:08,124820,95,39
2018-04-13 21:10:08,124889,95,39
2018-04-13 21:20:08,124923,95,39
2018-04-13 21:30:08,124966,95,39
2018-04-13 21:40:08,125001,95,39
2018-04-13 21:50:08,125047,95,39
2018-04-13 22:00:08,125084,95,39
2018-04-13 22:10:08,125127,95,39
2018-04-13 22:20:08,125154,95,39
2018-04-13 22:30:09,125194,95,39
2018-04-13 22:40:08,125323,95,39
2018-04-13 22:50:09,125355,95,39
2018-04-13 23:00:08,125404,95,39
2018-04-13 23:10:08,125434,95,39
2018-04-13 23:20:08,125458,95,39
2018-04-13 23:30:07,125494,95,39
2018-04-13 23:40:07,125513,95,39
2018-04-13 23:50:08,125530,95,39
2018-04-14 00:00:07,125543,95,39
2018-04-14 00:10:08,125556,95,39
2018-04-14 00:20:08,125565,95,39
2018-04-14 00:30:08,125570,95,39
2018-04-14 00:40:08,125578,95,39
2018-04-14 00:50:08,125583,95,39
2018-04-14 01:00:08,125594,95,39
2018-04-14 01:10:08,125596,95,39
2018-04-14 01:20:09,125601,95,39
2018-04-14 01:30:09,125604,95,39
2018-04-14 01:40:08,125609,95,39
2018-04-14 01:50:09,125609,95,39
2018-04-14 02:00:09,125614,95,39
2018-04-14 02:10:08,125616,95,39
2018-04-14 02:20:08,125617,95,39
2018-04-14 02:30:08,125622,95,39
2018-04-14 02:40:09,125625,95,39
2018-04-14 02:50:08,125624,95,39
2018-04-14 03:00:08,125625,95,39
2018-04-14 03:10:10,125628,95,39
2018-04-14 03:20:09,125629,95,39
2018-04-14 03:30:09,125630,95,39
2018-04-14 03:40:10,125631,95,39
2018-04-14 03:50:09,125631,95,39
2018-04-14 04:00:09,125631,95,39
2018-04-14 04:10:09,125632,95,39
2018-04-14 04:20:09,125633,95,39
2018-04-14 04:30:08,125634,95,39
2018-04-14 04:40:09,125636,95,39
2018-04-14 04:50:09,125637,95,39
2018-04-14 05:00:10,125637,95,39
2018-04-14 05:10:10,125638,95,39
2018-04-14 05:20:09,125638,95,39
2018-04-14 05:30:08,125638,95,39
2018-04-14 05:40:08,125639,95,39
2018-04-14 05:50:08,125640,95,39
2018-04-14 06:00:08,125642,95,39
2018-04-14 06:10:09,125644,95,39
2018-04-14 06:20:09,125645,95,39
2018-04-14 06:30:09,125646,95,39
2018-04-14 06:40:08,125648,95,39
2018-04-14 06:50:09,125650,95,39
2018-04-14 07:00:08,125656,95,39
2018-04-14 07:10:08,125658,95,39
2018-04-14 07:20:08,125662,95,39
2018-04-14 07:30:08,125671,95,39
2018-04-14 07:40:09,125677,95,39
2018-04-14 07:50:08,125684,95,39
2018-04-14 08:00:08,125685,95,39
2018-04-14 08:10:07,125697,95,39
2018-04-14 08:30:07,125718,95,39
2018-04-14 08:40:07,125727,95,39
2018-04-14 08:50:07,125734,95,39
2018-04-14 09:00:08,125754,95,39
2018-04-14 09:10:07,125774,95,39
2018-04-14 09:20:08,125798,95,39
2018-04-14 09:30:08,125815,95,39
2018-04-14 09:40:08,125831,95,39
2018-04-14 09:50:08,125861,95,39
2018-04-14 10:00:08,125880,95,39
2018-04-14 10:10:08,125890,95,39
2018-04-14 10:20:08,125908,95,39
2018-04-14 10:30:08,125919,95,39
2018-04-14 10:40:08,125940,95,39
2018-04-14 10:50:08,125957,95,39
2018-04-14 11:00:08,125971,95,39
2018-04-14 11:10:07,125988,95,39
2018-04-14 11:20:07,126003,95,39
2018-04-14 11:30:07,126029,95,39
2018-04-14 11:40:07,126041,95,39
2018-04-14 11:50:07,126061,95,39
2018-04-14 12:00:07,126086,95,39
2018-04-14 12:10:08,126105,95,39
2018-04-14 12:20:07,126134,95,39
2018-04-14 12:30:08,126154,95,39
2018-04-14 12:40:08,126173,95,39
2018-04-14 12:50:09,126188,95,39
2018-04-14 13:10:09,126238,95,39
2018-04-14 13:20:09,126258,95,39
2018-04-14 13:30:10,126279,95,39
2018-04-14 13:40:09,126300,95,39
2018-04-14 13:50:09,126316,95,39
2018-04-14 14:00:14,126335,95,39
2018-04-14 14:10:09,126357,95,39
2018-04-14 14:20:08,126369,95,39
2018-04-14 14:40:08,126412,95,39
2018-04-14 14:50:09,126432,95,39
2018-04-14 15:00:08,126451,95,39
2018-04-14 15:10:07,126458,95,39
2018-04-14 15:20:08,126474,95,39
2018-04-14 15:30:07,126489,95,39
2018-04-14 15:40:07,126504,95,39
2018-04-14 15:50:07,126523,95,40
2018-04-14 16:00:08,126532,95,40
2018-04-14 16:10:08,126549,95,40
2018-04-14 16:20:07,126564,95,40
2018-04-14 16:30:09,126586,95,40
2018-04-14 16:40:09,126597,95,40
2018-04-14 16:50:08,126604,95,40
2018-04-14 17:00:09,126617,95,40
2018-04-14 17:10:08,126639,95,40
2018-04-14 17:20:09,126645,95,40
2018-04-14 17:30:08,126655,95,40
