datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:11,10,4,2010,635.0,12.5
2018-02-11 17:00:11,10,4,2013,638.25,13.0
2018-02-11 17:15:11,10,4,2022,641.25,13.0
2018-02-11 17:30:11,10,4,2024,642.0,13.0
2018-02-11 17:45:14,10,4,2028,643.75,13.0
2018-02-11 18:00:11,10,4,2034,644.75,13.0
2018-02-11 18:15:11,10,4,2044,647.25,13.0
2018-02-11 18:30:10,10,4,2042,648.75,13.0
2018-02-11 18:45:11,10,4,2049,650.75,13.25
2018-02-11 19:00:10,10,4,2058,652.25,13.25
2018-02-11 19:15:10,10,4,2065,655.0,13.25
2018-02-11 19:30:11,10,4,2073,657.25,13.25
2018-02-11 19:45:11,10,4,2080,659.5,13.25
2018-02-11 20:00:11,10,4,2082,661.25,13.25
2018-02-11 20:15:10,10,4,2085,662.75,13.25
2018-02-11 20:30:11,10,4,2089,666.0,13.25
2018-02-11 20:45:12,10,4,2092,670.5,13.75
2018-02-11 21:00:11,10,4,2097,672.5,14.0
2018-02-11 21:15:10,10,4,2098,674.75,14.0
2018-02-11 21:30:10,10,4,2101,676.5,14.0
2018-02-11 21:45:12,10,4,2102,678.0,14.0
2018-02-11 22:00:12,12,4,2102,680.0,14.75
2018-02-11 22:15:14,12,4,2108,681.0,14.75
2018-02-11 22:30:13,12,4,2111,682.5,14.75
2018-02-11 22:45:13,12,4,2119,683.5,14.75
2018-02-11 23:00:13,12,4,2125,683.75,14.75
2018-02-11 23:15:11,12,4,2127,686.25,15.0
2018-02-11 23:30:11,12,4,2128,687.25,15.0
2018-02-11 23:45:13,12,4,2128,687.75,15.0
2018-02-12 00:00:17,12,4,2128,690.0,15.0
2018-02-12 00:15:14,12,4,2130,690.25,15.0
2018-02-12 00:30:12,12,4,2131,690.5,15.0
2018-02-12 00:45:11,12,4,2135,691.5,15.0
2018-02-12 01:00:12,12,4,2135,691.5,15.0
2018-02-12 01:15:12,12,4,2135,691.75,15.0
2018-02-12 01:30:12,12,4,2134,692.0,15.0
2018-02-12 01:45:12,12,4,2134,692.0,15.0
2018-02-12 02:00:12,12,4,2134,692.0,15.0
2018-02-12 02:15:13,12,4,2134,692.0,15.0
2018-02-12 02:30:15,12,4,2134,692.0,15.0
2018-02-12 02:45:13,12,4,2134,692.0,15.0
2018-02-12 03:00:14,12,4,2134,692.0,15.0
