datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:03,0,1,9422,5952.0,270.0
2018-02-11 17:00:03,0,1,9433,5958.0,270.0
2018-02-11 17:15:03,0,1,9442,5966.0,270.0
2018-02-11 17:30:03,0,1,9459,5974.0,270.0
2018-02-11 17:45:02,0,1,9472,5984.0,270.0
2018-02-11 18:00:02,0,1,9490,5992.0,271.0
2018-02-11 18:15:02,0,1,9506,5997.0,271.0
2018-02-11 18:30:02,0,1,9521,6008.0,271.0
2018-02-11 18:45:02,0,1,9532,6016.0,271.0
2018-02-11 19:00:02,0,1,9546,6023.0,271.0
2018-02-11 19:15:02,0,1,9558,6033.0,272.0
2018-02-11 19:30:02,0,1,9574,6045.0,272.0
2018-02-11 19:45:03,0,1,9588,6054.0,273.0
2018-02-11 20:00:03,0,1,9601,6063.0,274.0
2018-02-11 20:15:03,0,1,9611,6068.0,274.0
2018-02-11 20:30:03,0,1,9627,6077.0,274.0
2018-02-11 20:45:03,0,1,9644,6084.0,274.0
2018-02-11 21:00:03,0,1,9657,6096.0,274.0
2018-02-11 21:15:02,0,1,9670,6105.0,274.0
2018-02-11 21:30:02,0,1,9689,6107.0,274.0
2018-02-11 21:45:03,0,1,9702,6114.0,275.0
2018-02-11 22:00:02,0,1,9722,6125.0,275.0
2018-02-11 22:15:03,0,1,9735,6131.0,277.0
2018-02-11 22:30:03,0,1,9749,6137.0,277.0
2018-02-11 22:45:03,0,1,9759,6143.0,277.0
2018-02-11 23:00:03,0,1,9771,6148.0,277.0
2018-02-11 23:15:03,0,1,9776,6151.0,277.0
2018-02-11 23:30:03,0,1,9795,6156.0,277.0
2018-02-11 23:45:04,0,1,9798,6159.0,277.0
2018-02-12 00:00:05,0,1,9804,6163.0,279.0
2018-02-12 00:15:03,0,1,9809,6167.0,279.0
2018-02-12 00:30:04,0,1,9812,6168.0,279.0
2018-02-12 00:45:02,0,1,9817,6171.0,279.0
2018-02-12 01:00:03,0,1,9816,6171.0,279.0
2018-02-12 01:15:02,0,1,9817,6172.0,279.0
2018-02-12 01:30:03,0,1,9819,6173.0,280.0
2018-02-12 01:45:02,0,1,9821,6175.0,280.0
2018-02-12 02:00:02,0,1,9821,6175.0,280.0
2018-02-12 02:15:03,0,1,9822,6175.0,280.0
2018-02-12 02:30:03,0,1,9823,6175.0,280.0
2018-02-12 02:45:03,0,1,9824,6175.0,280.0
2018-02-12 03:00:03,0,1,9824,6175.0,280.0
2018-02-12 03:15:04,0,1,9826,6177.0,280.0
2018-02-12 03:30:03,0,1,9827,6177.0,280.0
2018-02-12 03:45:02,0,1,9827,6177.0,280.0
2018-02-12 04:00:03,0,1,9827,6177.0,280.0
2018-02-12 04:15:02,0,1,9827,6177.0,280.0
2018-02-12 04:30:02,0,1,9827,6177.0,280.0
2018-02-12 04:45:03,0,1,9827,6177.0,280.0
2018-02-12 05:00:02,0,1,9827,6177.0,280.0
2018-02-12 05:15:03,0,1,9828,6177.0,280.0
2018-02-12 05:30:03,0,1,9828,6177.0,280.0
2018-02-12 05:45:03,0,1,9828,6177.0,280.0
2018-02-12 06:00:03,0,1,9830,6178.0,280.0
2018-02-12 06:15:03,0,1,9830,6178.0,280.0
2018-02-12 06:30:03,0,1,9832,6178.0,280.0
2018-02-12 06:45:04,0,1,9836,6178.0,280.0
2018-02-12 07:00:03,0,1,9838,6180.0,280.0
2018-02-12 07:15:02,0,1,9841,6182.0,280.0
2018-02-12 07:30:02,0,1,9843,6185.0,281.0
2018-02-12 07:45:02,0,1,9846,6188.0,281.0
2018-02-12 08:00:02,0,1,9852,6191.0,281.0
2018-02-12 08:15:02,0,1,9855,6194.0,281.0
2018-02-12 08:30:03,0,1,9862,6195.0,282.0
2018-02-12 08:45:03,0,1,9866,6197.0,282.0
2018-02-12 09:00:03,0,1,9870,6199.0,282.0
2018-02-12 09:15:03,0,1,9874,6204.0,283.0
2018-02-12 09:30:03,0,1,9889,6212.0,283.0
2018-02-12 09:45:03,0,1,9894,6221.0,283.0
2018-02-12 10:00:03,0,1,9901,6225.0,283.0
2018-02-12 10:15:02,0,1,9906,6233.0,283.0
2018-02-12 10:30:02,0,1,9913,6238.0,284.0
2018-02-12 10:45:02,0,1,9923,6248.0,284.0
2018-02-12 11:00:03,0,1,9931,6253.0,284.0
2018-02-12 11:15:02,0,1,9935,6254.0,284.0
2018-02-12 11:30:02,0,1,9948,6256.0,284.0
2018-02-12 11:45:03,0,1,9957,6259.0,284.0
2018-02-12 12:00:03,0,1,9967,6265.0,284.0
2018-02-12 12:15:03,0,1,9974,6273.0,284.0
2018-02-12 12:30:03,0,1,9984,6276.0,284.0
