datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:09,0,1,6348,3333.0,161.0
2018-02-11 17:00:10,0,1,6363,3342.0,161.0
2018-02-11 17:15:09,0,1,6382,3352.0,161.0
2018-02-11 17:30:09,0,1,6398,3364.0,162.0
2018-02-11 17:45:12,0,1,6409,3374.0,162.0
2018-02-11 18:00:09,0,1,6430,3383.0,162.0
2018-02-11 18:15:09,0,1,6450,3392.0,162.0
2018-02-11 18:30:08,0,1,6464,3400.0,162.0
2018-02-11 18:45:09,0,1,6476,3408.0,162.0
2018-02-11 19:00:09,0,1,6586,3461.0,163.0
2018-02-11 19:15:08,0,1,6660,3513.0,163.0
2018-02-11 19:30:09,0,1,6727,3557.0,164.0
2018-02-11 19:45:09,0,1,6793,3594.0,164.0
2018-02-11 20:00:09,0,1,6844,3627.0,165.0
2018-02-11 20:15:09,0,1,6882,3656.0,165.0
2018-02-11 20:30:09,0,1,6922,3681.0,165.0
2018-02-11 20:45:10,0,1,6967,3712.0,165.0
2018-02-11 21:00:09,0,1,7003,3737.0,165.0
2018-02-11 21:15:08,0,2,7031,2108.0,90.0
2018-02-11 21:30:08,0,2,7056,2270.5,96.5
2018-02-11 21:45:10,0,2,7080,2401.5,98.5
2018-02-11 22:00:10,0,2,7113,2480.5,99.5
2018-02-11 22:15:12,0,2,7139,2547.5,101.0
2018-02-11 22:30:10,0,2,7170,2594.5,102.0
2018-02-11 22:45:11,0,2,7200,2641.5,103.0
2018-02-11 23:00:10,0,2,7227,2683.5,104.0
2018-02-11 23:15:09,0,2,7251,2717.5,105.0
2018-02-11 23:30:09,0,2,7266,2738.0,105.0
2018-02-11 23:45:11,0,2,7284,2758.5,106.0
2018-02-12 00:00:14,0,2,7301,2772.0,106.0
2018-02-12 00:15:12,0,2,7313,2783.5,106.5
2018-02-12 00:30:10,0,2,7317,2792.5,106.5
2018-02-12 00:45:09,0,2,7322,2800.5,106.5
2018-02-12 01:00:10,0,2,7329,2802.0,106.5
2018-02-12 01:15:11,0,2,7331,2805.0,106.0
2018-02-12 01:30:10,0,2,7333,2807.0,106.0
2018-02-12 01:45:10,0,2,7337,2809.0,106.0
2018-02-12 02:00:10,0,2,7339,2812.0,106.0
2018-02-12 02:15:10,0,2,7341,2813.0,106.5
2018-02-12 02:30:12,0,2,7343,2814.5,106.5
2018-02-12 02:45:11,0,2,7345,2815.5,106.5
2018-02-12 03:00:11,0,2,7347,2818.0,106.5
2018-02-12 03:15:11,0,2,7347,2819.0,106.5
2018-02-12 03:30:11,0,2,7349,2819.5,106.5
2018-02-12 03:45:09,0,2,7350,2819.5,106.5
2018-02-12 04:00:10,0,2,7350,2820.0,106.5
2018-02-12 04:15:11,0,2,7350,2820.0,106.5
2018-02-12 04:30:10,0,2,7353,2822.5,106.5
2018-02-12 04:45:11,0,2,7354,2824.0,106.5
2018-02-12 05:00:12,0,2,7354,2824.5,106.5
2018-02-12 05:15:10,0,2,7355,2825.0,106.5
2018-02-12 05:30:10,0,2,7356,2826.0,106.5
2018-02-12 05:45:10,0,2,7357,2829.5,106.5
2018-02-12 06:00:11,0,2,7356,2833.0,106.5
2018-02-12 06:15:10,0,2,7356,2837.5,106.5
2018-02-12 06:30:10,0,2,7361,2847.5,106.5
2018-02-12 06:45:10,0,2,7362,2859.0,106.5
2018-02-12 07:00:11,0,2,7366,2875.0,107.0
2018-02-12 07:15:10,0,2,7372,2886.0,107.0
2018-02-12 07:30:09,0,2,7376,2903.0,107.0
2018-02-12 07:45:10,0,2,7380,2914.5,107.5
2018-02-12 08:00:10,0,2,7386,2927.5,107.5
2018-02-12 08:15:08,0,2,7393,2939.5,107.5
2018-02-12 08:30:09,0,2,7399,2953.5,108.5
2018-02-12 08:45:09,0,2,7406,2961.5,108.5
2018-02-12 09:00:09,0,2,7413,2971.0,108.5
2018-02-12 09:15:09,0,2,7420,2981.5,108.5
2018-02-12 09:30:10,0,2,7424,2997.5,108.5
2018-02-12 09:45:10,0,2,7441,3014.5,109.0
2018-02-12 10:00:10,0,2,7457,3028.0,111.0
2018-02-12 10:15:09,0,2,7466,3042.5,111.5
2018-02-12 10:30:08,0,2,7485,3061.0,111.5
2018-02-12 10:45:09,0,2,7505,3080.0,111.5
2018-02-12 11:00:10,0,2,7523,3096.0,111.5
2018-02-12 11:15:08,0,2,7530,3110.5,111.5
2018-02-12 11:30:09,0,2,7547,3124.0,111.5
2018-02-12 11:45:09,0,2,7556,3130.5,111.5
2018-02-12 12:00:10,0,2,7565,3141.5,111.5
2018-02-12 12:15:10,0,2,7589,3154.5,111.5
2018-02-12 12:30:12,0,2,7609,3166.5,112.0
2018-02-12 12:45:13,0,3,7619,2231.6666666666665,79.0
2018-02-12 13:00:12,0,3,7635,2354.0,81.66666666666667
2018-02-12 13:15:11,0,3,7652,2434.6666666666665,81.66666666666667
2018-02-12 13:30:12,0,3,7670,2501.3333333333335,82.33333333333333
2018-02-12 13:45:10,0,3,7692,2560.3333333333335,83.33333333333333
2018-02-12 14:00:12,0,3,7708,2615.0,83.66666666666667
2018-02-12 14:15:11,0,3,7731,2677.6666666666665,84.66666666666667
2018-02-12 14:30:11,0,3,7746,2727.0,85.33333333333333
2018-02-12 14:45:10,0,3,7768,2766.0,85.66666666666667
2018-02-12 15:00:10,0,3,7793,2808.3333333333335,86.0
2018-02-12 15:15:10,0,3,7800,2839.0,86.33333333333333
2018-02-12 15:30:11,0,3,7812,2873.6666666666665,87.0
2018-02-12 15:45:12,0,3,7827,2901.3333333333335,87.33333333333333
2018-02-12 16:00:11,0,3,7842,2934.0,87.33333333333333
2018-02-12 16:15:12,0,3,7859,2968.3333333333335,88.0
2018-02-12 16:30:14,0,3,7875,3004.6666666666665,89.0
2018-02-12 16:45:10,0,3,7883,3030.0,90.33333333333333
2018-02-12 17:00:10,0,3,7896,3061.3333333333335,91.33333333333333
2018-02-12 17:15:10,0,3,7907,3089.3333333333335,92.33333333333333
2018-02-12 17:30:10,0,3,7926,3113.0,93.0
2018-02-12 17:45:09,0,3,7936,3133.3333333333335,93.33333333333333
2018-02-12 18:00:11,0,3,7956,3156.3333333333335,93.33333333333333
2018-02-12 18:15:12,0,3,7977,3177.3333333333335,94.0
2018-02-12 18:30:10,0,3,8000,3197.0,94.33333333333333
2018-02-12 18:45:10,0,3,8019,3216.6666666666665,94.66666666666667
2018-02-12 19:00:10,0,3,8047,3235.0,95.0
2018-02-12 19:15:13,0,3,8074,3258.0,95.33333333333333
2018-02-12 19:30:11,0,3,8095,3274.6666666666665,95.33333333333333
2018-02-12 19:45:11,0,3,8114,3298.0,96.33333333333333
2018-02-12 20:00:10,0,3,8142,3320.0,96.33333333333333
2018-02-12 20:15:10,0,3,8173,3334.3333333333335,96.33333333333333
2018-02-12 20:30:09,0,3,8194,3355.3333333333335,97.33333333333333
2018-02-12 20:45:08,0,3,8219,3376.0,97.33333333333333
2018-02-12 21:00:09,0,3,8246,3396.3333333333335,99.33333333333333
