datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:11,14,3,14615,6047.333333333333,141.66666666666666
2018-02-11 17:00:12,14,4,14640,4555.75,107.0
2018-02-11 17:15:12,14,4,14673,4816.0,114.5
2018-02-11 17:30:11,14,4,14692,4968.75,118.25
2018-02-11 17:45:14,14,4,14734,5089.0,121.25
2018-02-11 18:00:11,14,4,14767,5193.75,122.75
2018-02-11 18:15:11,14,4,14805,5271.25,125.0
2018-02-11 18:30:10,14,4,14827,5343.0,125.75
2018-02-11 18:45:11,14,5,14855,4324.2,102.0
2018-02-11 19:00:11,14,5,14915,4511.4,106.6
2018-02-11 19:15:11,14,5,14966,4640.0,111.6
2018-02-11 19:30:12,21,4,15018,5562.75,130.5
2018-02-11 19:45:12,21,4,15075,5603.75,131.5
2018-02-11 20:00:11,20,4,15105,5640.5,132.5
2018-02-11 20:15:11,20,4,15135,5676.5,133.5
2018-02-11 20:30:11,20,4,15174,5710.25,134.0
2018-02-11 20:45:12,20,4,15223,5758.25,134.0
2018-02-11 21:00:11,20,4,15254,5792.0,134.5
2018-02-11 21:15:11,20,4,15280,5826.0,135.75
2018-02-11 21:30:10,20,4,15306,5849.25,135.75
2018-02-11 21:45:13,20,4,15333,5876.5,137.75
2018-02-11 22:00:13,20,4,15364,5898.25,137.75
2018-02-11 22:15:15,20,4,15405,5918.0,138.0
2018-02-11 22:30:13,20,4,15434,5936.25,138.25
2018-02-11 22:45:14,20,4,15463,5951.0,138.25
2018-02-11 23:00:14,20,4,15491,5965.5,138.75
2018-02-11 23:15:11,20,4,15510,5984.5,139.25
2018-02-11 23:30:11,20,4,15529,5992.0,139.25
2018-02-11 23:45:14,20,4,15546,6002.0,139.25
2018-02-12 00:00:18,20,4,15556,6009.25,139.5
2018-02-12 00:15:15,20,4,15575,6014.0,140.0
2018-02-12 00:30:13,20,4,15581,6018.5,140.25
2018-02-12 00:45:11,20,4,15589,6022.5,140.25
2018-02-12 01:00:13,20,4,15595,6027.25,140.25
2018-02-12 01:15:13,20,4,15600,6030.0,140.25
2018-02-12 01:30:13,20,4,15606,6032.25,140.25
2018-02-12 01:45:13,20,4,15608,6033.5,140.25
2018-02-12 02:00:12,20,4,15612,6034.75,140.25
2018-02-12 02:15:13,20,4,15615,6035.25,140.25
2018-02-12 02:30:15,20,4,15616,6036.25,140.25
2018-02-12 02:45:14,20,4,15616,6039.0,140.25
2018-02-12 03:00:14,20,4,15619,6039.5,140.25
2018-02-12 03:15:15,20,4,15619,6039.75,140.25
2018-02-12 03:30:14,20,4,15620,6041.0,140.25
2018-02-12 03:45:13,20,4,15623,6041.25,140.25
2018-02-12 04:00:13,20,4,15624,6041.5,140.25
2018-02-12 04:15:14,20,4,15625,6041.75,140.25
2018-02-12 04:30:12,20,4,15625,6042.75,140.25
2018-02-12 04:45:13,20,4,15625,6043.0,140.25
2018-02-12 05:00:14,20,4,15625,6043.5,140.25
2018-02-12 05:15:13,20,4,15629,6043.75,140.25
2018-02-12 05:30:13,20,4,15629,6044.5,140.25
2018-02-12 05:45:13,20,4,15630,6046.75,140.25
2018-02-12 06:00:13,20,4,15632,6048.25,140.25
2018-02-12 06:15:12,20,4,15633,6050.25,140.25
2018-02-12 06:30:13,20,4,15637,6054.5,140.25
2018-02-12 06:45:13,20,4,15642,6055.5,140.25
2018-02-12 07:00:14,20,4,15648,6060.25,140.25
2018-02-12 07:15:13,20,4,15658,6063.75,140.25
2018-02-12 07:30:11,20,4,15659,6066.25,140.25
2018-02-12 07:45:13,20,4,15664,6071.5,140.25
2018-02-12 08:00:13,20,4,15673,6078.0,140.25
2018-02-12 08:15:11,20,4,15679,6080.75,140.25
2018-02-12 08:30:12,20,4,15694,6087.5,141.25
2018-02-12 08:45:11,20,4,15708,6093.25,141.25
2018-02-12 09:00:11,20,4,15721,6098.5,141.5
2018-02-12 09:15:11,20,4,15727,6106.0,142.0
2018-02-12 09:30:13,20,4,15738,6113.0,142.0
2018-02-12 09:45:12,20,4,15750,6117.5,142.0
2018-02-12 10:00:13,20,4,15763,6123.5,142.0
2018-02-12 10:15:11,20,4,15784,6132.75,142.0
2018-02-12 10:30:11,20,4,15813,6144.25,142.25
2018-02-12 10:45:12,20,4,15829,6151.0,142.25
2018-02-12 11:00:12,20,4,15845,6156.5,142.25
2018-02-12 11:15:10,20,5,15856,4987.2,115.6
2018-02-12 11:30:11,20,5,15865,5086.2,116.2
2018-02-12 11:45:12,20,5,15888,5157.2,116.8
2018-02-12 12:00:13,20,5,15909,5207.4,117.2
