datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:05,20,2,2013,694.0,23.5
2018-02-11 17:00:04,20,2,2016,696.0,23.5
2018-02-11 17:15:04,20,2,2019,700.0,23.5
2018-02-11 17:30:04,20,2,2022,704.5,23.5
2018-02-11 17:45:03,20,2,2024,710.0,23.5
2018-02-11 18:00:04,20,2,2026,713.5,23.5
2018-02-11 18:15:04,20,2,2029,717.5,23.5
2018-02-11 18:30:04,20,2,2028,720.5,23.5
2018-02-11 18:45:03,20,2,2034,723.5,23.5
2018-02-11 19:00:03,20,2,2035,724.5,23.5
2018-02-11 19:15:04,20,2,2037,730.5,23.5
2018-02-11 19:30:04,20,2,2038,732.5,23.5
2018-02-11 19:45:04,20,2,2046,735.5,23.5
2018-02-11 20:00:04,20,2,2048,737.5,23.5
2018-02-11 20:15:04,20,2,2051,741.5,23.5
2018-02-11 20:30:04,20,2,2053,746.0,24.0
2018-02-11 20:45:05,20,2,2056,750.0,24.0
2018-02-11 21:00:04,20,2,2058,751.5,24.0
2018-02-11 21:15:03,20,2,2061,753.5,24.0
2018-02-11 21:30:03,20,2,2068,758.5,24.0
2018-02-11 21:45:04,20,2,2069,760.5,24.0
2018-02-11 22:00:04,20,2,2070,762.0,24.0
2018-02-11 22:15:05,20,2,2072,764.0,24.0
2018-02-11 22:30:05,20,2,2075,765.5,24.0
2018-02-11 22:45:05,20,2,2076,766.5,24.0
2018-02-11 23:00:05,20,2,2079,767.0,24.0
2018-02-11 23:15:04,20,2,2081,768.5,24.0
2018-02-11 23:30:04,20,2,2079,768.5,24.0
2018-02-11 23:45:06,20,2,2080,769.0,24.0
2018-02-12 00:00:07,20,2,2080,769.0,24.0
2018-02-12 00:15:05,20,2,2079,769.0,24.0
2018-02-12 00:30:05,20,2,2081,769.5,24.0
2018-02-12 00:45:04,20,2,2082,770.5,24.0
2018-02-12 01:00:04,20,2,2082,770.5,24.0
2018-02-12 01:15:04,20,2,2082,771.5,24.0
2018-02-12 01:30:04,20,2,2082,771.5,24.0
2018-02-12 01:45:04,20,2,2083,771.5,24.0
2018-02-12 02:00:04,20,2,2083,771.5,24.0
2018-02-12 02:15:04,20,2,2083,772.0,24.0
2018-02-12 02:30:05,20,2,2083,772.0,24.0
2018-02-12 02:45:05,20,2,2083,772.0,24.0
2018-02-12 03:00:05,20,2,2083,772.0,24.0
2018-02-12 03:15:05,20,2,2083,772.0,24.0
2018-02-12 03:30:04,20,2,2083,772.0,24.0
2018-02-12 03:45:04,20,2,2083,772.0,24.0
2018-02-12 04:00:04,20,2,2083,772.0,24.0
2018-02-12 04:15:04,20,2,2083,772.0,24.0
2018-02-12 04:30:04,20,2,2083,772.0,24.0
2018-02-12 04:45:05,20,2,2083,772.0,24.0
2018-02-12 05:00:04,20,2,2083,772.0,24.0
2018-02-12 05:15:04,20,2,2084,773.5,24.0
2018-02-12 05:30:05,20,2,2084,773.5,24.0
2018-02-12 05:45:04,20,2,2084,773.5,24.0
2018-02-12 06:00:04,20,2,2085,773.5,24.0
2018-02-12 06:15:04,20,2,2085,773.5,24.0
2018-02-12 06:30:05,20,2,2086,774.0,24.0
2018-02-12 06:45:05,20,2,2086,774.0,24.0
2018-02-12 07:00:05,20,2,2087,774.0,24.0
2018-02-12 07:15:04,20,2,2088,774.0,24.0
2018-02-12 07:30:04,20,2,2088,775.5,24.0
2018-02-12 07:45:04,20,2,2088,775.5,24.0
2018-02-12 08:00:03,20,2,2088,775.5,24.0
2018-02-12 08:15:04,20,2,2088,775.5,24.0
2018-02-12 08:30:04,20,2,2088,775.5,24.0
2018-02-12 08:45:04,20,2,2088,775.5,24.0
2018-02-12 09:00:04,20,2,2090,775.5,24.0
2018-02-12 09:15:04,20,2,2090,776.5,24.0
2018-02-12 09:30:04,20,2,2093,776.5,24.0
2018-02-12 09:45:05,20,2,2095,777.0,24.0
2018-02-12 10:00:05,20,2,2096,779.5,24.0
2018-02-12 10:15:03,20,2,2097,781.0,24.0
2018-02-12 10:30:03,20,2,2099,781.5,24.0
2018-02-12 10:45:03,20,2,2100,782.0,24.0
2018-02-12 11:00:04,20,2,2101,782.0,24.0
2018-02-12 11:15:04,20,2,2102,783.0,24.0
2018-02-12 11:30:04,20,2,2104,783.5,24.0
2018-02-12 11:45:04,20,2,2108,784.0,24.5
2018-02-12 12:00:04,20,2,2107,784.5,24.5
2018-02-12 12:15:05,20,2,2110,787.0,25.0
2018-02-12 12:30:05,20,2,2113,787.5,26.0
2018-02-12 12:45:05,20,2,2114,788.0,26.0
2018-02-12 13:00:05,20,2,2116,788.5,26.0
2018-02-12 13:15:05,20,2,2116,788.5,26.0
2018-02-12 13:30:06,20,2,2121,791.0,26.0
2018-02-12 13:45:04,20,2,2122,791.5,26.0
2018-02-12 14:00:05,20,2,2123,791.5,26.0
2018-02-12 14:15:04,20,2,2123,792.5,26.0
2018-02-12 14:30:04,20,2,2124,794.5,26.0
2018-02-12 14:45:04,20,2,2125,795.5,26.0
2018-02-12 15:00:04,20,2,2125,797.5,26.0
2018-02-12 15:15:04,21,2,2127,798.5,26.0
2018-02-12 15:30:05,21,2,2126,799.0,26.0
2018-02-12 15:45:05,21,2,2128,800.5,26.0
2018-02-12 16:00:04,21,2,2127,801.0,26.0
2018-02-12 16:15:05,21,2,2129,802.0,26.0
2018-02-12 16:30:05,21,2,2132,806.0,26.0
2018-02-12 16:45:04,21,2,2135,807.5,26.0
2018-02-12 17:00:04,21,2,2135,808.5,26.0
2018-02-12 17:15:05,21,2,2136,809.0,26.0
2018-02-12 17:30:04,21,2,2137,809.5,26.0
2018-02-12 17:45:04,21,2,2136,810.5,26.0
2018-02-12 18:00:05,21,2,2138,811.0,26.0
2018-02-12 18:15:05,21,2,2139,812.5,26.0
2018-02-12 18:30:04,23,2,2144,813.0,26.0
2018-02-12 18:45:05,23,2,2144,814.0,26.0
2018-02-12 19:00:05,23,2,2146,814.0,26.0
2018-02-12 19:15:06,23,2,2150,815.5,26.0
2018-02-12 19:30:04,23,2,2154,816.0,26.0
2018-02-12 19:45:05,23,2,2152,816.5,26.5
2018-02-12 20:00:04,23,2,2158,818.5,26.5
2018-02-12 20:15:04,23,2,2159,820.0,26.5
2018-02-12 20:30:04,23,2,2163,822.5,26.5
2018-02-12 20:45:04,23,2,2165,823.0,26.5
2018-02-12 21:00:04,23,2,2163,823.5,26.5
2018-02-12 21:15:04,23,2,2164,825.0,26.5
2018-02-12 21:30:04,23,2,2167,825.5,26.5
2018-02-12 21:45:04,23,2,2171,827.0,26.5
2018-02-12 22:00:05,23,2,2171,828.5,26.5
2018-02-12 22:15:05,23,2,2173,828.5,26.5
2018-02-12 22:30:05,23,2,2174,829.0,26.5
2018-02-12 22:45:05,23,2,2176,830.0,26.5
2018-02-12 23:00:05,23,2,2176,830.0,26.5
2018-02-12 23:15:04,23,2,2176,830.5,26.5
2018-02-12 23:30:04,23,2,2176,830.5,26.5
2018-02-12 23:45:04,23,2,2179,831.5,26.5
2018-02-13 00:00:04,23,2,2179,831.5,26.5
2018-02-13 00:15:05,23,2,2180,831.5,26.5
2018-02-13 00:30:05,23,2,2180,831.5,26.5
2018-02-13 00:45:06,23,2,2181,832.5,26.5
2018-02-13 01:00:08,23,2,2181,832.5,26.5
2018-02-13 01:15:09,23,2,2181,832.5,26.5
2018-02-13 01:30:05,23,2,2181,832.5,26.5
2018-02-13 01:45:06,23,2,2181,832.5,26.5
2018-02-13 02:00:05,23,2,2181,832.5,26.5
2018-02-13 02:15:04,23,2,2180,832.5,26.5
2018-02-13 02:30:04,23,2,2181,832.5,26.5
2018-02-13 02:45:05,23,2,2181,832.5,26.5
2018-02-13 03:00:05,23,2,2181,832.5,26.5
2018-02-13 03:15:05,23,2,2181,832.5,26.5
