datetime,follows,posts,followed by,latest average likes,latest average comments
2018-02-11 16:48:08,7,3,10512,4791.333333333333,116.66666666666667
2018-02-11 17:00:08,7,3,10552,4811.333333333333,117.66666666666667
2018-02-11 17:15:08,7,4,10598,3741.0,90.75
2018-02-11 17:30:08,7,4,10643,3881.25,92.0
2018-02-11 17:45:07,7,4,10689,3984.5,94.25
2018-02-11 18:00:07,7,4,10728,4072.5,95.0
2018-02-11 18:15:08,7,4,10768,4140.0,95.5
2018-02-11 18:30:07,7,4,10805,4197.0,96.5
2018-02-11 18:45:07,7,4,10852,4248.5,97.0
2018-02-11 19:00:07,7,4,10918,4304.75,97.0
2018-02-11 19:15:07,7,4,10961,4358.25,97.25
2018-02-11 19:30:07,7,4,11018,4406.75,98.25
2018-02-11 19:45:08,7,4,11083,4454.0,98.75
2018-02-11 20:00:08,7,4,11129,4486.75,98.75
2018-02-11 20:15:08,7,4,11169,4530.5,99.5
2018-02-11 20:30:08,7,4,11223,4568.25,100.5
2018-02-11 20:45:08,7,4,11262,4611.75,100.5
2018-02-11 21:00:07,7,4,11305,4648.5,100.5
2018-02-11 21:15:06,7,4,11340,4683.75,100.75
2018-02-11 21:30:07,7,4,11375,4714.75,101.25
2018-02-11 21:45:08,7,4,11410,4740.25,101.75
2018-02-11 22:00:08,7,4,11453,4767.75,103.25
2018-02-11 22:15:10,7,4,11496,4791.0,103.75
2018-02-11 22:30:09,7,4,11527,4816.5,104.25
2018-02-11 22:45:09,7,4,11562,4836.0,105.25
2018-02-11 23:00:09,7,4,11590,4853.75,105.5
2018-02-11 23:15:08,7,4,11618,4870.25,105.5
2018-02-11 23:30:08,7,4,11648,4881.0,105.5
2018-02-11 23:45:09,7,4,11672,4894.5,105.75
2018-02-12 00:00:12,7,4,11694,4901.25,106.25
2018-02-12 00:15:10,7,4,11709,4910.75,106.25
2018-02-12 00:30:08,7,4,11714,4915.5,106.25
2018-02-12 00:45:07,7,4,11724,4920.5,106.25
2018-02-12 01:00:08,7,4,11734,4922.25,106.25
2018-02-12 01:15:09,7,4,11739,4925.0,106.25
2018-02-12 01:30:08,7,4,11746,4927.75,106.25
2018-02-12 01:45:09,7,4,11749,4928.75,106.25
2018-02-12 02:00:08,7,4,11752,4929.25,106.25
2018-02-12 02:15:09,7,4,11756,4930.25,106.25
2018-02-12 02:30:10,7,4,11758,4932.75,106.25
2018-02-12 02:45:10,7,4,11759,4933.75,106.25
2018-02-12 03:00:09,7,4,11759,4934.0,106.25
2018-02-12 03:15:10,7,4,11763,4937.25,106.25
2018-02-12 03:30:09,7,4,11765,4937.5,106.25
2018-02-12 03:45:08,7,4,11766,4938.0,106.25
2018-02-12 04:00:08,7,4,11768,4938.5,106.25
2018-02-12 04:15:09,7,4,11768,4938.5,106.25
2018-02-12 04:30:09,7,4,11770,4939.5,106.25
2018-02-12 04:45:09,7,4,11770,4939.75,106.25
2018-02-12 05:00:10,7,4,11770,4940.25,106.25
2018-02-12 05:15:09,7,4,11774,4941.0,106.25
2018-02-12 05:30:08,7,4,11774,4941.5,106.25
2018-02-12 05:45:09,7,4,11774,4942.75,106.25
2018-02-12 06:00:09,7,4,11776,4943.5,106.25
2018-02-12 06:15:08,7,4,11777,4945.0,106.25
2018-02-12 06:30:08,7,4,11785,4948.5,106.25
2018-02-12 06:45:09,7,4,11792,4951.0,106.25
2018-02-12 07:00:10,7,4,11801,4954.25,106.25
2018-02-12 07:15:08,7,4,11809,4960.75,106.25
2018-02-12 07:30:08,7,4,11819,4965.5,106.25
2018-02-12 07:45:08,7,4,11827,4972.75,106.25
2018-02-12 08:00:07,7,4,11837,4982.5,106.25
2018-02-12 08:15:07,7,4,11841,4985.75,106.25
2018-02-12 08:30:08,7,4,11859,4992.0,106.25
2018-02-12 08:45:07,7,4,11872,5001.0,106.25
2018-02-12 09:00:08,7,4,11886,5006.75,106.25
2018-02-12 09:15:08,7,4,11900,5016.25,106.75
2018-02-12 09:30:08,7,4,11920,5024.5,107.25
2018-02-12 09:45:08,7,4,11934,5036.5,107.25
2018-02-12 10:00:09,7,4,11946,5043.25,107.25
2018-02-12 10:15:07,7,4,11959,5055.75,107.25
2018-02-12 10:30:07,7,4,11990,5068.5,107.25
2018-02-12 10:45:07,7,4,12020,5079.75,107.5
2018-02-12 11:00:08,7,4,12039,5088.5,107.5
2018-02-12 11:15:07,7,4,12049,5100.25,107.5
2018-02-12 11:30:07,7,5,12069,4172.6,87.0
2018-02-12 11:45:07,7,5,12086,4247.4,87.6
2018-02-12 12:00:08,7,5,12104,4300.0,88.4
2018-02-12 12:15:08,7,5,12128,4346.6,89.2
2018-02-12 12:30:10,7,5,12149,4392.8,90.6
2018-02-12 12:45:11,7,5,12184,4432.4,90.8
2018-02-12 13:00:10,7,5,12211,4469.4,91.0
2018-02-12 13:15:10,7,5,12229,4495.4,91.0
2018-02-12 13:30:10,7,5,12242,4524.2,91.0
2018-02-12 13:45:09,7,5,12338,4571.0,91.2
2018-02-12 14:00:10,7,5,12415,4606.2,91.6
2018-02-12 14:15:09,7,5,12472,4646.0,91.6
2018-02-12 14:30:09,7,5,12514,4686.2,91.8
2018-02-12 14:45:08,7,5,12561,4717.6,92.2
2018-02-12 15:00:08,7,5,12595,4749.2,92.2
2018-02-12 15:15:09,7,5,12629,4783.8,92.6
2018-02-12 15:30:09,7,5,12667,4815.6,92.6
2018-02-12 15:45:10,7,5,12706,4838.8,92.6
2018-02-12 16:00:09,7,5,12738,4866.2,92.6
